EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 0.902 1.268 2.893 2.327 0.896 1 boston 0.001 8
2 1 10 75 0.882 1.091 2.462 2.347 0.934 1 boston 0.001 8
3 1 10 100 0.863 1.27 2.719 2.34 0.904 1 boston 0.001 8
4 1 20 50 0.882 1.209 3.062 2.47 0.887 1 boston 0.001 8
5 1 20 75 0.863 1.076 2.633 2.36 0.919 1 boston 0.001 8
6 1 20 100 0.902 1.179 2.849 2.343 0.905 1 boston 0.001 8
7 1 30 50 0.804 1.332 3.148 2.576 0.889 1 boston 0.001 8
8 1 30 75 0.843 1.214 2.618 2.395 0.923 1 boston 0.001 8
9 1 30 100 0.843 1.076 2.658 2.342 0.922 1 boston 0.001 8
10 2 10 50 0.882 1.462 2.984 2.452 0.877 1 boston 0.001 8
11 2 10 75 0.863 1.183 2.788 2.48 0.897 1 boston 0.001 8
12 2 10 100 0.882 1.289 2.923 2.48 0.887 1 boston 0.001 8
13 2 20 50 0.863 1.235 3.128 2.522 0.857 1 boston 0.001 8
14 2 20 75 0.941 1.304 2.599 2.397 0.902 1 boston 0.001 8
15 2 20 100 0.922 1.381 2.827 2.455 0.884 1 boston 0.001 8
16 2 30 50 0.824 1.392 2.85 2.508 0.881 1 boston 0.001 8
17 2 30 75 0.824 1.05 2.745 2.445 0.89 1 boston 0.001 8
18 2 30 100 0.863 1.225 2.707 2.385 0.897 1 boston 0.001 8
19 3 10 50 0.863 1.085 2.875 2.281 0.878 1 boston 0.001 8
20 3 10 75 0.843 1.039 2.32 2.255 0.917 1 boston 0.001 8
21 3 10 100 0.863 0.953 2.651 2.354 0.905 1 boston 0.001 8
22 3 20 50 0.882 1.067 3.167 2.383 0.847 1 boston 0.001 8
23 3 20 75 0.804 0.951 2.495 2.291 0.902 1 boston 0.001 8
24 3 20 100 0.863 0.999 2.61 2.281 0.898 1 boston 0.001 8
25 3 30 50 0.902 1.023 2.784 2.278 0.875 1 boston 0.001 8
26 3 30 75 0.922 1.033 2.492 2.207 0.911 1 boston 0.001 8
27 3 30 100 0.882 0.994 2.641 2.315 0.902 1 boston 0.001 8
