EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 1.0 1815.556 5.558 3.004 0.825 1 concrete 0.005 1
2 1 10 75 1.0 1598.544 5.426 3.078 0.842 1 concrete 0.005 1
3 1 10 100 1.0 1423.519 5.653 3.072 0.835 1 concrete 0.005 1
4 1 20 50 1.0 1433.711 5.994 3.042 0.805 1 concrete 0.005 1
5 1 20 75 1.0 1194.093 5.347 2.983 0.866 1 concrete 0.005 1
6 1 20 100 1.0 1668.709 5.746 3.047 0.839 1 concrete 0.005 1
7 1 30 50 1.0 1237.043 5.28 3.071 0.749 1 concrete 0.005 1
8 1 30 75 1.0 1857.715 5.517 3.056 0.731 1 concrete 0.005 1
9 1 30 100 1.0 1305.752 5.506 2.962 0.825 1 concrete 0.005 1
10 2 10 50 1.0 1434.363 4.712 2.994 0.889 1 concrete 0.005 1
11 2 10 75 1.0 1438.025 4.849 2.962 0.884 1 concrete 0.005 1
12 2 10 100 1.0 1124.778 4.48 2.94 0.838 1 concrete 0.005 1
13 2 20 50 1.0 1168.841 4.463 2.936 0.867 1 concrete 0.005 1
14 2 20 75 1.0 1177.89 4.685 2.932 0.859 1 concrete 0.005 1
15 2 20 100 1.0 751.724 4.779 2.95 0.835 1 concrete 0.005 1
16 2 30 50 1.0 1671.704 4.419 2.926 0.811 1 concrete 0.005 1
17 2 30 75 1.0 678.853 4.428 2.868 0.882 1 concrete 0.005 1
18 2 30 100 1.0 862.309 4.378 2.89 0.878 1 concrete 0.005 1
19 3 10 50 1.0 916.704 5.386 3.025 0.885 1 concrete 0.005 1
20 3 10 75 1.0 1052.736 5.135 3.01 0.897 1 concrete 0.005 1
21 3 10 100 1.0 955.944 5.505 3.078 0.867 1 concrete 0.005 1
22 3 20 50 1.0 833.588 5.167 3.057 0.848 1 concrete 0.005 1
23 3 20 75 1.0 831.681 5.162 3.051 0.863 1 concrete 0.005 1
24 3 20 100 1.0 936.266 4.909 3.018 0.889 1 concrete 0.005 1
25 3 30 50 1.0 879.272 5.325 2.972 0.84 1 concrete 0.005 1
26 3 30 75 1.0 985.296 5.283 2.972 0.854 1 concrete 0.005 1
27 3 30 100 1.0 948.539 5.375 3.0 0.877 1 concrete 0.005 1
