EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 0.948 19.674 2.866 1.766 0.893 1 energy 0.002 1
2 1 10 75 0.974 202.969 2.906 1.813 0.891 1 energy 0.002 1
3 1 10 100 0.974 44.575 2.803 1.769 0.896 1 energy 0.002 1
4 1 20 50 0.948 9.219 2.917 1.785 0.899 1 energy 0.002 1
5 1 20 75 0.987 156.065 2.843 1.783 0.912 1 energy 0.002 1
6 1 20 100 1.0 27.746 2.759 1.71 0.917 1 energy 0.002 1
7 1 30 50 0.987 43.449 2.884 1.756 0.907 1 energy 0.002 1
8 1 30 75 1.0 34.051 2.823 1.782 0.902 1 energy 0.002 1
9 1 30 100 1.0 42.98 2.772 1.786 0.91 1 energy 0.002 1
10 2 10 50 1.0 311.579 2.457 1.712 0.916 1 energy 0.002 1
11 2 10 75 0.974 73.799 2.463 1.747 0.917 1 energy 0.002 1
12 2 10 100 1.0 146.317 2.469 1.742 0.903 1 energy 0.002 1
13 2 20 50 0.987 12.966 2.563 1.742 0.919 1 energy 0.002 1
14 2 20 75 1.0 112.016 2.413 1.714 0.921 1 energy 0.002 1
15 2 20 100 0.987 59.744 2.341 1.718 0.93 1 energy 0.002 1
16 2 30 50 0.961 153.218 2.502 1.658 0.92 1 energy 0.002 1
17 2 30 75 0.961 89.686 2.365 1.698 0.921 1 energy 0.002 1
18 2 30 100 0.948 257.464 2.426 1.717 0.919 1 energy 0.002 1
19 3 10 50 0.961 335.35 2.071 1.499 0.944 1 energy 0.002 1
20 3 10 75 0.961 342.798 2.1 1.549 0.942 1 energy 0.002 1
21 3 10 100 0.987 355.93 2.058 1.543 0.947 1 energy 0.002 1
22 3 20 50 0.987 6.568 2.212 1.57 0.942 1 energy 0.002 1
23 3 20 75 0.961 329.254 2.148 1.55 0.94 1 energy 0.002 1
24 3 20 100 0.974 4.615 2.478 1.565 0.922 1 energy 0.002 1
25 3 30 50 1.0 66.739 2.24 1.526 0.935 1 energy 0.002 1
26 3 30 75 1.0 45.641 2.151 1.521 0.93 1 energy 0.002 1
27 3 30 100 1.0 200.103 2.203 1.583 0.937 1 energy 0.002 1
