EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 1.0 3912.29 0.061 -1.307 0.893 1 kin8nm 0.001 1
2 1 10 75 1.0 3912.332 0.059 -1.352 0.904 1 kin8nm 0.001 1
3 1 10 100 1.0 3913.654 0.061 -1.368 0.91 1 kin8nm 0.001 1
4 1 20 50 1.0 3912.061 0.061 -1.303 0.898 1 kin8nm 0.001 1
5 1 20 75 1.0 3907.371 0.062 -1.327 0.9 1 kin8nm 0.001 1
6 1 20 100 1.0 3916.255 0.06 -1.34 0.91 1 kin8nm 0.001 1
7 1 30 50 1.0 3911.375 0.061 -1.276 0.9 1 kin8nm 0.001 1
8 1 30 75 1.0 3904.478 0.062 -1.279 0.911 1 kin8nm 0.001 1
9 1 30 100 1.0 3915.626 0.058 -1.362 0.921 1 kin8nm 0.001 1
10 2 10 50 1.0 3913.749 0.063 -1.317 0.877 1 kin8nm 0.001 1
11 2 10 75 1.0 3908.543 0.065 -1.301 0.899 1 kin8nm 0.001 1
12 2 10 100 1.0 3898.712 0.058 -1.362 0.895 1 kin8nm 0.001 1
13 2 20 50 1.0 3920.0 0.061 -1.295 0.895 1 kin8nm 0.001 1
14 2 20 75 1.0 3911.282 0.061 -1.319 0.908 1 kin8nm 0.001 1
15 2 20 100 1.0 3894.917 0.06 -1.349 0.909 1 kin8nm 0.001 1
16 2 30 50 1.0 3916.647 0.066 -1.298 0.896 1 kin8nm 0.001 1
17 2 30 75 1.0 3905.758 0.064 -1.324 0.899 1 kin8nm 0.001 1
18 2 30 100 1.0 3910.062 0.059 -1.37 0.918 1 kin8nm 0.001 1
19 3 10 50 1.0 3917.179 0.066 -1.306 0.896 1 kin8nm 0.001 1
20 3 10 75 1.0 3920.0 0.06 -1.344 0.906 1 kin8nm 0.001 1
21 3 10 100 1.0 3920.0 0.06 -1.326 0.91 1 kin8nm 0.001 1
22 3 20 50 1.0 3914.739 0.065 -1.276 0.888 1 kin8nm 0.001 1
23 3 20 75 1.0 3917.022 0.062 -1.348 0.873 1 kin8nm 0.001 1
24 3 20 100 1.0 3903.609 0.058 -1.415 0.899 1 kin8nm 0.001 1
25 3 30 50 1.0 3917.226 0.062 -1.275 0.898 1 kin8nm 0.001 1
26 3 30 75 1.0 3920.0 0.057 -1.445 0.911 1 kin8nm 0.001 1
27 3 30 100 1.0 3916.891 0.059 -1.354 0.912 1 kin8nm 0.001 1
