EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 1.0 3920.0 0.001 -5.978 0.941 1 naval 0.0005 1
2 1 10 75 1.0 3920.0 0.001 -5.975 0.954 1 naval 0.0005 1
3 1 10 100 1.0 3920.0 0.001 -5.891 0.951 1 naval 0.0005 1
4 1 20 50 1.0 3920.0 0.001 -6.01 0.844 1 naval 0.0005 1
5 1 20 75 1.0 3920.0 0.001 -5.957 0.926 1 naval 0.0005 1
6 1 20 100 1.0 3920.0 0.001 -6.249 0.911 1 naval 0.0005 1
7 1 30 50 1.0 3920.0 0.001 -6.025 0.869 1 naval 0.0005 1
8 1 30 75 1.0 3920.0 0.001 -6.175 0.928 1 naval 0.0005 1
9 1 30 100 1.0 3920.0 0.001 -6.149 0.852 1 naval 0.0005 1
10 2 10 50 1.0 3920.0 0.001 -6.019 0.916 1 naval 0.0005 1
11 2 10 75 1.0 3920.0 0.001 -6.077 0.917 1 naval 0.0005 1
12 2 10 100 1.0 3920.0 0.001 -5.949 0.926 1 naval 0.0005 1
13 2 20 50 1.0 3920.0 0.001 -6.125 0.881 1 naval 0.0005 1
14 2 20 75 1.0 3920.0 0.001 -5.969 0.958 1 naval 0.0005 1
15 2 20 100 1.0 3920.0 0.001 -6.027 0.939 1 naval 0.0005 1
16 2 30 50 1.0 3920.0 0.001 -6.049 0.908 1 naval 0.0005 1
17 2 30 75 1.0 3920.0 0.001 -5.922 0.905 1 naval 0.0005 1
18 2 30 100 1.0 3920.0 0.001 -6.025 0.778 1 naval 0.0005 1
19 3 10 50 1.0 3920.0 0.001 -6.044 0.921 1 naval 0.0005 1
20 3 10 75 1.0 3920.0 0.001 -5.995 0.952 1 naval 0.0005 1
21 3 10 100 1.0 3920.0 0.001 -5.98 0.942 1 naval 0.0005 1
22 3 20 50 1.0 3920.0 0.002 -5.872 0.881 1 naval 0.0005 1
23 3 20 75 1.0 3920.0 0.001 -5.933 0.936 1 naval 0.0005 1
24 3 20 100 1.0 3920.0 0.001 -6.105 0.923 1 naval 0.0005 1
25 3 30 50 1.0 3920.0 0.001 -5.975 0.903 1 naval 0.0005 1
26 3 30 75 1.0 3920.0 0.001 -5.993 0.89 1 naval 0.0005 1
27 3 30 100 1.0 3920.0 0.001 -6.116 0.954 1 naval 0.0005 1
