EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 1.0 3865.791 2.912 2.618 0.944 1 power 0.001 2
2 1 10 75 1.0 3199.933 2.958 2.605 0.945 1 power 0.001 2
3 1 10 100 1.0 3094.4 2.919 2.626 0.945 1 power 0.001 2
4 1 20 50 1.0 3825.113 2.936 2.575 0.94 1 power 0.001 2
5 1 20 75 1.0 3020.982 2.905 2.574 0.94 1 power 0.001 2
6 1 20 100 1.0 3828.595 2.872 2.556 0.942 1 power 0.001 2
7 1 30 50 1.0 2836.842 3.037 2.58 0.946 1 power 0.001 2
8 1 30 75 1.0 2966.554 2.974 2.584 0.946 1 power 0.001 2
9 1 30 100 1.0 2934.276 3.075 2.569 0.946 1 power 0.001 2
10 2 10 50 1.0 3907.099 2.913 2.588 0.948 1 power 0.001 2
11 2 10 75 1.0 2851.138 2.922 2.57 0.948 1 power 0.001 2
12 2 10 100 1.0 2947.429 2.935 2.591 0.947 1 power 0.001 2
13 2 20 50 1.0 2910.756 3.024 2.589 0.941 1 power 0.001 2
14 2 20 75 1.0 3040.498 2.997 2.577 0.94 1 power 0.001 2
15 2 20 100 1.0 2956.911 3.001 2.559 0.941 1 power 0.001 2
16 2 30 50 1.0 2888.348 3.0 2.576 0.943 1 power 0.001 2
17 2 30 75 1.0 2959.707 2.882 2.58 0.946 1 power 0.001 2
18 2 30 100 1.0 3900.411 2.885 2.572 0.944 1 power 0.001 2
19 3 10 50 1.0 3908.067 2.677 2.499 0.942 1 power 0.001 2
20 3 10 75 1.0 2958.586 2.719 2.488 0.944 1 power 0.001 2
21 3 10 100 1.0 2863.056 2.833 2.509 0.942 1 power 0.001 2
22 3 20 50 1.0 2578.055 2.889 2.551 0.949 1 power 0.001 2
23 3 20 75 1.0 2880.752 2.882 2.564 0.95 1 power 0.001 2
24 3 20 100 1.0 3877.536 2.867 2.543 0.949 1 power 0.001 2
25 3 30 50 1.0 3011.964 2.893 2.579 0.947 1 power 0.001 2
26 3 30 75 1.0 3026.218 2.828 2.515 0.95 1 power 0.001 2
27 3 30 100 1.0 2947.355 2.759 2.521 0.95 1 power 0.001 2
