EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 0.997 76.157 4.429 2.709 0.294 1 protein 0.001 64
2 1 10 75 0.997 68.003 4.414 2.719 0.307 1 protein 0.001 64
3 1 10 100 0.998 60.952 4.404 2.69 0.284 1 protein 0.001 64
4 1 20 50 1.0 968.839 3.958 2.641 0.32 1 protein 0.001 64
5 1 20 75 0.993 21.004 4.149 2.781 0.296 1 protein 0.001 64
6 1 20 100 0.984 10.916 4.044 2.78 0.294 1 protein 0.001 64
7 1 30 50 0.997 75.359 4.493 2.763 0.303 1 protein 0.001 64
8 1 30 75 1.0 707.17 4.333 2.717 0.329 1 protein 0.001 64
9 1 30 100 1.0 276.245 4.451 2.687 0.309 1 protein 0.001 64
10 2 10 50 0.998 77.252 4.465 2.678 0.282 1 protein 0.001 64
11 2 10 75 0.998 53.348 4.417 2.647 0.303 1 protein 0.001 64
12 2 10 100 0.999 123.22 4.057 2.649 0.292 1 protein 0.001 64
13 2 20 50 1.0 176.057 4.127 2.642 0.289 1 protein 0.001 64
14 2 20 75 0.995 17.747 4.187 2.787 0.28 1 protein 0.001 64
15 2 20 100 0.991 12.372 4.143 2.745 0.293 1 protein 0.001 64
16 2 30 50 0.997 50.207 4.376 2.727 0.3 1 protein 0.001 64
17 2 30 75 1.0 235.084 4.246 2.669 0.326 1 protein 0.001 64
18 2 30 100 1.0 274.986 4.25 2.657 0.343 1 protein 0.001 64
19 3 10 50 1.0 139.269 4.197 2.755 0.307 1 protein 0.001 64
20 3 10 75 0.998 38.814 4.182 2.789 0.297 1 protein 0.001 64
21 3 10 100 0.999 37.173 4.177 2.774 0.305 1 protein 0.001 64
22 3 20 50 1.0 395.545 3.933 2.614 0.323 1 protein 0.001 64
23 3 20 75 0.992 11.112 4.252 2.829 0.305 1 protein 0.001 64
24 3 20 100 0.994 17.662 4.277 2.81 0.308 1 protein 0.001 64
25 3 30 50 0.997 34.334 4.26 2.786 0.29 1 protein 0.001 64
26 3 30 75 1.0 259.087 4.107 2.594 0.337 1 protein 0.001 64
27 3 30 100 1.0 311.652 4.063 2.621 0.34 1 protein 0.001 64
