EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 0.988 4.228 0.468 0.793 0.399 1 wine 0.0001 32
2 1 10 75 0.981 4.183 0.491 0.758 0.391 1 wine 0.0001 32
3 1 10 100 0.975 4.156 0.479 0.719 0.423 1 wine 0.0001 32
4 1 20 50 0.988 4.289 0.495 0.804 0.388 1 wine 0.0001 32
5 1 20 75 0.975 4.588 0.517 0.805 0.371 1 wine 0.0001 32
6 1 20 100 0.988 4.43 0.503 0.767 0.372 1 wine 0.0001 32
7 1 30 50 0.988 4.225 0.491 0.766 0.435 1 wine 0.0001 32
8 1 30 75 0.981 4.031 0.505 0.76 0.412 1 wine 0.0001 32
9 1 30 100 0.981 4.176 0.496 0.747 0.411 1 wine 0.0001 32
10 2 10 50 0.981 4.258 0.548 0.938 0.181 1 wine 0.0001 32
11 2 10 75 0.988 4.501 0.535 0.889 0.19 1 wine 0.0001 32
12 2 10 100 0.994 4.701 0.526 0.846 0.188 1 wine 0.0001 32
13 2 20 50 0.981 4.514 0.6 0.904 0.154 1 wine 0.0001 32
14 2 20 75 0.994 4.586 0.579 0.947 0.138 1 wine 0.0001 32
15 2 20 100 0.994 4.557 0.572 0.856 0.225 1 wine 0.0001 32
16 2 30 50 0.994 4.539 0.586 0.966 0.202 1 wine 0.0001 32
17 2 30 75 1.0 4.326 0.551 0.901 0.161 1 wine 0.0001 32
18 2 30 100 0.988 4.531 0.592 0.938 0.192 1 wine 0.0001 32
19 3 10 50 0.988 4.004 0.564 0.887 0.387 1 wine 0.0001 32
20 3 10 75 0.988 4.185 0.58 0.887 0.35 1 wine 0.0001 32
21 3 10 100 0.975 4.252 0.578 0.854 0.35 1 wine 0.0001 32
22 3 20 50 0.981 4.128 0.574 0.879 0.354 1 wine 0.0001 32
23 3 20 75 0.981 4.389 0.568 0.877 0.338 1 wine 0.0001 32
24 3 20 100 0.975 4.227 0.578 0.834 0.339 1 wine 0.0001 32
25 3 30 50 0.981 4.181 0.537 0.846 0.361 1 wine 0.0001 32
26 3 30 75 0.969 4.014 0.534 0.81 0.372 1 wine 0.0001 32
27 3 30 100 0.994 4.225 0.525 0.784 0.365 1 wine 0.0001 32
