EXP split_seed random_seed neurons PICP_test MPIW_test RMSE NLL R2 num_trials data lr batch_size 
1 1 10 50 0.806 0.398 1.918 1.112 0.98 1 yacht 0.0005 1
2 1 10 75 0.871 0.259 1.506 0.796 0.984 1 yacht 0.0005 1
3 1 10 100 0.613 0.24 1.5 0.824 0.984 1 yacht 0.0005 1
4 1 20 50 0.806 0.623 2.159 1.092 0.974 1 yacht 0.0005 1
5 1 20 75 0.871 0.204 1.211 0.664 0.99 1 yacht 0.0005 1
6 1 20 100 0.968 0.257 1.445 0.766 0.988 1 yacht 0.0005 1
7 1 30 50 0.903 0.303 1.741 0.937 0.981 1 yacht 0.0005 1
8 1 30 75 1.0 0.287 1.493 0.808 0.986 1 yacht 0.0005 1
9 1 30 100 1.0 0.242 1.597 0.793 0.986 1 yacht 0.0005 1
10 2 10 50 0.742 0.446 1.662 0.915 0.979 1 yacht 0.0005 1
11 2 10 75 0.806 0.292 0.951 0.573 0.992 1 yacht 0.0005 1
12 2 10 100 0.742 0.253 0.839 0.642 0.992 1 yacht 0.0005 1
13 2 20 50 0.806 0.531 1.946 1.013 0.968 1 yacht 0.0005 1
14 2 20 75 0.742 0.206 0.575 0.555 0.996 1 yacht 0.0005 1
15 2 20 100 0.871 0.227 0.614 0.501 0.997 1 yacht 0.0005 1
16 2 30 50 0.806 0.376 0.9 0.827 0.993 1 yacht 0.0005 1
17 2 30 75 0.71 0.276 0.757 0.803 0.996 1 yacht 0.0005 1
18 2 30 100 0.677 0.236 0.625 0.561 0.996 1 yacht 0.0005 1
19 3 10 50 0.806 0.398 2.732 1.029 0.968 1 yacht 0.0005 1
20 3 10 75 0.935 0.271 2.037 0.7 0.983 1 yacht 0.0005 1
21 3 10 100 0.935 0.246 1.563 0.862 0.991 1 yacht 0.0005 1
22 3 20 50 0.806 0.442 3.385 1.191 0.945 1 yacht 0.0005 1
23 3 20 75 0.71 0.253 1.675 0.855 0.988 1 yacht 0.0005 1
24 3 20 100 0.839 0.28 1.539 0.837 0.988 1 yacht 0.0005 1
25 3 30 50 0.839 0.304 2.506 0.856 0.971 1 yacht 0.0005 1
26 3 30 75 0.806 0.25 1.972 0.893 0.98 1 yacht 0.0005 1
27 3 30 100 0.871 0.216 1.405 0.892 0.99 1 yacht 0.0005 1
