EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.941 1.373 0.285 0.927
2 1 10 75 0.784 0.984 0.367 0.879
3 1 10 100 0.863 0.901 0.32 0.908
4 1 20 50 0.824 0.941 0.382 0.869
5 1 20 75 0.882 0.898 0.296 0.921
6 1 20 100 0.902 0.949 0.32 0.908
7 1 30 50 0.824 0.884 0.377 0.872
8 1 30 75 0.882 0.88 0.354 0.887
9 1 30 100 0.922 1.076 0.356 0.886
10 2 10 50 0.824 1.051 0.354 0.854
11 2 10 75 0.902 0.988 0.263 0.919
12 2 10 100 0.804 1.225 0.336 0.869
13 2 20 50 0.882 1.103 0.289 0.903
14 2 20 75 0.902 0.871 0.311 0.887
15 2 20 100 0.902 0.91 0.289 0.903
16 2 30 50 0.824 0.969 0.296 0.898
17 2 30 75 0.922 1.019 0.303 0.893
18 2 30 100 0.922 1.11 0.259 0.922
19 3 10 50 0.843 0.851 0.325 0.874
20 3 10 75 0.882 0.889 0.267 0.915
21 3 10 100 0.843 0.788 0.252 0.924
22 3 20 50 0.863 0.896 0.246 0.928
23 3 20 75 0.843 0.789 0.287 0.902
24 3 20 100 0.863 0.921 0.291 0.899
25 3 30 50 0.863 0.84 0.284 0.904
26 3 30 75 0.863 0.919 0.285 0.903
27 3 30 100 0.843 0.944 0.297 0.895
