EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.942 1.14 0.324 0.87
2 1 10 75 0.942 1.585 0.346 0.852
3 1 10 100 0.932 1.309 0.365 0.836
4 1 20 50 0.893 1.183 0.334 0.862
5 1 20 75 0.932 1.132 0.336 0.86
6 1 20 100 0.932 1.166 0.33 0.866
7 1 30 50 0.913 1.416 0.321 0.873
8 1 30 75 0.903 1.628 0.353 0.847
9 1 30 100 0.903 1.45 0.326 0.869
10 2 10 50 0.942 1.024 0.294 0.889
11 2 10 75 0.932 1.332 0.281 0.898
12 2 10 100 0.942 1.042 0.275 0.902
13 2 20 50 0.942 1.03 0.283 0.896
14 2 20 75 0.961 1.02 0.267 0.908
15 2 20 100 0.903 1.029 0.306 0.879
16 2 30 50 0.864 0.959 0.278 0.9
17 2 30 75 0.922 1.046 0.283 0.897
18 2 30 100 0.903 1.065 0.294 0.889
19 3 10 50 0.932 1.235 0.365 0.88
20 3 10 75 0.903 1.045 0.326 0.904
21 3 10 100 0.903 1.019 0.316 0.91
22 3 20 50 0.922 1.004 0.316 0.91
23 3 20 75 0.932 1.186 0.357 0.886
24 3 20 100 0.932 1.075 0.278 0.931
25 3 30 50 0.942 1.08 0.318 0.909
26 3 30 75 0.913 1.075 0.346 0.893
27 3 30 100 0.932 1.108 0.307 0.915
