EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.951 0.484 0.125 0.985
2 1 10 75 0.948 0.568 0.131 0.983
3 1 10 100 0.946 0.644 0.176 0.97
4 1 20 50 0.946 0.738 0.223 0.952
5 1 20 75 0.947 0.562 0.169 0.972
6 1 20 100 0.961 0.457 0.131 0.983
7 1 30 50 0.942 0.441 0.139 0.981
8 1 30 75 0.953 0.491 0.124 0.985
9 1 30 100 0.943 0.481 0.149 0.978
10 2 10 50 0.949 0.549 0.14 0.98
11 2 10 75 0.945 0.558 0.132 0.982
12 2 10 100 0.948 0.629 0.194 0.962
13 2 20 50 0.949 0.547 0.157 0.975
14 2 20 75 0.955 0.994 0.283 0.919
15 2 20 100 0.937 0.393 0.115 0.987
16 2 30 50 0.939 0.449 0.152 0.977
17 2 30 75 0.953 0.476 0.144 0.979
18 2 30 100 0.936 0.466 0.157 0.975
19 3 10 50 0.939 0.503 0.134 0.983
20 3 10 75 0.947 0.477 0.123 0.985
21 3 10 100 0.939 0.512 0.135 0.983
22 3 20 50 0.949 0.507 0.158 0.976
23 3 20 75 0.945 0.589 0.16 0.976
24 3 20 100 0.953 0.34 0.123 0.986
25 3 30 50 0.938 0.409 0.122 0.986
26 3 30 75 0.942 0.601 0.171 0.972
27 3 30 100 0.946 0.454 0.148 0.979
