EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.962 2.838 0.725 0.293
2 1 10 75 0.956 2.882 0.651 0.43
3 1 10 100 0.962 2.852 0.673 0.39
4 1 20 50 0.95 2.924 0.687 0.365
5 1 20 75 0.862 2.737 0.733 0.277
6 1 20 100 0.931 3.088 0.701 0.338
7 1 30 50 0.894 2.811 0.748 0.247
8 1 30 75 0.969 2.694 0.751 0.241
9 1 30 100 0.962 3.018 0.682 0.373
10 2 10 50 0.956 2.843 0.804 0.133
11 2 10 75 0.938 2.931 0.78 0.184
12 2 10 100 0.962 3.093 0.819 0.099
13 2 20 50 0.95 3.56 0.836 0.064
14 2 20 75 0.938 3.633 0.795 0.153
15 2 20 100 0.95 3.836 0.82 0.098
16 2 30 50 0.95 2.909 0.96 -0.236
17 2 30 75 0.95 2.998 0.785 0.173
18 2 30 100 0.956 2.943 0.742 0.261
19 3 10 50 0.925 2.774 0.773 0.312
20 3 10 75 0.919 2.634 0.784 0.291
21 3 10 100 0.938 2.723 0.774 0.31
22 3 20 50 0.931 3.433 0.781 0.296
23 3 20 75 0.912 2.565 0.791 0.279
24 3 20 100 0.919 2.818 0.79 0.281
25 3 30 50 0.875 2.775 0.807 0.25
26 3 30 75 0.906 2.735 0.799 0.265
27 3 30 100 0.919 2.746 0.773 0.311
