EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.935 0.193 0.059 0.995
2 1 10 75 0.903 0.286 0.059 0.995
3 1 10 100 0.903 0.182 0.063 0.995
4 1 20 50 0.935 0.166 0.055 0.996
5 1 20 75 0.968 0.27 0.055 0.996
6 1 20 100 0.903 0.237 0.055 0.996
7 1 30 50 0.935 0.297 0.058 0.996
8 1 30 75 0.968 0.451 0.054 0.996
9 1 30 100 0.839 0.193 0.057 0.996
10 2 10 50 1.0 0.391 0.036 0.998
11 2 10 75 0.968 0.227 0.05 0.997
12 2 10 100 0.903 0.168 0.049 0.997
13 2 20 50 0.968 0.277 0.039 0.998
14 2 20 75 0.968 0.491 0.042 0.998
15 2 20 100 0.903 0.327 0.041 0.998
16 2 30 50 0.935 0.212 0.036 0.998
17 2 30 75 1.0 0.392 0.039 0.998
18 2 30 100 0.903 0.247 0.042 0.998
19 3 10 50 0.968 0.393 0.06 0.997
20 3 10 75 0.903 0.655 0.066 0.996
21 3 10 100 0.903 0.234 0.069 0.996
22 3 20 50 0.871 0.278 0.047 0.998
23 3 20 75 0.935 0.306 0.059 0.997
24 3 20 100 0.903 0.254 0.057 0.997
25 3 30 50 0.968 0.484 0.074 0.995
26 3 30 75 0.935 0.364 0.069 0.996
27 3 30 100 0.806 0.23 0.058 0.997
