EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.98 1.634 0.296 0.921
2 1 10 75 0.98 1.481 0.325 0.905
3 1 10 100 0.98 1.394 0.308 0.914
4 1 20 50 0.98 1.637 0.293 0.923
5 1 20 75 0.961 1.809 0.303 0.917
6 1 20 100 0.98 1.536 0.278 0.93
7 1 30 50 0.941 1.324 0.33 0.902
8 1 30 75 0.922 1.329 0.322 0.906
9 1 30 100 0.961 1.296 0.28 0.93
10 2 10 50 0.922 1.439 0.319 0.882
11 2 10 75 0.922 1.49 0.313 0.886
12 2 10 100 0.922 1.263 0.318 0.883
13 2 20 50 0.882 1.238 0.404 0.811
14 2 20 75 0.922 1.234 0.317 0.884
15 2 20 100 0.882 1.473 0.363 0.847
16 2 30 50 0.902 1.21 0.314 0.885
17 2 30 75 0.922 1.312 0.27 0.915
18 2 30 100 0.941 1.277 0.405 0.81
19 3 10 50 0.98 1.539 0.271 0.912
20 3 10 75 0.98 1.368 0.247 0.927
21 3 10 100 0.98 1.393 0.25 0.925
22 3 20 50 0.961 1.58 0.23 0.937
23 3 20 75 0.98 1.531 0.298 0.894
24 3 20 100 0.922 1.456 0.235 0.934
25 3 30 50 0.961 1.378 0.28 0.907
26 3 30 75 0.941 1.265 0.282 0.905
27 3 30 100 0.922 1.221 0.279 0.907
