EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.913 2.16 0.432 0.769
2 1 10 75 0.922 1.458 0.392 0.81
3 1 10 100 0.932 1.665 0.413 0.789
4 1 20 50 0.951 1.484 0.364 0.836
5 1 20 75 0.961 1.76 0.364 0.837
6 1 20 100 0.932 1.497 0.398 0.805
7 1 30 50 0.913 1.987 0.391 0.811
8 1 30 75 0.893 1.814 0.372 0.829
9 1 30 100 0.961 1.587 0.371 0.83
10 2 10 50 0.942 1.764 0.323 0.866
11 2 10 75 0.951 1.441 0.338 0.853
12 2 10 100 0.932 1.67 0.326 0.863
13 2 20 50 0.942 1.354 0.292 0.89
14 2 20 75 0.961 1.911 0.315 0.872
15 2 20 100 0.971 1.557 0.321 0.867
16 2 30 50 0.932 1.852 0.315 0.872
17 2 30 75 0.913 1.575 0.334 0.856
18 2 30 100 0.951 1.569 0.31 0.876
19 3 10 50 0.951 2.244 0.408 0.851
20 3 10 75 0.903 1.835 0.388 0.865
21 3 10 100 0.951 1.946 0.389 0.864
22 3 20 50 0.951 1.544 0.349 0.89
23 3 20 75 0.903 1.666 0.362 0.882
24 3 20 100 0.971 1.633 0.378 0.871
25 3 30 50 0.932 1.816 0.357 0.885
26 3 30 75 0.951 2.147 0.36 0.883
27 3 30 100 0.951 1.566 0.377 0.872
