EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.961 1.437 0.218 0.957
2 1 10 75 0.935 0.835 0.225 0.954
3 1 10 100 0.948 0.64 0.227 0.953
4 1 20 50 0.896 0.725 0.22 0.956
5 1 20 75 0.974 0.673 0.223 0.955
6 1 20 100 0.961 0.979 0.223 0.955
7 1 30 50 0.961 0.804 0.28 0.929
8 1 30 75 0.948 0.674 0.226 0.954
9 1 30 100 0.961 0.64 0.221 0.956
10 2 10 50 0.948 0.866 0.245 0.935
11 2 10 75 0.961 1.671 0.202 0.955
12 2 10 100 0.974 0.892 0.198 0.957
13 2 20 50 0.948 0.795 0.212 0.951
14 2 20 75 0.87 0.639 0.216 0.949
15 2 20 100 0.948 1.411 0.232 0.941
16 2 30 50 0.974 1.551 0.191 0.96
17 2 30 75 0.922 1.122 0.194 0.959
18 2 30 100 0.961 1.102 0.208 0.953
19 3 10 50 0.987 1.453 0.228 0.944
20 3 10 75 0.948 0.576 0.164 0.971
21 3 10 100 0.948 1.175 0.155 0.974
22 3 20 50 0.948 1.071 0.165 0.971
23 3 20 75 0.896 1.127 0.221 0.947
24 3 20 100 0.974 1.188 0.22 0.948
25 3 30 50 0.961 1.459 0.177 0.966
26 3 30 75 0.922 2.126 0.164 0.971
27 3 30 100 0.948 0.567 0.177 0.966
