EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.941 1.663 0.369 0.863
2 1 10 75 0.934 1.385 0.367 0.864
3 1 10 100 0.94 1.365 0.365 0.865
4 1 20 50 0.944 1.265 0.334 0.887
5 1 20 75 0.951 1.465 0.388 0.848
6 1 20 100 0.941 1.297 0.347 0.879
7 1 30 50 0.938 1.245 0.328 0.892
8 1 30 75 0.929 1.382 0.372 0.861
9 1 30 100 0.954 1.273 0.323 0.895
10 2 10 50 0.941 1.757 0.39 0.853
11 2 10 75 0.937 1.7 0.38 0.861
12 2 10 100 0.941 1.379 0.372 0.867
13 2 20 50 0.93 1.333 0.36 0.875
14 2 20 75 0.943 1.437 0.373 0.866
15 2 20 100 0.941 1.317 0.349 0.882
16 2 30 50 0.935 1.338 0.362 0.874
17 2 30 75 0.934 1.383 0.372 0.867
18 2 30 100 0.94 1.292 0.352 0.88
19 3 10 50 0.927 1.5 0.364 0.868
20 3 10 75 0.944 1.42 0.373 0.861
21 3 10 100 0.938 1.43 0.371 0.863
22 3 20 50 0.937 1.309 0.348 0.879
23 3 20 75 0.944 1.306 0.346 0.881
24 3 20 100 0.934 1.315 0.356 0.874
25 3 30 50 0.938 1.334 0.355 0.874
26 3 30 75 0.941 1.345 0.351 0.877
27 3 30 100 0.952 1.411 0.364 0.868
