EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.961 1.206 0.246 0.942
2 1 10 75 0.958 1.377 0.247 0.941
3 1 10 100 0.962 1.388 0.246 0.942
4 1 20 50 0.964 1.308 0.246 0.942
5 1 20 75 0.954 0.9 0.246 0.942
6 1 20 100 0.953 0.899 0.246 0.942
7 1 30 50 0.961 1.244 0.247 0.941
8 1 30 75 0.954 0.9 0.246 0.941
9 1 30 100 0.955 0.939 0.256 0.937
10 2 10 50 0.954 1.246 0.238 0.943
11 2 10 75 0.956 1.216 0.238 0.943
12 2 10 100 0.954 1.275 0.239 0.943
13 2 20 50 0.957 1.211 0.239 0.943
14 2 20 75 0.952 0.899 0.238 0.943
15 2 20 100 0.953 0.9 0.239 0.943
16 2 30 50 0.95 1.44 0.239 0.943
17 2 30 75 0.962 1.586 0.238 0.943
18 2 30 100 0.956 0.896 0.238 0.943
19 3 10 50 0.953 1.362 0.234 0.945
20 3 10 75 0.954 1.264 0.234 0.945
21 3 10 100 0.951 1.247 0.235 0.944
22 3 20 50 0.952 1.281 0.234 0.945
23 3 20 75 0.961 0.903 0.234 0.945
24 3 20 100 0.96 0.901 0.234 0.945
25 3 30 50 0.948 1.302 0.235 0.944
26 3 30 75 0.959 1.527 0.234 0.945
27 3 30 100 0.962 0.935 0.243 0.94
