EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.947 2.798 0.777 0.397
2 1 10 75 0.948 2.764 0.772 0.405
3 1 10 100 0.949 2.844 0.781 0.392
4 1 20 50 0.944 2.779 0.777 0.398
5 1 20 75 0.949 2.796 0.765 0.416
6 1 20 100 0.944 2.781 0.77 0.409
7 1 30 50 0.945 2.767 0.762 0.421
8 1 30 75 0.943 2.788 0.765 0.416
9 1 30 100 0.941 2.812 0.774 0.403
10 2 10 50 0.946 2.764 0.772 0.39
11 2 10 75 0.948 2.779 0.762 0.405
12 2 10 100 0.948 2.823 0.764 0.403
13 2 20 50 0.951 2.802 0.769 0.394
14 2 20 75 0.949 2.795 0.759 0.411
15 2 20 100 0.954 2.853 0.758 0.412
16 2 30 50 0.949 2.784 0.753 0.419
17 2 30 75 0.947 2.82 0.766 0.4
18 2 30 100 0.948 2.768 0.764 0.402
19 3 10 50 0.95 2.773 0.782 0.385
20 3 10 75 0.949 2.925 0.784 0.383
21 3 10 100 0.949 2.869 0.772 0.402
22 3 20 50 0.95 2.835 0.774 0.398
23 3 20 75 0.945 2.826 0.773 0.4
24 3 20 100 0.95 2.796 0.77 0.405
25 3 30 50 0.948 2.774 0.774 0.399
26 3 30 75 0.946 2.844 0.776 0.395
27 3 30 100 0.951 2.829 0.784 0.382
