EXP split_seed random_seed neurons PICP_test MPIW_test RMSE R2
1 1 10 50 0.962 2.923 0.686 0.366
2 1 10 75 0.975 2.935 0.676 0.385
3 1 10 100 0.981 3.008 0.684 0.371
4 1 20 50 0.969 2.919 0.696 0.348
5 1 20 75 0.956 2.89 0.688 0.362
6 1 20 100 0.956 2.864 0.697 0.346
7 1 30 50 0.969 2.932 0.695 0.349
8 1 30 75 0.981 2.864 0.679 0.379
9 1 30 100 0.975 2.898 0.685 0.369
10 2 10 50 0.956 3.105 0.786 0.172
11 2 10 75 0.969 3.129 0.767 0.21
12 2 10 100 0.962 3.084 0.77 0.204
13 2 20 50 0.956 3.162 0.786 0.172
14 2 20 75 0.944 3.04 0.787 0.17
15 2 20 100 0.962 3.037 0.79 0.162
16 2 30 50 0.938 3.011 0.788 0.167
17 2 30 75 0.956 2.974 0.756 0.233
18 2 30 100 0.969 2.985 0.771 0.203
19 3 10 50 0.906 2.81 0.754 0.344
20 3 10 75 0.931 2.845 0.747 0.357
21 3 10 100 0.931 2.965 0.75 0.353
22 3 20 50 0.925 2.886 0.771 0.316
23 3 20 75 0.944 2.99 0.763 0.328
24 3 20 100 0.919 2.867 0.769 0.319
25 3 30 50 0.938 2.812 0.747 0.356
26 3 30 75 0.919 2.773 0.745 0.36
27 3 30 100 0.938 2.832 0.749 0.354
