EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.765 0.754 2.922 0.05 [50] 300 0.02 0.9 1 1
2 1 10 [50] 160.0 5.0 0.2 0.667 0.724 2.738 0.05 [50] 300 0.02 0.9 1 1
3 1 10 [50] 160.0 5.0 0.4 0.765 0.937 2.879 0.05 [50] 300 0.02 0.9 1 1
4 1 10 [50] 160.0 15.0 0.05 0.882 0.944 2.649 0.05 [50] 300 0.02 0.9 1 1
5 1 10 [50] 160.0 15.0 0.2 0.804 0.942 2.861 0.05 [50] 300 0.02 0.9 1 1
6 1 10 [50] 160.0 15.0 0.4 0.765 1.263 3.789 0.05 [50] 300 0.02 0.9 1 1
7 1 10 [50] 160.0 20.0 0.05 0.824 1.007 2.851 0.05 [50] 300 0.02 0.9 1 1
8 1 10 [50] 160.0 20.0 0.2 0.863 1.037 2.922 0.05 [50] 300 0.02 0.9 1 1
9 1 10 [50] 160.0 20.0 0.4 0.863 1.25 3.053 0.05 [50] 300 0.02 0.9 1 1
10 1 10 [75] 160.0 5.0 0.05 0.765 0.729 2.878 0.05 [75] 300 0.02 0.9 1 1
11 1 10 [75] 160.0 5.0 0.2 0.745 0.789 2.692 0.05 [75] 300 0.02 0.9 1 1
12 1 10 [75] 160.0 5.0 0.4 0.51 8.344 43.203 0.05 [75] 300 0.02 0.9 1 1
13 1 10 [75] 160.0 15.0 0.05 0.902 0.961 2.751 0.05 [75] 300 0.02 0.9 1 1
14 1 10 [75] 160.0 15.0 0.2 0.843 0.976 2.886 0.05 [75] 300 0.02 0.9 1 1
15 1 10 [75] 160.0 15.0 0.4 0.941 1.448 3.833 0.05 [75] 300 0.02 0.9 1 1
16 1 10 [75] 160.0 20.0 0.05 0.784 1.031 2.897 0.05 [75] 300 0.02 0.9 1 1
17 1 10 [75] 160.0 20.0 0.2 0.843 1.012 3.016 0.05 [75] 300 0.02 0.9 1 1
18 1 10 [75] 160.0 20.0 0.4 0.941 1.698 3.507 0.05 [75] 300 0.02 0.9 1 1
19 1 10 [100] 160.0 5.0 0.05 0.745 0.862 2.937 0.05 [100] 300 0.02 0.9 1 1
20 1 10 [100] 160.0 5.0 0.2 0.725 0.721 2.722 0.05 [100] 300 0.02 0.9 1 1
21 1 10 [100] 160.0 5.0 0.4 0.804 1.119 3.072 0.05 [100] 300 0.02 0.9 1 1
22 1 10 [100] 160.0 15.0 0.05 0.824 0.944 2.665 0.05 [100] 300 0.02 0.9 1 1
23 1 10 [100] 160.0 15.0 0.2 0.824 0.952 3.237 0.05 [100] 300 0.02 0.9 1 1
24 1 10 [100] 160.0 15.0 0.4 0.882 1.442 3.364 0.05 [100] 300 0.02 0.9 1 1
25 1 10 [100] 160.0 20.0 0.05 0.843 0.981 2.884 0.05 [100] 300 0.02 0.9 1 1
26 1 10 [100] 160.0 20.0 0.2 0.824 1.113 3.005 0.05 [100] 300 0.02 0.9 1 1
27 1 10 [100] 160.0 20.0 0.4 0.902 1.452 3.325 0.05 [100] 300 0.02 0.9 1 1
28 1 20 [50] 160.0 5.0 0.05 0.706 0.759 2.705 0.05 [50] 300 0.02 0.9 1 1
29 1 20 [50] 160.0 5.0 0.2 0.765 0.76 3.191 0.05 [50] 300 0.02 0.9 1 1
30 1 20 [50] 160.0 5.0 0.4 0.686 0.91 3.255 0.05 [50] 300 0.02 0.9 1 1
31 1 20 [50] 160.0 15.0 0.05 0.824 0.87 2.827 0.05 [50] 300 0.02 0.9 1 1
32 1 20 [50] 160.0 15.0 0.2 0.784 0.949 3.021 0.05 [50] 300 0.02 0.9 1 1
33 1 20 [50] 160.0 15.0 0.4 0.843 1.344 3.574 0.05 [50] 300 0.02 0.9 1 1
34 1 20 [50] 160.0 20.0 0.05 0.863 0.998 3.057 0.05 [50] 300 0.02 0.9 1 1
35 1 20 [50] 160.0 20.0 0.2 0.824 1.013 2.917 0.05 [50] 300 0.02 0.9 1 1
36 1 20 [50] 160.0 20.0 0.4 0.863 1.421 3.451 0.05 [50] 300 0.02 0.9 1 1
37 1 20 [75] 160.0 5.0 0.05 0.784 0.802 2.921 0.05 [75] 300 0.02 0.9 1 1
38 1 20 [75] 160.0 5.0 0.2 0.725 0.733 2.742 0.05 [75] 300 0.02 0.9 1 1
39 1 20 [75] 160.0 5.0 0.4 0.725 0.851 3.244 0.05 [75] 300 0.02 0.9 1 1
40 1 20 [75] 160.0 15.0 0.05 0.902 0.969 2.672 0.05 [75] 300 0.02 0.9 1 1
41 1 20 [75] 160.0 15.0 0.2 0.784 0.945 2.981 0.05 [75] 300 0.02 0.9 1 1
42 1 20 [75] 160.0 15.0 0.4 0.765 0.983 3.139 0.05 [75] 300 0.02 0.9 1 1
43 1 20 [75] 160.0 20.0 0.05 0.882 0.987 2.907 0.05 [75] 300 0.02 0.9 1 1
44 1 20 [75] 160.0 20.0 0.2 0.863 1.066 2.924 0.05 [75] 300 0.02 0.9 1 1
45 1 20 [75] 160.0 20.0 0.4 0.922 1.394 3.007 0.05 [75] 300 0.02 0.9 1 1
46 1 20 [100] 160.0 5.0 0.05 0.725 0.732 3.329 0.05 [100] 300 0.02 0.9 1 1
47 1 20 [100] 160.0 5.0 0.2 0.627 0.704 2.868 0.05 [100] 300 0.02 0.9 1 1
48 1 20 [100] 160.0 5.0 0.4 0.667 0.931 3.066 0.05 [100] 300 0.02 0.9 1 1
49 1 20 [100] 160.0 15.0 0.05 0.824 0.873 2.771 0.05 [100] 300 0.02 0.9 1 1
50 1 20 [100] 160.0 15.0 0.2 0.824 1.022 2.755 0.05 [100] 300 0.02 0.9 1 1
51 1 20 [100] 160.0 15.0 0.4 0.922 1.483 3.618 0.05 [100] 300 0.02 0.9 1 1
52 1 20 [100] 160.0 20.0 0.05 0.843 1.015 2.912 0.05 [100] 300 0.02 0.9 1 1
53 1 20 [100] 160.0 20.0 0.2 0.882 1.159 2.904 0.05 [100] 300 0.02 0.9 1 1
54 1 20 [100] 160.0 20.0 0.4 0.902 1.57 3.477 0.05 [100] 300 0.02 0.9 1 1
55 1 30 [50] 160.0 5.0 0.05 0.824 0.856 2.788 0.05 [50] 300 0.02 0.9 1 1
56 1 30 [50] 160.0 5.0 0.2 0.706 0.712 2.784 0.05 [50] 300 0.02 0.9 1 1
57 1 30 [50] 160.0 5.0 0.4 0.804 0.919 2.558 0.05 [50] 300 0.02 0.9 1 1
58 1 30 [50] 160.0 15.0 0.05 0.882 1.027 2.867 0.05 [50] 300 0.02 0.9 1 1
59 1 30 [50] 160.0 15.0 0.2 0.843 0.964 2.957 0.05 [50] 300 0.02 0.9 1 1
60 1 30 [50] 160.0 15.0 0.4 0.902 1.219 2.836 0.05 [50] 300 0.02 0.9 1 1
61 1 30 [50] 160.0 20.0 0.05 0.843 0.97 2.952 0.05 [50] 300 0.02 0.9 1 1
62 1 30 [50] 160.0 20.0 0.2 0.902 1.113 2.699 0.05 [50] 300 0.02 0.9 1 1
63 1 30 [50] 160.0 20.0 0.4 0.941 1.257 2.761 0.05 [50] 300 0.02 0.9 1 1
64 1 30 [75] 160.0 5.0 0.05 0.745 0.754 2.791 0.05 [75] 300 0.02 0.9 1 1
65 1 30 [75] 160.0 5.0 0.2 0.745 0.746 2.888 0.05 [75] 300 0.02 0.9 1 1
66 1 30 [75] 160.0 5.0 0.4 0.667 0.878 3.208 0.05 [75] 300 0.02 0.9 1 1
67 1 30 [75] 160.0 15.0 0.05 0.863 1.051 2.837 0.05 [75] 300 0.02 0.9 1 1
68 1 30 [75] 160.0 15.0 0.2 0.824 0.96 2.922 0.05 [75] 300 0.02 0.9 1 1
69 1 30 [75] 160.0 15.0 0.4 0.784 1.245 3.907 0.05 [75] 300 0.02 0.9 1 1
70 1 30 [75] 160.0 20.0 0.05 0.863 1.071 2.833 0.05 [75] 300 0.02 0.9 1 1
71 1 30 [75] 160.0 20.0 0.2 0.784 0.89 2.828 0.05 [75] 300 0.02 0.9 1 1
72 1 30 [75] 160.0 20.0 0.4 0.843 1.299 3.423 0.05 [75] 300 0.02 0.9 1 1
73 1 30 [100] 160.0 5.0 0.05 0.706 0.709 2.627 0.05 [100] 300 0.02 0.9 1 1
74 1 30 [100] 160.0 5.0 0.2 0.725 0.764 2.859 0.05 [100] 300 0.02 0.9 1 1
75 1 30 [100] 160.0 5.0 0.4 0.804 0.958 2.985 0.05 [100] 300 0.02 0.9 1 1
76 1 30 [100] 160.0 15.0 0.05 0.882 0.929 2.666 0.05 [100] 300 0.02 0.9 1 1
77 1 30 [100] 160.0 15.0 0.2 0.902 1.033 2.709 0.05 [100] 300 0.02 0.9 1 1
78 1 30 [100] 160.0 15.0 0.4 0.941 1.622 3.63 0.05 [100] 300 0.02 0.9 1 1
79 1 30 [100] 160.0 20.0 0.05 0.882 1.011 2.815 0.05 [100] 300 0.02 0.9 1 1
80 1 30 [100] 160.0 20.0 0.2 0.804 1.083 3.288 0.05 [100] 300 0.02 0.9 1 1
81 1 30 [100] 160.0 20.0 0.4 0.902 1.379 3.697 0.05 [100] 300 0.02 0.9 1 1
82 2 10 [50] 160.0 5.0 0.05 0.784 0.751 2.665 0.05 [50] 300 0.02 0.9 1 1
83 2 10 [50] 160.0 5.0 0.2 0.824 0.753 2.761 0.05 [50] 300 0.02 0.9 1 1
84 2 10 [50] 160.0 5.0 0.4 0.784 0.888 3.335 0.05 [50] 300 0.02 0.9 1 1
85 2 10 [50] 160.0 15.0 0.05 0.863 0.924 2.76 0.05 [50] 300 0.02 0.9 1 1
86 2 10 [50] 160.0 15.0 0.2 0.902 1.038 3.047 0.05 [50] 300 0.02 0.9 1 1
87 2 10 [50] 160.0 15.0 0.4 0.922 1.188 2.963 0.05 [50] 300 0.02 0.9 1 1
88 2 10 [50] 160.0 20.0 0.05 0.922 1.08 2.719 0.05 [50] 300 0.02 0.9 1 1
89 2 10 [50] 160.0 20.0 0.2 0.882 0.934 2.774 0.05 [50] 300 0.02 0.9 1 1
90 2 10 [50] 160.0 20.0 0.4 0.863 1.224 3.288 0.05 [50] 300 0.02 0.9 1 1
91 2 10 [75] 160.0 5.0 0.05 0.824 0.72 2.442 0.05 [75] 300 0.02 0.9 1 1
92 2 10 [75] 160.0 5.0 0.2 0.686 0.676 2.999 0.05 [75] 300 0.02 0.9 1 1
93 2 10 [75] 160.0 5.0 0.4 0.765 0.865 3.242 0.05 [75] 300 0.02 0.9 1 1
94 2 10 [75] 160.0 15.0 0.05 0.843 0.912 3.172 0.05 [75] 300 0.02 0.9 1 1
95 2 10 [75] 160.0 15.0 0.2 0.824 0.929 2.998 0.05 [75] 300 0.02 0.9 1 1
96 2 10 [75] 160.0 15.0 0.4 0.882 1.411 4.843 0.05 [75] 300 0.02 0.9 1 1
97 2 10 [75] 160.0 20.0 0.05 0.882 0.869 2.942 0.05 [75] 300 0.02 0.9 1 1
98 2 10 [75] 160.0 20.0 0.2 0.941 1.171 2.944 0.05 [75] 300 0.02 0.9 1 1
99 2 10 [75] 160.0 20.0 0.4 0.98 1.651 3.143 0.05 [75] 300 0.02 0.9 1 1
100 2 10 [100] 160.0 5.0 0.05 0.804 0.7 2.644 0.05 [100] 300 0.02 0.9 1 1
101 2 10 [100] 160.0 5.0 0.2 0.784 0.706 2.737 0.05 [100] 300 0.02 0.9 1 1
102 2 10 [100] 160.0 5.0 0.4 0.765 0.79 3.398 0.05 [100] 300 0.02 0.9 1 1
103 2 10 [100] 160.0 15.0 0.05 0.863 0.882 2.721 0.05 [100] 300 0.02 0.9 1 1
104 2 10 [100] 160.0 15.0 0.2 0.843 0.899 2.941 0.05 [100] 300 0.02 0.9 1 1
105 2 10 [100] 160.0 15.0 0.4 0.843 1.372 3.993 0.05 [100] 300 0.02 0.9 1 1
106 2 10 [100] 160.0 20.0 0.05 0.863 0.87 2.983 0.05 [100] 300 0.02 0.9 1 1
107 2 10 [100] 160.0 20.0 0.2 0.882 0.935 2.784 0.05 [100] 300 0.02 0.9 1 1
108 2 10 [100] 160.0 20.0 0.4 0.824 1.293 3.679 0.05 [100] 300 0.02 0.9 1 1
109 2 20 [50] 160.0 5.0 0.05 0.843 0.78 3.123 0.05 [50] 300 0.02 0.9 1 1
110 2 20 [50] 160.0 5.0 0.2 0.784 0.698 2.934 0.05 [50] 300 0.02 0.9 1 1
111 2 20 [50] 160.0 5.0 0.4 0.725 0.865 3.624 0.05 [50] 300 0.02 0.9 1 1
112 2 20 [50] 160.0 15.0 0.05 0.843 0.806 2.847 0.05 [50] 300 0.02 0.9 1 1
113 2 20 [50] 160.0 15.0 0.2 0.863 0.989 2.97 0.05 [50] 300 0.02 0.9 1 1
114 2 20 [50] 160.0 15.0 0.4 0.843 1.278 3.789 0.05 [50] 300 0.02 0.9 1 1
115 2 20 [50] 160.0 20.0 0.05 0.843 0.934 3.126 0.05 [50] 300 0.02 0.9 1 1
116 2 20 [50] 160.0 20.0 0.2 0.882 1.009 3.074 0.05 [50] 300 0.02 0.9 1 1
117 2 20 [50] 160.0 20.0 0.4 0.804 1.324 4.172 0.05 [50] 300 0.02 0.9 1 1
118 2 20 [75] 160.0 5.0 0.05 0.765 0.676 2.711 0.05 [75] 300 0.02 0.9 1 1
