EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.864 0.739 5.359 0.05 [50] 800 0.03 0.98 1 1
2 1 10 [50] 160.0 5.0 0.2 0.835 0.715 5.671 0.05 [50] 800 0.03 0.98 1 1
3 1 10 [50] 160.0 5.0 0.4 0.825 0.721 5.599 0.05 [50] 800 0.03 0.98 1 1
4 1 10 [50] 160.0 15.0 0.05 0.854 0.873 5.928 0.05 [50] 800 0.03 0.98 1 1
5 1 10 [50] 160.0 15.0 0.2 0.864 0.828 5.524 0.05 [50] 800 0.03 0.98 1 1
6 1 10 [50] 160.0 15.0 0.4 0.874 0.848 5.559 0.05 [50] 800 0.03 0.98 1 1
7 1 10 [50] 160.0 20.0 0.05 0.903 0.934 5.962 0.05 [50] 800 0.03 0.98 1 1
8 1 10 [50] 160.0 20.0 0.2 0.854 0.894 5.723 0.05 [50] 800 0.03 0.98 1 1
9 1 10 [50] 160.0 20.0 0.4 0.893 0.974 5.94 0.05 [50] 800 0.03 0.98 1 1
10 1 10 [75] 160.0 5.0 0.05 0.816 0.723 5.674 0.05 [75] 800 0.03 0.98 1 1
11 1 10 [75] 160.0 5.0 0.2 0.816 0.723 5.91 0.05 [75] 800 0.03 0.98 1 1
12 1 10 [75] 160.0 5.0 0.4 0.835 0.656 5.066 0.05 [75] 800 0.03 0.98 1 1
13 1 10 [75] 160.0 15.0 0.05 0.854 0.874 6.165 0.05 [75] 800 0.03 0.98 1 1
14 1 10 [75] 160.0 15.0 0.2 0.854 0.887 5.54 0.05 [75] 800 0.03 0.98 1 1
15 1 10 [75] 160.0 15.0 0.4 0.874 0.842 5.416 0.05 [75] 800 0.03 0.98 1 1
16 1 10 [75] 160.0 20.0 0.05 0.932 0.91 5.372 0.05 [75] 800 0.03 0.98 1 1
17 1 10 [75] 160.0 20.0 0.2 0.864 0.825 5.398 0.05 [75] 800 0.03 0.98 1 1
18 1 10 [75] 160.0 20.0 0.4 0.893 0.954 5.691 0.05 [75] 800 0.03 0.98 1 1
19 1 10 [100] 160.0 5.0 0.05 0.786 0.714 5.413 0.05 [100] 800 0.03 0.98 1 1
20 1 10 [100] 160.0 5.0 0.2 0.777 0.671 5.09 0.05 [100] 800 0.03 0.98 1 1
21 1 10 [100] 160.0 5.0 0.4 0.845 0.687 5.417 0.05 [100] 800 0.03 0.98 1 1
22 1 10 [100] 160.0 15.0 0.05 0.845 0.854 5.82 0.05 [100] 800 0.03 0.98 1 1
23 1 10 [100] 160.0 15.0 0.2 0.883 0.918 5.432 0.05 [100] 800 0.03 0.98 1 1
24 1 10 [100] 160.0 15.0 0.4 0.806 0.822 5.414 0.05 [100] 800 0.03 0.98 1 1
25 1 10 [100] 160.0 20.0 0.05 0.825 0.849 6.101 0.05 [100] 800 0.03 0.98 1 1
26 1 10 [100] 160.0 20.0 0.2 0.903 0.926 5.372 0.05 [100] 800 0.03 0.98 1 1
27 1 10 [100] 160.0 20.0 0.4 0.883 0.857 5.268 0.05 [100] 800 0.03 0.98 1 1
28 1 20 [50] 160.0 5.0 0.05 0.825 0.702 5.668 0.05 [50] 800 0.03 0.98 1 1
29 1 20 [50] 160.0 5.0 0.2 0.748 0.665 5.584 0.05 [50] 800 0.03 0.98 1 1
30 1 20 [50] 160.0 5.0 0.4 0.738 0.649 5.289 0.05 [50] 800 0.03 0.98 1 1
31 1 20 [50] 160.0 15.0 0.05 0.874 0.912 6.137 0.05 [50] 800 0.03 0.98 1 1
32 1 20 [50] 160.0 15.0 0.2 0.806 0.817 6.13 0.05 [50] 800 0.03 0.98 1 1
33 1 20 [50] 160.0 15.0 0.4 0.816 0.777 5.649 0.05 [50] 800 0.03 0.98 1 1
34 1 20 [50] 160.0 20.0 0.05 0.883 0.973 5.767 0.05 [50] 800 0.03 0.98 1 1
35 1 20 [50] 160.0 20.0 0.2 0.874 0.905 5.694 0.05 [50] 800 0.03 0.98 1 1
36 1 20 [50] 160.0 20.0 0.4 0.893 0.853 5.865 0.05 [50] 800 0.03 0.98 1 1
37 1 20 [75] 160.0 5.0 0.05 0.806 0.713 5.681 0.05 [75] 800 0.03 0.98 1 1
38 1 20 [75] 160.0 5.0 0.2 0.825 0.661 5.418 0.05 [75] 800 0.03 0.98 1 1
39 1 20 [75] 160.0 5.0 0.4 0.777 0.615 5.046 0.05 [75] 800 0.03 0.98 1 1
40 1 20 [75] 160.0 15.0 0.05 0.835 0.831 5.798 0.05 [75] 800 0.03 0.98 1 1
41 1 20 [75] 160.0 15.0 0.2 0.835 0.794 5.542 0.05 [75] 800 0.03 0.98 1 1
42 1 20 [75] 160.0 15.0 0.4 0.874 0.773 5.111 0.05 [75] 800 0.03 0.98 1 1
43 1 20 [75] 160.0 20.0 0.05 0.942 0.933 5.683 0.05 [75] 800 0.03 0.98 1 1
44 1 20 [75] 160.0 20.0 0.2 0.816 0.826 5.535 0.05 [75] 800 0.03 0.98 1 1
45 1 20 [75] 160.0 20.0 0.4 0.864 0.85 5.589 0.05 [75] 800 0.03 0.98 1 1
46 1 20 [100] 160.0 5.0 0.05 0.845 0.732 5.637 0.05 [100] 800 0.03 0.98 1 1
47 1 20 [100] 160.0 5.0 0.2 0.796 0.691 5.4 0.05 [100] 800 0.03 0.98 1 1
48 1 20 [100] 160.0 5.0 0.4 0.495 24.23 222.099 0.05 [100] 800 0.03 0.98 1 1
49 1 20 [100] 160.0 15.0 0.05 0.883 0.913 5.691 0.05 [100] 800 0.03 0.98 1 1
50 1 20 [100] 160.0 15.0 0.2 0.845 0.817 5.728 0.05 [100] 800 0.03 0.98 1 1
51 1 20 [100] 160.0 15.0 0.4 0.903 0.895 5.321 0.05 [100] 800 0.03 0.98 1 1
52 1 20 [100] 160.0 20.0 0.05 0.825 0.791 5.754 0.05 [100] 800 0.03 0.98 1 1
53 1 20 [100] 160.0 20.0 0.2 0.825 0.85 5.881 0.05 [100] 800 0.03 0.98 1 1
54 1 20 [100] 160.0 20.0 0.4 0.883 0.843 5.597 0.05 [100] 800 0.03 0.98 1 1
55 1 30 [50] 160.0 5.0 0.05 0.786 0.756 5.975 0.05 [50] 800 0.03 0.98 1 1
56 1 30 [50] 160.0 5.0 0.2 0.786 0.635 5.575 0.05 [50] 800 0.03 0.98 1 1
57 1 30 [50] 160.0 5.0 0.4 0.777 0.634 5.182 0.05 [50] 800 0.03 0.98 1 1
58 1 30 [50] 160.0 15.0 0.05 0.864 0.875 5.931 0.05 [50] 800 0.03 0.98 1 1
59 1 30 [50] 160.0 15.0 0.2 0.854 0.846 5.666 0.05 [50] 800 0.03 0.98 1 1
60 1 30 [50] 160.0 15.0 0.4 0.806 0.713 5.672 0.05 [50] 800 0.03 0.98 1 1
61 1 30 [50] 160.0 20.0 0.05 0.845 0.813 5.414 0.05 [50] 800 0.03 0.98 1 1
62 1 30 [50] 160.0 20.0 0.2 0.825 0.859 6.023 0.05 [50] 800 0.03 0.98 1 1
63 1 30 [50] 160.0 20.0 0.4 0.845 0.827 5.586 0.05 [50] 800 0.03 0.98 1 1
64 1 30 [75] 160.0 5.0 0.05 0.816 0.702 5.585 0.05 [75] 800 0.03 0.98 1 1
65 1 30 [75] 160.0 5.0 0.2 0.796 0.672 5.343 0.05 [75] 800 0.03 0.98 1 1
