EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.857 0.52 3.844 0.05 [50] 1200 0.016 0.97 1 1
2 1 10 [50] 160.0 5.0 0.2 0.857 0.486 3.862 0.05 [50] 1200 0.016 0.97 1 1
3 1 10 [50] 160.0 5.0 0.4 0.753 0.502 2.717 0.05 [50] 1200 0.016 0.97 1 1
4 1 10 [50] 160.0 15.0 0.05 0.818 0.696 3.56 0.05 [50] 1200 0.016 0.97 1 1
5 1 10 [50] 160.0 15.0 0.2 0.831 0.642 3.203 0.05 [50] 1200 0.016 0.97 1 1
6 1 10 [50] 160.0 15.0 0.4 0.805 0.568 3.015 0.05 [50] 1200 0.016 0.97 1 1
7 1 10 [50] 160.0 20.0 0.05 0.896 0.706 3.478 0.05 [50] 1200 0.016 0.97 1 1
8 1 10 [50] 160.0 20.0 0.2 0.87 0.61 4.047 0.05 [50] 1200 0.016 0.97 1 1
9 1 10 [50] 160.0 20.0 0.4 0.818 0.737 3.568 0.05 [50] 1200 0.016 0.97 1 1
10 1 10 [75] 160.0 5.0 0.05 0.831 0.525 3.869 0.05 [75] 1200 0.016 0.97 1 1
11 1 10 [75] 160.0 5.0 0.2 0.779 0.51 2.966 0.05 [75] 1200 0.016 0.97 1 1
12 1 10 [75] 160.0 5.0 0.4 0.714 0.494 2.881 0.05 [75] 1200 0.016 0.97 1 1
13 1 10 [75] 160.0 15.0 0.05 0.818 0.647 3.384 0.05 [75] 1200 0.016 0.97 1 1
14 1 10 [75] 160.0 15.0 0.2 0.818 0.664 3.508 0.05 [75] 1200 0.016 0.97 1 1
15 1 10 [75] 160.0 15.0 0.4 0.779 0.516 2.879 0.05 [75] 1200 0.016 0.97 1 1
16 1 10 [75] 160.0 20.0 0.05 0.857 0.681 3.409 0.05 [75] 1200 0.016 0.97 1 1
17 1 10 [75] 160.0 20.0 0.2 0.857 0.635 3.254 0.05 [75] 1200 0.016 0.97 1 1
