EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.854 0.851 0.078 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
2 1 10 [50] 160.0 5.0 0.2 0.856 0.831 0.078 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
3 1 10 [50] 160.0 5.0 0.4 0.851 0.846 0.079 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
4 1 10 [50] 160.0 15.0 0.05 0.887 0.932 0.078 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
5 1 10 [50] 160.0 15.0 0.2 0.884 0.971 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
6 1 10 [50] 160.0 15.0 0.4 0.867 0.912 0.077 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
7 1 10 [50] 160.0 20.0 0.05 0.907 0.99 0.08 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
8 1 10 [50] 160.0 20.0 0.2 0.901 0.967 0.08 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
9 1 10 [50] 160.0 20.0 0.4 0.879 0.922 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
10 1 10 [75] 160.0 5.0 0.05 0.855 0.824 0.077 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
11 1 10 [75] 160.0 5.0 0.2 0.856 0.825 0.078 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
12 1 10 [75] 160.0 5.0 0.4 0.84 0.764 0.073 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
13 1 10 [75] 160.0 15.0 0.05 0.883 0.952 0.081 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
14 1 10 [75] 160.0 15.0 0.2 0.898 0.914 0.078 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
15 1 10 [75] 160.0 15.0 0.4 0.86 0.852 0.076 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
16 1 10 [75] 160.0 20.0 0.05 0.895 0.956 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
17 1 10 [75] 160.0 20.0 0.2 0.882 0.92 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
18 1 10 [75] 160.0 20.0 0.4 0.874 0.889 0.077 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
19 1 10 [100] 160.0 5.0 0.05 0.861 0.807 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
20 1 10 [100] 160.0 5.0 0.2 0.833 0.772 0.072 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
21 1 10 [100] 160.0 5.0 0.4 0.823 0.737 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
22 1 10 [100] 160.0 15.0 0.05 0.879 0.885 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
23 1 10 [100] 160.0 15.0 0.2 0.879 0.879 0.076 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
24 1 10 [100] 160.0 15.0 0.4 0.843 0.837 0.076 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
25 1 10 [100] 160.0 20.0 0.05 0.883 0.913 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
26 1 10 [100] 160.0 20.0 0.2 0.878 0.9 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
27 1 10 [100] 160.0 20.0 0.4 0.871 0.873 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
28 1 20 [50] 160.0 5.0 0.05 0.855 0.823 0.076 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
29 1 20 [50] 160.0 5.0 0.2 0.852 0.86 0.08 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
30 1 20 [50] 160.0 5.0 0.4 0.874 0.838 0.075 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
31 1 20 [50] 160.0 15.0 0.05 0.904 0.967 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
32 1 20 [50] 160.0 15.0 0.2 0.896 0.965 0.083 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
33 1 20 [50] 160.0 15.0 0.4 0.885 0.943 0.082 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
34 1 20 [50] 160.0 20.0 0.05 0.902 0.983 0.08 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
35 1 20 [50] 160.0 20.0 0.2 0.887 0.943 0.082 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
36 1 20 [50] 160.0 20.0 0.4 0.878 0.937 0.079 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
37 1 20 [75] 160.0 5.0 0.05 0.851 0.848 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
38 1 20 [75] 160.0 5.0 0.2 0.86 0.828 0.079 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
39 1 20 [75] 160.0 5.0 0.4 0.855 0.785 0.074 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
40 1 20 [75] 160.0 15.0 0.05 0.901 0.903 0.076 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
41 1 20 [75] 160.0 15.0 0.2 0.896 0.901 0.076 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
42 1 20 [75] 160.0 15.0 0.4 0.889 0.889 0.077 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
43 1 20 [75] 160.0 20.0 0.05 0.896 0.923 0.078 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
44 1 20 [75] 160.0 20.0 0.2 0.874 0.899 0.077 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
45 1 20 [75] 160.0 20.0 0.4 0.879 0.882 0.078 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
46 1 20 [100] 160.0 5.0 0.05 0.839 0.812 0.077 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
47 1 20 [100] 160.0 5.0 0.2 0.854 0.798 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
48 1 20 [100] 160.0 5.0 0.4 0.818 0.744 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
49 1 20 [100] 160.0 15.0 0.05 0.891 0.894 0.076 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
50 1 20 [100] 160.0 15.0 0.2 0.894 0.892 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
51 1 20 [100] 160.0 15.0 0.4 0.867 0.836 0.073 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
52 1 20 [100] 160.0 20.0 0.05 0.887 0.924 0.08 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
53 1 20 [100] 160.0 20.0 0.2 0.894 0.91 0.077 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
54 1 20 [100] 160.0 20.0 0.4 0.868 0.878 0.075 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
55 1 30 [50] 160.0 5.0 0.05 0.867 0.895 0.084 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
56 1 30 [50] 160.0 5.0 0.2 0.876 0.852 0.078 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
57 1 30 [50] 160.0 5.0 0.4 0.854 0.808 0.074 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
58 1 30 [50] 160.0 15.0 0.05 0.899 0.955 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
59 1 30 [50] 160.0 15.0 0.2 0.89 0.964 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
60 1 30 [50] 160.0 15.0 0.4 0.893 0.955 0.083 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
61 1 30 [50] 160.0 20.0 0.05 0.901 0.998 0.083 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
62 1 30 [50] 160.0 20.0 0.2 0.901 0.959 0.079 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
63 1 30 [50] 160.0 20.0 0.4 0.894 0.957 0.081 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
64 1 30 [75] 160.0 5.0 0.05 0.865 0.856 0.079 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
65 1 30 [75] 160.0 5.0 0.2 0.865 0.814 0.075 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
66 1 30 [75] 160.0 5.0 0.4 0.839 0.782 0.075 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
67 1 30 [75] 160.0 15.0 0.05 0.884 0.946 0.081 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
68 1 30 [75] 160.0 15.0 0.2 0.893 0.941 0.081 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
69 1 30 [75] 160.0 15.0 0.4 0.878 0.876 0.076 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
70 1 30 [75] 160.0 20.0 0.05 0.882 0.956 0.082 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
71 1 30 [75] 160.0 20.0 0.2 0.883 0.906 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
72 1 30 [75] 160.0 20.0 0.4 0.885 0.906 0.078 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
73 1 30 [100] 160.0 5.0 0.05 0.86 0.859 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
74 1 30 [100] 160.0 5.0 0.2 0.837 0.826 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
75 1 30 [100] 160.0 5.0 0.4 0.826 0.742 0.074 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
76 1 30 [100] 160.0 15.0 0.05 0.889 0.902 0.075 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
77 1 30 [100] 160.0 15.0 0.2 0.878 0.877 0.076 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
78 1 30 [100] 160.0 15.0 0.4 0.873 0.831 0.073 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
79 1 30 [100] 160.0 20.0 0.05 0.889 0.93 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
80 1 30 [100] 160.0 20.0 0.2 0.9 0.921 0.077 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
81 1 30 [100] 160.0 20.0 0.4 0.882 0.876 0.076 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
82 2 10 [50] 160.0 5.0 0.05 0.85 0.855 0.083 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
83 2 10 [50] 160.0 5.0 0.2 0.857 0.849 0.083 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
84 2 10 [50] 160.0 5.0 0.4 0.852 0.825 0.079 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
85 2 10 [50] 160.0 15.0 0.05 0.88 0.972 0.085 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
86 2 10 [50] 160.0 15.0 0.2 0.876 0.949 0.087 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
87 2 10 [50] 160.0 15.0 0.4 0.885 0.917 0.085 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
88 2 10 [50] 160.0 20.0 0.05 0.877 0.982 0.088 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
89 2 10 [50] 160.0 20.0 0.2 0.909 1.0 0.087 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
90 2 10 [50] 160.0 20.0 0.4 0.884 0.948 0.087 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
91 2 10 [75] 160.0 5.0 0.05 0.844 0.844 0.083 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
92 2 10 [75] 160.0 5.0 0.2 0.851 0.845 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
93 2 10 [75] 160.0 5.0 0.4 0.826 0.762 0.077 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
94 2 10 [75] 160.0 15.0 0.05 0.863 0.913 0.085 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
95 2 10 [75] 160.0 15.0 0.2 0.876 0.913 0.082 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
96 2 10 [75] 160.0 15.0 0.4 0.878 0.883 0.079 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
97 2 10 [75] 160.0 20.0 0.05 0.891 0.934 0.086 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
98 2 10 [75] 160.0 20.0 0.2 0.88 0.926 0.082 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
99 2 10 [75] 160.0 20.0 0.4 0.874 0.887 0.08 0.05 [75] 800 0.01347250177090548 0.9939229263967934 1 1
100 2 10 [100] 160.0 5.0 0.05 0.861 0.835 0.079 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
101 2 10 [100] 160.0 5.0 0.2 0.838 0.789 0.077 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
102 2 10 [100] 160.0 5.0 0.4 0.828 0.748 0.077 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
103 2 10 [100] 160.0 15.0 0.05 0.865 0.911 0.087 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
104 2 10 [100] 160.0 15.0 0.2 0.877 0.878 0.08 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
105 2 10 [100] 160.0 15.0 0.4 0.856 0.823 0.078 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
106 2 10 [100] 160.0 20.0 0.05 0.876 0.946 0.084 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
107 2 10 [100] 160.0 20.0 0.2 0.871 0.895 0.08 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
108 2 10 [100] 160.0 20.0 0.4 0.874 0.869 0.079 0.05 [100] 800 0.01347250177090548 0.9939229263967934 1 1
109 2 20 [50] 160.0 5.0 0.05 0.868 0.872 0.082 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
110 2 20 [50] 160.0 5.0 0.2 0.854 0.846 0.084 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
111 2 20 [50] 160.0 5.0 0.4 0.866 0.836 0.079 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
112 2 20 [50] 160.0 15.0 0.05 0.878 0.953 0.084 0.05 [50] 800 0.01347250177090548 0.9939229263967934 1 1
