EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.922 0.663 0.003 0.05 [50] 1000 0.006 0.998 1 1
2 1 10 [50] 160.0 5.0 0.2 0.926 0.537 0.003 0.05 [50] 1000 0.006 0.998 1 1
3 1 10 [50] 160.0 5.0 0.4 0.954 0.359 0.001 0.05 [50] 1000 0.006 0.998 1 1
4 1 10 [50] 160.0 15.0 0.05 0.948 0.86 0.004 0.05 [50] 1000 0.006 0.998 1 1
5 1 10 [50] 160.0 15.0 0.2 0.951 0.978 0.004 0.05 [50] 1000 0.006 0.998 1 1
6 1 10 [50] 160.0 15.0 0.4 0.961 0.664 0.002 0.05 [50] 1000 0.006 0.998 1 1
7 1 10 [50] 160.0 20.0 0.05 0.951 0.998 0.004 0.05 [50] 1000 0.006 0.998 1 1
8 1 10 [50] 160.0 20.0 0.2 0.951 0.98 0.004 0.05 [50] 1000 0.006 0.998 1 1
9 1 10 [50] 160.0 20.0 0.4 0.956 0.626 0.003 0.05 [50] 1000 0.006 0.998 1 1
10 1 10 [75] 160.0 5.0 0.05 0.918 0.608 0.004 0.05 [75] 1000 0.006 0.998 1 1
11 1 10 [75] 160.0 5.0 0.2 0.918 0.57 0.003 0.05 [75] 1000 0.006 0.998 1 1
12 1 10 [75] 160.0 5.0 0.4 0.945 0.397 0.002 0.05 [75] 1000 0.006 0.998 1 1
13 1 10 [75] 160.0 15.0 0.05 0.956 0.927 0.004 0.05 [75] 1000 0.006 0.998 1 1
14 1 10 [75] 160.0 15.0 0.2 0.951 0.868 0.004 0.05 [75] 1000 0.006 0.998 1 1
15 1 10 [75] 160.0 15.0 0.4 0.966 0.568 0.002 0.05 [75] 1000 0.006 0.998 1 1
16 1 10 [75] 160.0 20.0 0.05 0.957 0.915 0.004 0.05 [75] 1000 0.006 0.998 1 1
17 1 10 [75] 160.0 20.0 0.2 0.961 0.785 0.003 0.05 [75] 1000 0.006 0.998 1 1
18 1 10 [75] 160.0 20.0 0.4 0.961 0.661 0.003 0.05 [75] 1000 0.006 0.998 1 1
19 1 10 [100] 160.0 5.0 0.05 0.921 0.62 0.003 0.05 [100] 1000 0.006 0.998 1 1
20 1 10 [100] 160.0 5.0 0.2 0.94 0.456 0.002 0.05 [100] 1000 0.006 0.998 1 1
21 1 10 [100] 160.0 5.0 0.4 0.944 0.31 0.002 0.05 [100] 1000 0.006 0.998 1 1
22 1 10 [100] 160.0 15.0 0.05 0.953 0.932 0.004 0.05 [100] 1000 0.006 0.998 1 1
23 1 10 [100] 160.0 15.0 0.2 0.948 0.725 0.003 0.05 [100] 1000 0.006 0.998 1 1
24 1 10 [100] 160.0 15.0 0.4 0.956 0.56 0.002 0.05 [100] 1000 0.006 0.998 1 1
25 1 10 [100] 160.0 20.0 0.05 0.96 1.005 0.004 0.05 [100] 1000 0.006 0.998 1 1
26 1 10 [100] 160.0 20.0 0.2 0.951 0.872 0.003 0.05 [100] 1000 0.006 0.998 1 1
27 1 10 [100] 160.0 20.0 0.4 0.951 0.703 0.003 0.05 [100] 1000 0.006 0.998 1 1
28 1 20 [50] 160.0 5.0 0.05 0.934 0.64 0.003 0.05 [50] 1000 0.006 0.998 1 1
29 1 20 [50] 160.0 5.0 0.2 0.934 0.598 0.003 0.05 [50] 1000 0.006 0.998 1 1
30 1 20 [50] 160.0 5.0 0.4 0.952 0.375 0.002 0.05 [50] 1000 0.006 0.998 1 1
31 1 20 [50] 160.0 15.0 0.05 0.95 0.886 0.004 0.05 [50] 1000 0.006 0.998 1 1
32 1 20 [50] 160.0 15.0 0.2 0.95 0.945 0.004 0.05 [50] 1000 0.006 0.998 1 1
33 1 20 [50] 160.0 15.0 0.4 0.96 0.653 0.002 0.05 [50] 1000 0.006 0.998 1 1
34 1 20 [50] 160.0 20.0 0.05 0.957 0.989 0.004 0.05 [50] 1000 0.006 0.998 1 1
35 1 20 [50] 160.0 20.0 0.2 0.957 0.913 0.003 0.05 [50] 1000 0.006 0.998 1 1
36 1 20 [50] 160.0 20.0 0.4 0.961 0.773 0.003 0.05 [50] 1000 0.006 0.998 1 1
37 1 20 [75] 160.0 5.0 0.05 0.931 0.672 0.004 0.05 [75] 1000 0.006 0.998 1 1
38 1 20 [75] 160.0 5.0 0.2 0.93 0.543 0.002 0.05 [75] 1000 0.006 0.998 1 1
39 1 20 [75] 160.0 5.0 0.4 0.937 0.414 0.002 0.05 [75] 1000 0.006 0.998 1 1
40 1 20 [75] 160.0 15.0 0.05 0.95 0.86 0.003 0.05 [75] 1000 0.006 0.998 1 1
41 1 20 [75] 160.0 15.0 0.2 0.951 0.932 0.003 0.05 [75] 1000 0.006 0.998 1 1
42 1 20 [75] 160.0 15.0 0.4 0.956 0.614 0.002 0.05 [75] 1000 0.006 0.998 1 1
43 1 20 [75] 160.0 20.0 0.05 0.951 0.965 0.004 0.05 [75] 1000 0.006 0.998 1 1
44 1 20 [75] 160.0 20.0 0.2 0.955 1.077 0.004 0.05 [75] 1000 0.006 0.998 1 1
45 1 20 [75] 160.0 20.0 0.4 0.957 0.708 0.002 0.05 [75] 1000 0.006 0.998 1 1
46 1 20 [100] 160.0 5.0 0.05 0.921 0.643 0.003 0.05 [100] 1000 0.006 0.998 1 1
47 1 20 [100] 160.0 5.0 0.2 0.922 0.54 0.003 0.05 [100] 1000 0.006 0.998 1 1
48 1 20 [100] 160.0 5.0 0.4 0.951 0.404 0.002 0.05 [100] 1000 0.006 0.998 1 1
49 1 20 [100] 160.0 15.0 0.05 0.944 0.92 0.004 0.05 [100] 1000 0.006 0.998 1 1
50 1 20 [100] 160.0 15.0 0.2 0.954 0.981 0.004 0.05 [100] 1000 0.006 0.998 1 1
51 1 20 [100] 160.0 15.0 0.4 0.957 0.512 0.002 0.05 [100] 1000 0.006 0.998 1 1
52 1 20 [100] 160.0 20.0 0.05 0.95 1.033 0.004 0.05 [100] 1000 0.006 0.998 1 1
53 1 20 [100] 160.0 20.0 0.2 0.957 0.998 0.004 0.05 [100] 1000 0.006 0.998 1 1
54 1 20 [100] 160.0 20.0 0.4 0.963 0.613 0.003 0.05 [100] 1000 0.006 0.998 1 1
55 1 30 [50] 160.0 5.0 0.05 0.921 0.722 0.004 0.05 [50] 1000 0.006 0.998 1 1
56 1 30 [50] 160.0 5.0 0.2 0.928 0.513 0.003 0.05 [50] 1000 0.006 0.998 1 1
57 1 30 [50] 160.0 5.0 0.4 0.952 0.364 0.001 0.05 [50] 1000 0.006 0.998 1 1
58 1 30 [50] 160.0 15.0 0.05 0.96 0.993 0.004 0.05 [50] 1000 0.006 0.998 1 1
59 1 30 [50] 160.0 15.0 0.2 0.952 0.784 0.003 0.05 [50] 1000 0.006 0.998 1 1
60 1 30 [50] 160.0 15.0 0.4 0.954 0.561 0.002 0.05 [50] 1000 0.006 0.998 1 1
61 1 30 [50] 160.0 20.0 0.05 0.951 1.041 0.004 0.05 [50] 1000 0.006 0.998 1 1
62 1 30 [50] 160.0 20.0 0.2 0.961 0.847 0.003 0.05 [50] 1000 0.006 0.998 1 1
63 1 30 [50] 160.0 20.0 0.4 0.964 0.629 0.002 0.05 [50] 1000 0.006 0.998 1 1
64 1 30 [75] 160.0 5.0 0.05 0.925 0.583 0.003 0.05 [75] 1000 0.006 0.998 1 1
65 1 30 [75] 160.0 5.0 0.2 0.933 0.496 0.003 0.05 [75] 1000 0.006 0.998 1 1
66 1 30 [75] 160.0 5.0 0.4 0.946 0.368 0.002 0.05 [75] 1000 0.006 0.998 1 1
67 1 30 [75] 160.0 15.0 0.05 0.944 0.874 0.004 0.05 [75] 1000 0.006 0.998 1 1
68 1 30 [75] 160.0 15.0 0.2 0.943 0.76 0.003 0.05 [75] 1000 0.006 0.998 1 1
69 1 30 [75] 160.0 15.0 0.4 0.959 0.629 0.002 0.05 [75] 1000 0.006 0.998 1 1
70 1 30 [75] 160.0 20.0 0.05 0.952 1.033 0.004 0.05 [75] 1000 0.006 0.998 1 1
71 1 30 [75] 160.0 20.0 0.2 0.961 0.935 0.003 0.05 [75] 1000 0.006 0.998 1 1
72 1 30 [75] 160.0 20.0 0.4 0.959 0.76 0.003 0.05 [75] 1000 0.006 0.998 1 1
73 1 30 [100] 160.0 5.0 0.05 0.918 0.593 0.003 0.05 [100] 1000 0.006 0.998 1 1
74 1 30 [100] 160.0 5.0 0.2 0.911 0.575 0.003 0.05 [100] 1000 0.006 0.998 1 1
75 1 30 [100] 160.0 5.0 0.4 0.946 0.348 0.002 0.05 [100] 1000 0.006 0.998 1 1
76 1 30 [100] 160.0 15.0 0.05 0.947 0.914 0.004 0.05 [100] 1000 0.006 0.998 1 1
77 1 30 [100] 160.0 15.0 0.2 0.953 0.799 0.003 0.05 [100] 1000 0.006 0.998 1 1
78 1 30 [100] 160.0 15.0 0.4 0.955 0.597 0.002 0.05 [100] 1000 0.006 0.998 1 1
79 1 30 [100] 160.0 20.0 0.05 0.951 1.114 0.004 0.05 [100] 1000 0.006 0.998 1 1
80 1 30 [100] 160.0 20.0 0.2 0.946 0.845 0.003 0.05 [100] 1000 0.006 0.998 1 1
81 1 30 [100] 160.0 20.0 0.4 0.96 0.664 0.002 0.05 [100] 1000 0.006 0.998 1 1
82 2 10 [50] 160.0 5.0 0.05 0.928 0.635 0.003 0.05 [50] 1000 0.006 0.998 1 1
83 2 10 [50] 160.0 5.0 0.2 0.925 0.564 0.003 0.05 [50] 1000 0.006 0.998 1 1
84 2 10 [50] 160.0 5.0 0.4 0.952 0.35 0.001 0.05 [50] 1000 0.006 0.998 1 1
85 2 10 [50] 160.0 15.0 0.05 0.953 0.924 0.004 0.05 [50] 1000 0.006 0.998 1 1
86 2 10 [50] 160.0 15.0 0.2 0.942 0.92 0.004 0.05 [50] 1000 0.006 0.998 1 1
87 2 10 [50] 160.0 15.0 0.4 0.961 0.553 0.002 0.05 [50] 1000 0.006 0.998 1 1
88 2 10 [50] 160.0 20.0 0.05 0.952 1.069 0.004 0.05 [50] 1000 0.006 0.998 1 1
89 2 10 [50] 160.0 20.0 0.2 0.949 0.828 0.003 0.05 [50] 1000 0.006 0.998 1 1
90 2 10 [50] 160.0 20.0 0.4 0.953 0.7 0.003 0.05 [50] 1000 0.006 0.998 1 1
91 2 10 [75] 160.0 5.0 0.05 0.922 0.613 0.003 0.05 [75] 1000 0.006 0.998 1 1
92 2 10 [75] 160.0 5.0 0.2 0.921 0.76 0.004 0.05 [75] 1000 0.006 0.998 1 1
93 2 10 [75] 160.0 5.0 0.4 0.936 0.414 0.002 0.05 [75] 1000 0.006 0.998 1 1
94 2 10 [75] 160.0 15.0 0.05 0.942 0.969 0.004 0.05 [75] 1000 0.006 0.998 1 1
95 2 10 [75] 160.0 15.0 0.2 0.945 0.821 0.003 0.05 [75] 1000 0.006 0.998 1 1
96 2 10 [75] 160.0 15.0 0.4 0.951 0.549 0.002 0.05 [75] 1000 0.006 0.998 1 1
97 2 10 [75] 160.0 20.0 0.05 0.951 0.892 0.003 0.05 [75] 1000 0.006 0.998 1 1
98 2 10 [75] 160.0 20.0 0.2 0.944 0.891 0.004 0.05 [75] 1000 0.006 0.998 1 1
99 2 10 [75] 160.0 20.0 0.4 0.956 0.663 0.003 0.05 [75] 1000 0.006 0.998 1 1
100 2 10 [100] 160.0 5.0 0.05 0.934 0.58 0.003 0.05 [100] 1000 0.006 0.998 1 1
101 2 10 [100] 160.0 5.0 0.2 0.914 0.573 0.003 0.05 [100] 1000 0.006 0.998 1 1
102 2 10 [100] 160.0 5.0 0.4 0.942 0.332 0.002 0.05 [100] 1000 0.006 0.998 1 1
103 2 10 [100] 160.0 15.0 0.05 0.945 0.833 0.003 0.05 [100] 1000 0.006 0.998 1 1
104 2 10 [100] 160.0 15.0 0.2 0.936 0.771 0.003 0.05 [100] 1000 0.006 0.998 1 1
105 2 10 [100] 160.0 15.0 0.4 0.962 0.501 0.002 0.05 [100] 1000 0.006 0.998 1 1
106 2 10 [100] 160.0 20.0 0.05 0.951 1.032 0.004 0.05 [100] 1000 0.006 0.998 1 1
107 2 10 [100] 160.0 20.0 0.2 0.941 0.853 0.003 0.05 [100] 1000 0.006 0.998 1 1
108 2 10 [100] 160.0 20.0 0.4 0.957 0.611 0.002 0.05 [100] 1000 0.006 0.998 1 1
109 2 20 [50] 160.0 5.0 0.05 0.926 0.733 0.004 0.05 [50] 1000 0.006 0.998 1 1
110 2 20 [50] 160.0 5.0 0.2 0.941 0.515 0.002 0.05 [50] 1000 0.006 0.998 1 1
111 2 20 [50] 160.0 5.0 0.4 0.938 0.519 0.002 0.05 [50] 1000 0.006 0.998 1 1
112 2 20 [50] 160.0 15.0 0.05 0.955 1.023 0.004 0.05 [50] 1000 0.006 0.998 1 1
113 2 20 [50] 160.0 15.0 0.2 0.951 0.851 0.003 0.05 [50] 1000 0.006 0.998 1 1
114 2 20 [50] 160.0 15.0 0.4 0.945 0.622 0.002 0.05 [50] 1000 0.006 0.998 1 1
115 2 20 [50] 160.0 20.0 0.05 0.95 1.025 0.004 0.05 [50] 1000 0.006 0.998 1 1
116 2 20 [50] 160.0 20.0 0.2 0.954 0.99 0.004 0.05 [50] 1000 0.006 0.998 1 1
117 2 20 [50] 160.0 20.0 0.4 0.954 0.763 0.003 0.05 [50] 1000 0.006 0.998 1 1
118 2 20 [75] 160.0 5.0 0.05 0.932 0.662 0.003 0.05 [75] 1000 0.006 0.998 1 1
119 2 20 [75] 160.0 5.0 0.2 0.921 0.52 0.003 0.05 [75] 1000 0.006 0.998 1 1
120 2 20 [75] 160.0 5.0 0.4 0.943 0.426 0.002 0.05 [75] 1000 0.006 0.998 1 1
121 2 20 [75] 160.0 15.0 0.05 0.947 0.881 0.004 0.05 [75] 1000 0.006 0.998 1 1
122 2 20 [75] 160.0 15.0 0.2 0.938 0.843 0.003 0.05 [75] 1000 0.006 0.998 1 1
123 2 20 [75] 160.0 15.0 0.4 0.95 0.657 0.003 0.05 [75] 1000 0.006 0.998 1 1
124 2 20 [75] 160.0 20.0 0.05 0.951 1.006 0.004 0.05 [75] 1000 0.006 0.998 1 1
125 2 20 [75] 160.0 20.0 0.2 0.946 0.949 0.004 0.05 [75] 1000 0.006 0.998 1 1
126 2 20 [75] 160.0 20.0 0.4 0.957 0.693 0.003 0.05 [75] 1000 0.006 0.998 1 1
