EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.923 0.754 4.124 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
2 1 10 [50] 160.0 5.0 0.2 0.93 0.755 4.108 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
3 1 10 [50] 160.0 5.0 0.4 0.914 0.744 4.103 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
4 1 10 [50] 160.0 15.0 0.05 0.941 0.831 4.203 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
5 1 10 [50] 160.0 15.0 0.2 0.949 0.819 4.143 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
6 1 10 [50] 160.0 15.0 0.4 0.941 0.823 4.145 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
7 1 10 [50] 160.0 20.0 0.05 0.947 0.835 4.187 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
8 1 10 [50] 160.0 20.0 0.2 0.948 0.84 4.144 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
9 1 10 [50] 160.0 20.0 0.4 0.939 0.836 4.15 0.05 [50] 500 0.014075429453466027 0.9870991870298319 1 1
10 1 10 [75] 160.0 5.0 0.05 0.922 0.755 4.154 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
11 1 10 [75] 160.0 5.0 0.2 0.924 0.742 4.124 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
12 1 10 [75] 160.0 5.0 0.4 0.912 0.724 4.075 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
13 1 10 [75] 160.0 15.0 0.05 0.944 0.82 4.14 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
14 1 10 [75] 160.0 15.0 0.2 0.933 0.815 4.158 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
15 1 10 [75] 160.0 15.0 0.4 0.94 0.8 4.081 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
16 1 10 [75] 160.0 20.0 0.05 0.946 0.836 4.182 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
17 1 10 [75] 160.0 20.0 0.2 0.943 0.828 4.146 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
18 1 10 [75] 160.0 20.0 0.4 0.943 0.816 4.106 0.05 [75] 500 0.014075429453466027 0.9870991870298319 1 1
19 1 10 [100] 160.0 5.0 0.05 0.926 0.751 4.123 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
20 1 10 [100] 160.0 5.0 0.2 0.923 0.744 4.101 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
21 1 10 [100] 160.0 5.0 0.4 0.917 0.715 4.047 0.05 [100] 500 0.014075429453466027 0.9870991870298319 1 1
