EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.896 1.897 4.774 0.05 [50] 600 0.002 0.999 1 1
2 1 10 [50] 160.0 5.0 0.2 0.894 1.879 4.78 0.05 [50] 600 0.002 0.999 1 1
3 1 10 [50] 160.0 5.0 0.4 0.893 1.875 4.782 0.05 [50] 600 0.002 0.999 1 1
4 1 10 [50] 160.0 15.0 0.05 0.932 2.096 4.862 0.05 [50] 600 0.002 0.999 1 1
5 1 10 [50] 160.0 15.0 0.2 0.927 2.066 4.833 0.05 [50] 600 0.002 0.999 1 1
6 1 10 [50] 160.0 15.0 0.4 0.927 2.06 4.824 0.05 [50] 600 0.002 0.999 1 1
7 1 10 [50] 160.0 20.0 0.05 0.933 2.111 4.874 0.05 [50] 600 0.002 0.999 1 1
8 1 10 [50] 160.0 20.0 0.2 0.932 2.093 4.844 0.05 [50] 600 0.002 0.999 1 1
9 1 10 [50] 160.0 20.0 0.4 0.931 2.103 4.834 0.05 [50] 600 0.002 0.999 1 1
10 1 10 [75] 160.0 5.0 0.05 0.894 1.844 4.715 0.05 [75] 600 0.002 0.999 1 1
11 1 10 [75] 160.0 5.0 0.2 0.892 1.838 4.673 0.05 [75] 600 0.002 0.999 1 1
12 1 10 [75] 160.0 5.0 0.4 0.889 1.839 4.686 0.05 [75] 600 0.002 0.999 1 1
13 1 10 [75] 160.0 15.0 0.05 0.923 2.036 4.77 0.05 [75] 600 0.002 0.999 1 1
14 1 10 [75] 160.0 15.0 0.2 0.922 2.018 4.759 0.05 [75] 600 0.002 0.999 1 1
15 1 10 [75] 160.0 15.0 0.4 0.921 2.042 4.734 0.05 [75] 600 0.002 0.999 1 1
16 1 10 [75] 160.0 20.0 0.05 0.933 2.087 4.812 0.05 [75] 600 0.002 0.999 1 1
17 1 10 [75] 160.0 20.0 0.2 0.928 2.058 4.762 0.05 [75] 600 0.002 0.999 1 1
18 1 10 [75] 160.0 20.0 0.4 0.927 2.084 4.79 0.05 [75] 600 0.002 0.999 1 1
19 1 10 [100] 160.0 5.0 0.05 0.888 1.821 4.709 0.05 [100] 600 0.002 0.999 1 1
20 1 10 [100] 160.0 5.0 0.2 0.887 1.799 4.639 0.05 [100] 600 0.002 0.999 1 1
21 1 10 [100] 160.0 5.0 0.4 0.883 1.816 4.643 0.05 [100] 600 0.002 0.999 1 1
22 1 10 [100] 160.0 15.0 0.05 0.923 2.007 4.765 0.05 [100] 600 0.002 0.999 1 1
23 1 10 [100] 160.0 15.0 0.2 0.923 2.007 4.753 0.05 [100] 600 0.002 0.999 1 1
24 1 10 [100] 160.0 15.0 0.4 0.92 2.012 4.723 0.05 [100] 600 0.002 0.999 1 1
25 1 10 [100] 160.0 20.0 0.05 0.929 2.05 4.764 0.05 [100] 600 0.002 0.999 1 1
26 1 10 [100] 160.0 20.0 0.2 0.93 2.044 4.789 0.05 [100] 600 0.002 0.999 1 1
27 1 10 [100] 160.0 20.0 0.4 0.921 2.05 4.76 0.05 [100] 600 0.002 0.999 1 1
28 1 20 [50] 160.0 5.0 0.05 0.897 1.893 4.793 0.05 [50] 600 0.002 0.999 1 1
29 1 20 [50] 160.0 5.0 0.2 0.894 1.89 4.781 0.05 [50] 600 0.002 0.999 1 1
30 1 20 [50] 160.0 5.0 0.4 0.894 1.874 4.754 0.05 [50] 600 0.002 0.999 1 1
31 1 20 [50] 160.0 15.0 0.05 0.924 2.066 4.835 0.05 [50] 600 0.002 0.999 1 1
32 1 20 [50] 160.0 15.0 0.2 0.926 2.051 4.817 0.05 [50] 600 0.002 0.999 1 1
33 1 20 [50] 160.0 15.0 0.4 0.924 2.083 4.853 0.05 [50] 600 0.002 0.999 1 1
34 1 20 [50] 160.0 20.0 0.05 0.93 2.117 4.883 0.05 [50] 600 0.002 0.999 1 1
35 1 20 [50] 160.0 20.0 0.2 0.926 2.109 4.865 0.05 [50] 600 0.002 0.999 1 1
36 1 20 [50] 160.0 20.0 0.4 0.931 2.11 4.862 0.05 [50] 600 0.002 0.999 1 1
37 1 20 [75] 160.0 5.0 0.05 0.895 1.853 4.698 0.05 [75] 600 0.002 0.999 1 1
38 1 20 [75] 160.0 5.0 0.2 0.89 1.828 4.691 0.05 [75] 600 0.002 0.999 1 1
39 1 20 [75] 160.0 5.0 0.4 0.889 1.825 4.665 0.05 [75] 600 0.002 0.999 1 1
40 1 20 [75] 160.0 15.0 0.05 0.927 2.047 4.811 0.05 [75] 600 0.002 0.999 1 1
41 1 20 [75] 160.0 15.0 0.2 0.926 2.023 4.75 0.05 [75] 600 0.002 0.999 1 1
42 1 20 [75] 160.0 15.0 0.4 0.92 2.034 4.796 0.05 [75] 600 0.002 0.999 1 1
43 1 20 [75] 160.0 20.0 0.05 0.927 2.07 4.847 0.05 [75] 600 0.002 0.999 1 1
44 1 20 [75] 160.0 20.0 0.2 0.931 2.073 4.818 0.05 [75] 600 0.002 0.999 1 1
45 1 20 [75] 160.0 20.0 0.4 0.927 2.074 4.81 0.05 [75] 600 0.002 0.999 1 1
46 1 20 [100] 160.0 5.0 0.05 0.889 1.831 4.676 0.05 [100] 600 0.002 0.999 1 1
47 1 20 [100] 160.0 5.0 0.2 0.89 1.78 4.607 0.05 [100] 600 0.002 0.999 1 1
48 1 20 [100] 160.0 5.0 0.4 0.885 1.785 4.627 0.05 [100] 600 0.002 0.999 1 1
