EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.85 1.521 0.588 0.05 [50] 1000 0.01 0.98 1 1
2 1 10 [50] 160.0 5.0 0.2 0.85 1.48 0.607 0.05 [50] 1000 0.01 0.98 1 1
3 1 10 [50] 160.0 5.0 0.4 0.819 1.48 0.571 0.05 [50] 1000 0.01 0.98 1 1
4 1 10 [50] 160.0 15.0 0.05 0.912 1.768 0.57 0.05 [50] 1000 0.01 0.98 1 1
5 1 10 [50] 160.0 15.0 0.2 0.875 1.71 0.558 0.05 [50] 1000 0.01 0.98 1 1
6 1 10 [50] 160.0 15.0 0.4 0.844 1.698 0.548 0.05 [50] 1000 0.01 0.98 1 1
7 1 10 [50] 160.0 20.0 0.05 0.888 1.736 0.577 0.05 [50] 1000 0.01 0.98 1 1
8 1 10 [50] 160.0 20.0 0.2 0.875 1.701 0.553 0.05 [50] 1000 0.01 0.98 1 1
9 1 10 [50] 160.0 20.0 0.4 0.888 1.756 0.546 0.05 [50] 1000 0.01 0.98 1 1
10 1 10 [75] 160.0 5.0 0.05 0.831 1.421 0.586 0.05 [75] 1000 0.01 0.98 1 1
11 1 10 [75] 160.0 5.0 0.2 0.825 1.386 0.561 0.05 [75] 1000 0.01 0.98 1 1
12 1 10 [75] 160.0 5.0 0.4 0.794 1.408 0.567 0.05 [75] 1000 0.01 0.98 1 1
13 1 10 [75] 160.0 15.0 0.05 0.869 1.601 0.548 0.05 [75] 1000 0.01 0.98 1 1
14 1 10 [75] 160.0 15.0 0.2 0.869 1.528 0.55 0.05 [75] 1000 0.01 0.98 1 1
15 1 10 [75] 160.0 15.0 0.4 0.85 1.662 0.555 0.05 [75] 1000 0.01 0.98 1 1
16 1 10 [75] 160.0 20.0 0.05 0.856 1.65 0.543 0.05 [75] 1000 0.01 0.98 1 1
17 1 10 [75] 160.0 20.0 0.2 0.875 1.671 0.557 0.05 [75] 1000 0.01 0.98 1 1
18 1 10 [75] 160.0 20.0 0.4 0.838 1.74 0.547 0.05 [75] 1000 0.01 0.98 1 1
19 1 10 [100] 160.0 5.0 0.05 0.831 1.335 0.555 0.05 [100] 1000 0.01 0.98 1 1
20 1 10 [100] 160.0 5.0 0.2 0.806 1.287 0.546 0.05 [100] 1000 0.01 0.98 1 1
21 1 10 [100] 160.0 5.0 0.4 0.719 1.321 0.555 0.05 [100] 1000 0.01 0.98 1 1
22 1 10 [100] 160.0 15.0 0.05 0.856 1.496 0.529 0.05 [100] 1000 0.01 0.98 1 1
23 1 10 [100] 160.0 15.0 0.2 0.862 1.544 0.534 0.05 [100] 1000 0.01 0.98 1 1
24 1 10 [100] 160.0 15.0 0.4 0.775 1.522 0.566 0.05 [100] 1000 0.01 0.98 1 1
25 1 10 [100] 160.0 20.0 0.05 0.888 1.565 0.56 0.05 [100] 1000 0.01 0.98 1 1
26 1 10 [100] 160.0 20.0 0.2 0.85 1.676 0.551 0.05 [100] 1000 0.01 0.98 1 1
27 1 10 [100] 160.0 20.0 0.4 0.806 1.728 0.578 0.05 [100] 1000 0.01 0.98 1 1
28 1 20 [50] 160.0 5.0 0.05 0.862 1.496 0.571 0.05 [50] 1000 0.01 0.98 1 1
29 1 20 [50] 160.0 5.0 0.2 0.844 1.485 0.59 0.05 [50] 1000 0.01 0.98 1 1
30 1 20 [50] 160.0 5.0 0.4 0.794 1.425 0.544 0.05 [50] 1000 0.01 0.98 1 1
31 1 20 [50] 160.0 15.0 0.05 0.9 1.695 0.561 0.05 [50] 1000 0.01 0.98 1 1
32 1 20 [50] 160.0 15.0 0.2 0.875 1.623 0.576 0.05 [50] 1000 0.01 0.98 1 1
33 1 20 [50] 160.0 15.0 0.4 0.869 1.664 0.559 0.05 [50] 1000 0.01 0.98 1 1
34 1 20 [50] 160.0 20.0 0.05 0.894 1.715 0.562 0.05 [50] 1000 0.01 0.98 1 1
35 1 20 [50] 160.0 20.0 0.2 0.894 1.741 0.567 0.05 [50] 1000 0.01 0.98 1 1
36 1 20 [50] 160.0 20.0 0.4 0.856 1.776 0.582 0.05 [50] 1000 0.01 0.98 1 1
37 1 20 [75] 160.0 5.0 0.05 0.831 1.381 0.564 0.05 [75] 1000 0.01 0.98 1 1
38 1 20 [75] 160.0 5.0 0.2 0.756 1.329 0.559 0.05 [75] 1000 0.01 0.98 1 1
39 1 20 [75] 160.0 5.0 0.4 0.744 1.367 0.536 0.05 [75] 1000 0.01 0.98 1 1
40 1 20 [75] 160.0 15.0 0.05 0.844 1.625 0.555 0.05 [75] 1000 0.01 0.98 1 1
41 1 20 [75] 160.0 15.0 0.2 0.862 1.567 0.545 0.05 [75] 1000 0.01 0.98 1 1
42 1 20 [75] 160.0 15.0 0.4 0.781 1.578 0.547 0.05 [75] 1000 0.01 0.98 1 1
43 1 20 [75] 160.0 20.0 0.05 0.875 1.663 0.556 0.05 [75] 1000 0.01 0.98 1 1
44 1 20 [75] 160.0 20.0 0.2 0.875 1.637 0.541 0.05 [75] 1000 0.01 0.98 1 1
45 1 20 [75] 160.0 20.0 0.4 0.819 1.693 0.547 0.05 [75] 1000 0.01 0.98 1 1
46 1 20 [100] 160.0 5.0 0.05 0.8 1.318 0.566 0.05 [100] 1000 0.01 0.98 1 1
47 1 20 [100] 160.0 5.0 0.2 0.825 1.319 0.563 0.05 [100] 1000 0.01 0.98 1 1
48 1 20 [100] 160.0 5.0 0.4 0.744 1.236 0.54 0.05 [100] 1000 0.01 0.98 1 1
49 1 20 [100] 160.0 15.0 0.05 0.856 1.533 0.543 0.05 [100] 1000 0.01 0.98 1 1
50 1 20 [100] 160.0 15.0 0.2 0.831 1.593 0.55 0.05 [100] 1000 0.01 0.98 1 1
51 1 20 [100] 160.0 15.0 0.4 0.788 1.526 0.564 0.05 [100] 1000 0.01 0.98 1 1
52 1 20 [100] 160.0 20.0 0.05 0.894 1.623 0.553 0.05 [100] 1000 0.01 0.98 1 1
53 1 20 [100] 160.0 20.0 0.2 0.856 1.655 0.538 0.05 [100] 1000 0.01 0.98 1 1
54 1 20 [100] 160.0 20.0 0.4 0.819 1.607 0.565 0.05 [100] 1000 0.01 0.98 1 1
55 1 30 [50] 160.0 5.0 0.05 0.862 1.516 0.578 0.05 [50] 1000 0.01 0.98 1 1
56 1 30 [50] 160.0 5.0 0.2 0.856 1.493 0.573 0.05 [50] 1000 0.01 0.98 1 1
57 1 30 [50] 160.0 5.0 0.4 0.831 1.469 0.555 0.05 [50] 1000 0.01 0.98 1 1
58 1 30 [50] 160.0 15.0 0.05 0.894 1.804 0.579 0.05 [50] 1000 0.01 0.98 1 1
59 1 30 [50] 160.0 15.0 0.2 0.875 1.706 0.569 0.05 [50] 1000 0.01 0.98 1 1
60 1 30 [50] 160.0 15.0 0.4 0.856 1.76 0.555 0.05 [50] 1000 0.01 0.98 1 1
61 1 30 [50] 160.0 20.0 0.05 0.875 1.763 0.578 0.05 [50] 1000 0.01 0.98 1 1
62 1 30 [50] 160.0 20.0 0.2 0.875 1.824 0.561 0.05 [50] 1000 0.01 0.98 1 1
63 1 30 [50] 160.0 20.0 0.4 0.881 1.836 0.572 0.05 [50] 1000 0.01 0.98 1 1
64 1 30 [75] 160.0 5.0 0.05 0.838 1.44 0.585 0.05 [75] 1000 0.01 0.98 1 1
65 1 30 [75] 160.0 5.0 0.2 0.794 1.396 0.568 0.05 [75] 1000 0.01 0.98 1 1
66 1 30 [75] 160.0 5.0 0.4 0.825 1.425 0.518 0.05 [75] 1000 0.01 0.98 1 1
67 1 30 [75] 160.0 15.0 0.05 0.856 1.65 0.559 0.05 [75] 1000 0.01 0.98 1 1
68 1 30 [75] 160.0 15.0 0.2 0.869 1.617 0.559 0.05 [75] 1000 0.01 0.98 1 1
69 1 30 [75] 160.0 15.0 0.4 0.856 1.716 0.531 0.05 [75] 1000 0.01 0.98 1 1
70 1 30 [75] 160.0 20.0 0.05 0.888 1.703 0.563 0.05 [75] 1000 0.01 0.98 1 1
71 1 30 [75] 160.0 20.0 0.2 0.875 1.625 0.563 0.05 [75] 1000 0.01 0.98 1 1
72 1 30 [75] 160.0 20.0 0.4 0.881 1.778 0.555 0.05 [75] 1000 0.01 0.98 1 1
73 1 30 [100] 160.0 5.0 0.05 0.812 1.345 0.542 0.05 [100] 1000 0.01 0.98 1 1
74 1 30 [100] 160.0 5.0 0.2 0.812 1.333 0.558 0.05 [100] 1000 0.01 0.98 1 1
75 1 30 [100] 160.0 5.0 0.4 0.756 1.344 0.544 0.05 [100] 1000 0.01 0.98 1 1
76 1 30 [100] 160.0 15.0 0.05 0.869 1.553 0.558 0.05 [100] 1000 0.01 0.98 1 1
77 1 30 [100] 160.0 15.0 0.2 0.869 1.499 0.575 0.05 [100] 1000 0.01 0.98 1 1
78 1 30 [100] 160.0 15.0 0.4 0.819 1.633 0.55 0.05 [100] 1000 0.01 0.98 1 1
79 1 30 [100] 160.0 20.0 0.05 0.875 1.676 0.566 0.05 [100] 1000 0.01 0.98 1 1
80 1 30 [100] 160.0 20.0 0.2 0.85 1.535 0.553 0.05 [100] 1000 0.01 0.98 1 1
81 1 30 [100] 160.0 20.0 0.4 0.838 1.658 0.546 0.05 [100] 1000 0.01 0.98 1 1
82 2 10 [50] 160.0 5.0 0.05 0.831 1.646 0.655 0.05 [50] 1000 0.01 0.98 1 1
83 2 10 [50] 160.0 5.0 0.2 0.819 1.566 0.624 0.05 [50] 1000 0.01 0.98 1 1
84 2 10 [50] 160.0 5.0 0.4 0.794 1.583 0.637 0.05 [50] 1000 0.01 0.98 1 1
85 2 10 [50] 160.0 15.0 0.05 0.875 1.862 0.624 0.05 [50] 1000 0.01 0.98 1 1
86 2 10 [50] 160.0 15.0 0.2 0.875 1.812 0.634 0.05 [50] 1000 0.01 0.98 1 1
87 2 10 [50] 160.0 15.0 0.4 0.788 1.817 0.642 0.05 [50] 1000 0.01 0.98 1 1
88 2 10 [50] 160.0 20.0 0.05 0.869 1.861 0.633 0.05 [50] 1000 0.01 0.98 1 1
89 2 10 [50] 160.0 20.0 0.2 0.869 1.845 0.622 0.05 [50] 1000 0.01 0.98 1 1
90 2 10 [50] 160.0 20.0 0.4 0.806 1.957 0.664 0.05 [50] 1000 0.01 0.98 1 1
91 2 10 [75] 160.0 5.0 0.05 0.788 1.546 0.638 0.05 [75] 1000 0.01 0.98 1 1
92 2 10 [75] 160.0 5.0 0.2 0.781 1.515 0.619 0.05 [75] 1000 0.01 0.98 1 1
93 2 10 [75] 160.0 5.0 0.4 0.75 1.458 0.608 0.05 [75] 1000 0.01 0.98 1 1
94 2 10 [75] 160.0 15.0 0.05 0.831 1.736 0.62 0.05 [75] 1000 0.01 0.98 1 1
95 2 10 [75] 160.0 15.0 0.2 0.825 1.754 0.63 0.05 [75] 1000 0.01 0.98 1 1
96 2 10 [75] 160.0 15.0 0.4 0.8 1.868 0.655 0.05 [75] 1000 0.01 0.98 1 1
97 2 10 [75] 160.0 20.0 0.05 0.819 1.814 0.644 0.05 [75] 1000 0.01 0.98 1 1
98 2 10 [75] 160.0 20.0 0.2 0.838 1.825 0.615 0.05 [75] 1000 0.01 0.98 1 1
99 2 10 [75] 160.0 20.0 0.4 0.788 1.876 0.672 0.05 [75] 1000 0.01 0.98 1 1
100 2 10 [100] 160.0 5.0 0.05 0.788 1.446 0.624 0.05 [100] 1000 0.01 0.98 1 1
101 2 10 [100] 160.0 5.0 0.2 0.75 1.395 0.67 0.05 [100] 1000 0.01 0.98 1 1
102 2 10 [100] 160.0 5.0 0.4 0.694 1.399 0.641 0.05 [100] 1000 0.01 0.98 1 1
103 2 10 [100] 160.0 15.0 0.05 0.819 1.75 0.604 0.05 [100] 1000 0.01 0.98 1 1
104 2 10 [100] 160.0 15.0 0.2 0.831 1.672 0.616 0.05 [100] 1000 0.01 0.98 1 1
105 2 10 [100] 160.0 15.0 0.4 0.812 1.727 0.643 0.05 [100] 1000 0.01 0.98 1 1
106 2 10 [100] 160.0 20.0 0.05 0.838 1.789 0.602 0.05 [100] 1000 0.01 0.98 1 1
107 2 10 [100] 160.0 20.0 0.2 0.8 1.724 0.643 0.05 [100] 1000 0.01 0.98 1 1
108 2 10 [100] 160.0 20.0 0.4 0.769 1.802 0.658 0.05 [100] 1000 0.01 0.98 1 1
109 2 20 [50] 160.0 5.0 0.05 0.838 1.651 0.639 0.05 [50] 1000 0.01 0.98 1 1
