EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
1 1 10 [50] 160.0 5.0 0.05 0.903 0.121 0.803 0.05 [50] 2000 0.005 0.98 1 1
2 1 10 [50] 160.0 5.0 0.2 0.871 0.101 0.834 0.05 [50] 2000 0.005 0.98 1 1
3 1 10 [50] 160.0 5.0 0.4 0.839 0.231 1.873 0.05 [50] 2000 0.005 0.98 1 1
4 1 10 [50] 160.0 15.0 0.05 0.935 0.144 0.743 0.05 [50] 2000 0.005 0.98 1 1
5 1 10 [50] 160.0 15.0 0.2 0.968 0.137 0.921 0.05 [50] 2000 0.005 0.98 1 1
6 1 10 [50] 160.0 15.0 0.4 0.71 0.331 2.507 0.05 [50] 2000 0.005 0.98 1 1
7 1 10 [50] 160.0 20.0 0.05 1.0 0.193 0.836 0.05 [50] 2000 0.005 0.98 1 1
8 1 10 [50] 160.0 20.0 0.2 0.935 0.174 1.066 0.05 [50] 2000 0.005 0.98 1 1
9 1 10 [50] 160.0 20.0 0.4 0.903 0.473 3.197 0.05 [50] 2000 0.005 0.98 1 1
10 1 10 [75] 160.0 5.0 0.05 0.903 0.098 0.673 0.05 [75] 2000 0.005 0.98 1 1
11 1 10 [75] 160.0 5.0 0.2 0.871 0.109 0.769 0.05 [75] 2000 0.005 0.98 1 1
12 1 10 [75] 160.0 5.0 0.4 0.871 0.236 1.989 0.05 [75] 2000 0.005 0.98 1 1
13 1 10 [75] 160.0 15.0 0.05 0.935 0.121 0.629 0.05 [75] 2000 0.005 0.98 1 1
14 1 10 [75] 160.0 15.0 0.2 0.935 0.172 0.972 0.05 [75] 2000 0.005 0.98 1 1
15 1 10 [75] 160.0 15.0 0.4 0.903 0.414 2.693 0.05 [75] 2000 0.005 0.98 1 1
16 1 10 [75] 160.0 20.0 0.05 0.935 0.155 0.972 0.05 [75] 2000 0.005 0.98 1 1
17 1 10 [75] 160.0 20.0 0.2 0.935 0.184 0.853 0.05 [75] 2000 0.005 0.98 1 1
18 1 10 [75] 160.0 20.0 0.4 0.871 0.509 3.167 0.05 [75] 2000 0.005 0.98 1 1
19 1 10 [100] 160.0 5.0 0.05 0.774 0.088 0.832 0.05 [100] 2000 0.005 0.98 1 1
20 1 10 [100] 160.0 5.0 0.2 0.968 0.097 0.481 0.05 [100] 2000 0.005 0.98 1 1
21 1 10 [100] 160.0 5.0 0.4 0.871 0.243 1.492 0.05 [100] 2000 0.005 0.98 1 1
22 1 10 [100] 160.0 15.0 0.05 0.968 0.245 0.604 0.05 [100] 2000 0.005 0.98 1 1
23 1 10 [100] 160.0 15.0 0.2 1.0 0.186 0.887 0.05 [100] 2000 0.005 0.98 1 1
24 1 10 [100] 160.0 15.0 0.4 0.968 0.336 1.67 0.05 [100] 2000 0.005 0.98 1 1
25 1 10 [100] 160.0 20.0 0.05 0.935 0.135 0.71 0.05 [100] 2000 0.005 0.98 1 1
26 1 10 [100] 160.0 20.0 0.2 0.935 0.242 1.17 0.05 [100] 2000 0.005 0.98 1 1
27 1 10 [100] 160.0 20.0 0.4 0.806 0.384 2.34 0.05 [100] 2000 0.005 0.98 1 1
28 1 20 [50] 160.0 5.0 0.05 0.871 0.136 0.838 0.05 [50] 2000 0.005 0.98 1 1
29 1 20 [50] 160.0 5.0 0.2 0.871 0.105 0.664 0.05 [50] 2000 0.005 0.98 1 1
30 1 20 [50] 160.0 5.0 0.4 0.935 0.226 1.172 0.05 [50] 2000 0.005 0.98 1 1
31 1 20 [50] 160.0 15.0 0.05 1.0 0.208 0.815 0.05 [50] 2000 0.005 0.98 1 1
32 1 20 [50] 160.0 15.0 0.2 0.935 0.166 0.771 0.05 [50] 2000 0.005 0.98 1 1
