EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.725 0.696 2.916 0.908 2.57 3.493 0.05 qd_soft ~boston [50] 1 1
2 1 10 50 100.0 15.0 0.843 0.968 2.972 0.905 2.212 2.539 0.05 qd_soft ~boston [50] 1 1
3 1 10 50 100.0 25.0 0.882 1.105 3.06 0.899 1.947 2.61 0.05 qd_soft ~boston [50] 1 1
4 1 10 50 160.0 5.0 0.784 0.79 3.03 0.901 1.834 3.827 0.05 qd_soft ~boston [50] 1 1
5 1 10 50 160.0 15.0 0.882 1.109 3.174 0.891 1.65 2.864 0.05 qd_soft ~boston [50] 1 1
6 1 10 50 160.0 25.0 0.902 1.235 3.28 0.884 1.697 2.982 0.05 qd_soft ~boston [50] 1 1
7 1 10 50 200.0 5.0 0.706 0.838 3.133 0.894 3.079 8.146 0.05 qd_soft ~boston [50] 1 1
8 1 10 50 200.0 15.0 0.882 1.152 3.348 0.879 1.682 3.009 0.05 qd_soft ~boston [50] 1 1
9 1 10 50 200.0 25.0 0.961 1.246 3.04 0.9 1.272 8.952 0.05 qd_soft ~boston [50] 1 1
10 1 10 75 100.0 5.0 0.725 0.745 2.79 0.916 2.634 2.905 0.05 qd_soft ~boston [75] 1 1
11 1 10 75 100.0 15.0 0.863 0.897 3.733 0.85 1.745 4.284 0.05 qd_soft ~boston [75] 1 1
12 1 10 75 100.0 25.0 0.882 1.12 3.046 0.9 1.952 2.708 0.05 qd_soft ~boston [75] 1 1
13 1 10 75 160.0 5.0 0.784 0.879 3.063 0.899 1.917 3.061 0.05 qd_soft ~boston [75] 1 1
14 1 10 75 160.0 15.0 0.765 1.025 3.098 0.897 4.79 2.902 0.05 qd_soft ~boston [75] 1 1
15 1 10 75 160.0 25.0 0.882 1.319 4.469 0.785 2.191 4.387 0.05 qd_soft ~boston [75] 1 1
16 1 10 75 200.0 5.0 0.745 0.826 3.284 0.884 2.405 7.0 0.05 qd_soft ~boston [75] 1 1
17 1 10 75 200.0 15.0 0.804 1.25 3.333 0.88 3.636 2.857 0.05 qd_soft ~boston [75] 1 1
18 1 10 75 200.0 25.0 0.922 1.307 3.076 0.898 1.498 2.746 0.05 qd_soft ~boston [75] 1 1
19 1 10 100 100.0 5.0 0.745 0.718 2.945 0.907 2.265 3.485 0.05 qd_soft ~boston [100] 1 1
20 1 10 100 100.0 15.0 0.804 0.838 2.918 0.908 3.171 2.863 0.05 qd_soft ~boston [100] 1 1
21 1 10 100 100.0 25.0 0.843 0.875 3.085 0.897 2.935 2.875 0.05 qd_soft ~boston [100] 1 1
22 1 10 100 160.0 5.0 0.784 0.759 2.941 0.907 1.782 3.315 0.05 qd_soft ~boston [100] 1 1
23 1 10 100 160.0 15.0 0.765 0.938 3.037 0.901 4.707 3.252 0.05 qd_soft ~boston [100] 1 1
24 1 10 100 160.0 25.0 0.882 1.251 3.187 0.891 2.092 2.583 0.05 qd_soft ~boston [100] 1 1
25 1 10 100 200.0 5.0 0.804 0.824 3.256 0.886 1.629 3.594 0.05 qd_soft ~boston [100] 1 1
26 1 10 100 200.0 15.0 0.784 1.104 3.365 0.878 4.121 3.035 0.05 qd_soft ~boston [100] 1 1
27 1 10 100 200.0 25.0 0.922 1.268 3.098 0.897 1.44 2.568 0.05 qd_soft ~boston [100] 1 1
28 1 20 50 100.0 5.0 0.843 0.776 2.938 0.907 1.206 2.9 0.05 qd_soft ~boston [50] 1 1
29 1 20 50 100.0 15.0 0.843 0.966 3.147 0.893 2.224 2.801 0.05 qd_soft ~boston [50] 1 1
30 1 20 50 100.0 25.0 0.863 0.993 2.974 0.905 2.386 2.81 0.05 qd_soft ~boston [50] 1 1
31 1 20 50 160.0 5.0 0.765 0.783 2.926 0.908 2.054 2.944 0.05 qd_soft ~boston [50] 1 1
32 1 20 50 160.0 15.0 0.843 1.074 3.026 0.901 2.356 2.915 0.05 qd_soft ~boston [50] 1 1
33 1 20 50 160.0 25.0 0.922 1.269 3.407 0.875 1.416 2.595 0.05 qd_soft ~boston [50] 1 1
34 1 20 50 200.0 5.0 0.745 0.88 2.847 0.913 2.452 3.089 0.05 qd_soft ~boston [50] 1 1
35 1 20 50 200.0 15.0 0.902 1.228 3.195 0.89 1.522 2.916 0.05 qd_soft ~boston [50] 1 1
36 1 20 50 200.0 25.0 0.863 1.306 3.394 0.876 2.723 2.791 0.05 qd_soft ~boston [50] 1 1
37 1 20 75 100.0 5.0 0.706 0.666 3.308 0.882 2.865 11.042 0.05 qd_soft ~boston [75] 1 1
38 1 20 75 100.0 15.0 0.804 0.873 2.877 0.911 3.204 2.947 0.05 qd_soft ~boston [75] 1 1
39 1 20 75 100.0 25.0 0.863 0.993 2.98 0.904 2.378 2.709 0.05 qd_soft ~boston [75] 1 1
40 1 20 75 160.0 5.0 0.706 0.702 3.023 0.902 2.904 3.463 0.05 qd_soft ~boston [75] 1 1
41 1 20 75 160.0 15.0 0.902 1.02 3.019 0.902 1.256 2.54 0.05 qd_soft ~boston [75] 1 1
42 1 20 75 160.0 25.0 0.863 1.224 3.357 0.879 2.632 2.681 0.05 qd_soft ~boston [75] 1 1
43 1 20 75 200.0 5.0 0.725 0.851 4.033 0.825 2.746 125.537 0.05 qd_soft ~boston [75] 1 1
44 1 20 75 200.0 15.0 0.882 1.115 3.876 0.838 1.653 4.174 0.05 qd_soft ~boston [75] 1 1
45 1 20 75 200.0 25.0 0.902 1.481 3.17 0.892 1.939 2.699 0.05 qd_soft ~boston [75] 1 1
46 1 20 100 100.0 5.0 0.686 0.721 2.931 0.907 3.285 3.469 0.05 qd_soft ~boston [100] 1 1
47 1 20 100 100.0 15.0 0.824 0.93 3.078 0.898 2.712 3.049 0.05 qd_soft ~boston [100] 1 1
48 1 20 100 100.0 25.0 0.843 0.992 3.073 0.898 3.062 2.743 0.05 qd_soft ~boston [100] 1 1
49 1 20 100 160.0 5.0 0.804 0.769 2.963 0.905 1.563 3.213 0.05 qd_soft ~boston [100] 1 1
50 1 20 100 160.0 15.0 0.863 1.067 3.256 0.886 1.908 2.729 0.05 qd_soft ~boston [100] 1 1
51 1 20 100 160.0 25.0 0.902 1.195 3.149 0.893 1.621 2.613 0.05 qd_soft ~boston [100] 1 1
52 1 20 100 200.0 5.0 0.843 0.876 3.34 0.88 1.327 10.741 0.05 qd_soft ~boston [100] 1 1
53 1 20 100 200.0 15.0 0.843 1.047 3.144 0.894 2.331 2.92 0.05 qd_soft ~boston [100] 1 1
54 1 20 100 200.0 25.0 0.902 1.409 3.841 0.841 1.875 2.967 0.05 qd_soft ~boston [100] 1 1
55 1 30 50 100.0 5.0 0.706 0.675 2.935 0.907 2.838 3.158 0.05 qd_soft ~boston [50] 1 1
56 1 30 50 100.0 15.0 0.824 0.929 2.974 0.905 2.669 2.73 0.05 qd_soft ~boston [50] 1 1
57 1 30 50 100.0 25.0 0.902 1.073 2.964 0.905 1.529 2.592 0.05 qd_soft ~boston [50] 1 1
58 1 30 50 160.0 5.0 0.804 0.767 3.299 0.883 1.576 9451.062 0.05 qd_soft ~boston [50] 1 1
59 1 30 50 160.0 15.0 0.902 1.1 3.127 0.895 1.355 2.831 0.05 qd_soft ~boston [50] 1 1
60 1 30 50 160.0 25.0 0.922 1.057 3.075 0.898 1.244 3.643 0.05 qd_soft ~boston [50] 1 1
61 1 30 50 200.0 5.0 0.784 0.836 3.213 0.889 1.871 3.012 0.05 qd_soft ~boston [50] 1 1
62 1 30 50 200.0 15.0 0.882 1.143 3.062 0.899 1.669 2.714 0.05 qd_soft ~boston [50] 1 1
63 1 30 50 200.0 25.0 0.902 1.296 3.416 0.874 1.751 2.811 0.05 qd_soft ~boston [50] 1 1
64 1 30 75 100.0 5.0 0.745 0.736 2.942 0.907 2.308 3.748 0.05 qd_soft ~boston [75] 1 1
65 1 30 75 100.0 15.0 0.843 0.915 2.978 0.904 2.177 2.86 0.05 qd_soft ~boston [75] 1 1
66 1 30 75 100.0 25.0 0.863 1.093 3.051 0.9 2.505 2.714 0.05 qd_soft ~boston [75] 1 1
67 1 30 75 160.0 5.0 0.745 0.768 2.886 0.91 2.334 3.148 0.05 qd_soft ~boston [75] 1 1
68 1 30 75 160.0 15.0 0.863 1.087 3.125 0.895 1.938 2.714 0.05 qd_soft ~boston [75] 1 1
69 1 30 75 160.0 25.0 0.922 1.121 3.034 0.901 1.288 2.824 0.05 qd_soft ~boston [75] 1 1
70 1 30 75 200.0 5.0 0.765 0.86 2.943 0.907 2.154 2.798 0.05 qd_soft ~boston [75] 1 1
71 1 30 75 200.0 15.0 0.863 1.176 2.945 0.907 2.083 11.975 0.05 qd_soft ~boston [75] 1 1
72 1 30 75 200.0 25.0 0.902 1.199 2.977 0.905 1.661 2.837 0.05 qd_soft ~boston [75] 1 1
73 1 30 100 100.0 5.0 0.706 0.695 3.723 0.851 2.895 17.811 0.05 qd_soft ~boston [100] 1 1
74 1 30 100 100.0 15.0 0.784 0.92 3.065 0.899 3.935 3.164 0.05 qd_soft ~boston [100] 1 1
75 1 30 100 100.0 25.0 0.863 0.964 2.812 0.915 2.366 2.71 0.05 qd_soft ~boston [100] 1 1
76 1 30 100 160.0 5.0 0.725 0.78 3.149 0.893 2.668 3.569 0.05 qd_soft ~boston [100] 1 1
77 1 30 100 160.0 15.0 0.804 0.988 4.346 0.796 3.343 4.067 0.05 qd_soft ~boston [100] 1 1
78 1 30 100 160.0 25.0 0.902 1.177 3.167 0.892 1.648 2.929 0.05 qd_soft ~boston [100] 1 1
79 1 30 100 200.0 5.0 0.765 0.809 3.127 0.895 2.092 3.109 0.05 qd_soft ~boston [100] 1 1
80 1 30 100 200.0 15.0 0.843 1.01 3.185 0.891 2.276 2.997 0.05 qd_soft ~boston [100] 1 1
81 1 30 100 200.0 25.0 0.863 1.376 4.365 0.795 2.791 3.072 0.05 qd_soft ~boston [100] 1 1
82 2 10 50 100.0 5.0 0.863 0.734 2.902 0.886 1.054 6.012 0.05 qd_soft ~boston [50] 1 1
83 2 10 50 100.0 15.0 0.843 0.863 2.892 0.887 2.1 2.659 0.05 qd_soft ~boston [50] 1 1
84 2 10 50 100.0 25.0 0.902 1.005 2.728 0.899 1.443 2.624 0.05 qd_soft ~boston [50] 1 1
85 2 10 50 160.0 5.0 0.804 0.739 2.902 0.886 1.496 2.675 0.05 qd_soft ~boston [50] 1 1
86 2 10 50 160.0 15.0 0.941 1.014 2.613 0.907 1.049 6.533 0.05 qd_soft ~boston [50] 1 1
87 2 10 50 160.0 25.0 0.941 1.054 2.83 0.891 1.071 2.425 0.05 qd_soft ~boston [50] 1 1
88 2 10 50 200.0 5.0 0.824 0.822 2.801 0.894 1.423 2.678 0.05 qd_soft ~boston [50] 1 1
89 2 10 50 200.0 15.0 0.863 1.065 3.039 0.875 1.906 2.747 0.05 qd_soft ~boston [50] 1 1
90 2 10 50 200.0 25.0 0.902 1.283 3.703 0.814 1.766 3.642 0.05 qd_soft ~boston [50] 1 1
91 2 10 75 100.0 5.0 0.784 0.644 3.281 0.854 1.658 187.427 0.05 qd_soft ~boston [75] 1 1
92 2 10 75 100.0 15.0 0.843 0.823 3.247 0.857 2.098 170.044 0.05 qd_soft ~boston [75] 1 1
93 2 10 75 100.0 25.0 0.902 1.011 2.894 0.886 1.444 2.454 0.05 qd_soft ~boston [75] 1 1
94 2 10 75 160.0 5.0 0.863 0.735 2.688 0.902 1.035 2.67 0.05 qd_soft ~boston [75] 1 1
95 2 10 75 160.0 15.0 0.922 0.868 2.684 0.902 0.965 2.644 0.05 qd_soft ~boston [75] 1 1
96 2 10 75 160.0 25.0 0.922 1.217 3.134 0.867 1.407 175.527 0.05 qd_soft ~boston [75] 1 1
97 2 10 75 200.0 5.0 0.784 0.708 2.907 0.885 1.702 3.488 0.05 qd_soft ~boston [75] 1 1
98 2 10 75 200.0 15.0 0.902 0.946 2.756 0.897 1.235 3.165 0.05 qd_soft ~boston [75] 1 1
99 2 10 75 200.0 25.0 0.922 1.198 3.23 0.858 1.37 2.841 0.05 qd_soft ~boston [75] 1 1
100 2 10 100 100.0 5.0 0.686 0.6 3.393 0.844 3.124 158.884 0.05 qd_soft ~boston [100] 1 1
101 2 10 100 100.0 15.0 0.863 0.824 2.732 0.899 1.651 2.958 0.05 qd_soft ~boston [100] 1 1
102 2 10 100 100.0 25.0 0.843 0.992 3.189 0.862 3.077 3.287 0.05 qd_soft ~boston [100] 1 1
103 2 10 100 160.0 5.0 0.843 0.768 3.009 0.877 1.197 3.083 0.05 qd_soft ~boston [100] 1 1
104 2 10 100 160.0 15.0 0.922 1.046 2.76 0.897 1.156 2.534 0.05 qd_soft ~boston [100] 1 1
105 2 10 100 160.0 25.0 0.922 1.298 3.037 0.875 1.486 2.82 0.05 qd_soft ~boston [100] 1 1
106 2 10 100 200.0 5.0 0.863 0.867 3.028 0.876 1.167 3.045 0.05 qd_soft ~boston [100] 1 1
107 2 10 100 200.0 15.0 0.882 0.961 3.737 0.81 1.476 11.734 0.05 qd_soft ~boston [100] 1 1
108 2 10 100 200.0 25.0 0.902 1.141 3.448 0.839 1.591 5.638 0.05 qd_soft ~boston [100] 1 1
109 2 20 50 100.0 5.0 0.804 0.72 3.008 0.877 1.482 6.368 0.05 qd_soft ~boston [50] 1 1
110 2 20 50 100.0 15.0 0.804 0.838 3.231 0.858 3.162 3.533 0.05 qd_soft ~boston [50] 1 1
111 2 20 50 100.0 25.0 0.863 1.11 3.226 0.859 2.526 144.411 0.05 qd_soft ~boston [50] 1 1
112 2 20 50 160.0 5.0 0.902 0.833 2.766 0.896 0.899 2.366 0.05 qd_soft ~boston [50] 1 1
113 2 20 50 160.0 15.0 0.863 0.936 3.007 0.877 1.761 2.924 0.05 qd_soft ~boston [50] 1 1
114 2 20 50 160.0 25.0 0.824 1.075 3.309 0.851 3.977 4.124 0.05 qd_soft ~boston [50] 1 1
115 2 20 50 200.0 5.0 0.824 0.834 2.882 0.887 1.447 5.011 0.05 qd_soft ~boston [50] 1 1
116 2 20 50 200.0 15.0 0.863 1.036 3.157 0.865 1.888 2.861 0.05 qd_soft ~boston [50] 1 1
117 2 20 50 200.0 25.0 0.882 1.193 3.352 0.848 2.059 2.87 0.05 qd_soft ~boston [50] 1 1
118 2 20 75 100.0 5.0 0.745 0.734 2.968 0.881 2.229 2.787 0.05 qd_soft ~boston [75] 1 1
119 2 20 75 100.0 15.0 0.863 0.848 3.329 0.85 1.686 3.603 0.05 qd_soft ~boston [75] 1 1
120 2 20 75 100.0 25.0 0.824 0.897 2.793 0.894 3.774 2.56 0.05 qd_soft ~boston [75] 1 1
121 2 20 75 160.0 5.0 0.765 0.679 2.884 0.887 1.938 4.442 0.05 qd_soft ~boston [75] 1 1
122 2 20 75 160.0 15.0 0.863 0.86 3.055 0.873 1.731 4.42 0.05 qd_soft ~boston [75] 1 1
123 2 20 75 160.0 25.0 0.941 1.055 3.096 0.87 1.082 2.482 0.05 qd_soft ~boston [75] 1 1
124 2 20 75 200.0 5.0 0.804 0.771 3.617 0.822 1.593 4.366 0.05 qd_soft ~boston [75] 1 1
125 2 20 75 200.0 15.0 0.902 1.051 2.971 0.88 1.351 3.046 0.05 qd_soft ~boston [75] 1 1
126 2 20 75 200.0 25.0 0.961 1.162 2.826 0.892 1.192 3.315 0.05 qd_soft ~boston [75] 1 1
127 2 20 100 100.0 5.0 0.765 0.69 2.875 0.888 1.936 18.638 0.05 qd_soft ~boston [100] 1 1
128 2 20 100 100.0 15.0 0.804 0.849 3.351 0.848 3.157 3.723 0.05 qd_soft ~boston [100] 1 1
129 2 20 100 100.0 25.0 0.902 0.951 3.421 0.841 1.365 2.815 0.05 qd_soft ~boston [100] 1 1
130 2 20 100 160.0 5.0 0.824 0.697 3.216 0.86 1.316 20.447 0.05 qd_soft ~boston [100] 1 1
131 2 20 100 160.0 15.0 0.882 1.005 3.009 0.877 1.546 8.926 0.05 qd_soft ~boston [100] 1 1
132 2 20 100 160.0 25.0 0.863 1.036 3.157 0.865 2.422 6.013 0.05 qd_soft ~boston [100] 1 1
133 2 20 100 200.0 5.0 0.843 0.779 2.782 0.895 1.206 2.879 0.05 qd_soft ~boston [100] 1 1
134 2 20 100 200.0 15.0 0.902 1.018 3.457 0.838 1.32 64.786 0.05 qd_soft ~boston [100] 1 1
135 2 20 100 200.0 25.0 0.902 1.229 3.131 0.867 1.678 2.912 0.05 qd_soft ~boston [100] 1 1
136 2 30 50 100.0 5.0 0.725 0.68 2.553 0.912 2.49 2.643 0.05 qd_soft ~boston [50] 1 1
137 2 30 50 100.0 15.0 0.843 0.88 2.727 0.899 2.095 2.525 0.05 qd_soft ~boston [50] 1 1
138 2 30 50 100.0 25.0 0.882 0.947 3.51 0.833 1.77 4.93 0.05 qd_soft ~boston [50] 1 1
139 2 30 50 160.0 5.0 0.863 0.747 2.605 0.908 1.059 9.32 0.05 qd_soft ~boston [50] 1 1
140 2 30 50 160.0 15.0 0.863 0.917 2.943 0.883 1.748 3.299 0.05 qd_soft ~boston [50] 1 1
141 2 30 50 160.0 25.0 0.902 1.002 3.035 0.875 1.465 27.062 0.05 qd_soft ~boston [50] 1 1
142 2 30 50 200.0 5.0 0.843 0.771 3.086 0.871 1.202 6.7 0.05 qd_soft ~boston [50] 1 1
143 2 30 50 200.0 15.0 0.902 1.121 3.129 0.867 1.392 2.895 0.05 qd_soft ~boston [50] 1 1
144 2 30 50 200.0 25.0 0.902 1.184 3.376 0.845 1.643 3.813 0.05 qd_soft ~boston [50] 1 1
145 2 30 75 100.0 5.0 0.765 0.641 3.388 0.844 1.906 9.881 0.05 qd_soft ~boston [75] 1 1
146 2 30 75 100.0 15.0 0.824 0.842 2.856 0.889 2.591 3.892 0.05 qd_soft ~boston [75] 1 1
147 2 30 75 100.0 25.0 0.902 0.929 2.782 0.895 1.362 7.822 0.05 qd_soft ~boston [75] 1 1
148 2 30 75 160.0 5.0 0.784 0.724 2.781 0.895 1.734 11.334 0.05 qd_soft ~boston [75] 1 1
149 2 30 75 160.0 15.0 0.882 0.996 3.139 0.866 1.519 54.874 0.05 qd_soft ~boston [75] 1 1
150 2 30 75 160.0 25.0 0.922 1.069 3.562 0.828 1.271 23.425 0.05 qd_soft ~boston [75] 1 1
151 2 30 75 200.0 5.0 0.804 0.763 3.327 0.85 1.566 5.374 0.05 qd_soft ~boston [75] 1 1
152 2 30 75 200.0 15.0 0.882 1.133 3.137 0.866 1.677 3.342 0.05 qd_soft ~boston [75] 1 1
153 2 30 75 200.0 25.0 0.941 1.322 3.376 0.845 1.378 617.148 0.05 qd_soft ~boston [75] 1 1
154 2 30 100 100.0 5.0 0.804 0.703 2.545 0.912 1.485 2.716 0.05 qd_soft ~boston [100] 1 1
155 2 30 100 100.0 15.0 0.882 0.907 2.602 0.908 1.437 8.617 0.05 qd_soft ~boston [100] 1 1
156 2 30 100 100.0 25.0 0.863 1.072 3.364 0.846 2.472 13.612 0.05 qd_soft ~boston [100] 1 1
157 2 30 100 160.0 5.0 0.765 0.699 2.426 0.92 1.961 2.988 0.05 qd_soft ~boston [100] 1 1
158 2 30 100 160.0 15.0 0.863 0.947 2.818 0.892 1.798 2.524 0.05 qd_soft ~boston [100] 1 1
