EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.777 0.693 6.118 0.837 2.212 4.1 0.05 qd_soft ~concrete [50] 1 1
2 1 10 50 100.0 15.0 0.854 0.916 6.209 0.832 2.31 3.262 0.05 qd_soft ~concrete [50] 1 1
3 1 10 50 100.0 25.0 0.903 0.96 5.887 0.849 1.527 3.216 0.05 qd_soft ~concrete [50] 1 1
4 1 10 50 160.0 5.0 0.806 0.738 5.943 0.847 1.784 3.68 0.05 qd_soft ~concrete [50] 1 1
5 1 10 50 160.0 15.0 0.854 0.98 6.399 0.822 2.366 3.402 0.05 qd_soft ~concrete [50] 1 1
6 1 10 50 160.0 25.0 0.845 1.063 6.597 0.811 3.867 3.258 0.05 qd_soft ~concrete [50] 1 1
7 1 10 50 200.0 5.0 0.825 0.825 6.347 0.825 1.613 3.554 0.05 qd_soft ~concrete [50] 1 1
8 1 10 50 200.0 15.0 0.874 0.92 6.173 0.834 1.801 3.287 0.05 qd_soft ~concrete [50] 1 1
9 1 10 50 200.0 25.0 0.864 0.981 6.437 0.82 2.826 3.244 0.05 qd_soft ~concrete [50] 1 1
10 1 10 75 100.0 5.0 0.806 0.657 5.806 0.854 1.725 16.986 0.05 qd_soft ~concrete [75] 1 1
11 1 10 75 100.0 15.0 0.932 0.992 6.031 0.842 1.037 3.241 0.05 qd_soft ~concrete [75] 1 1
12 1 10 75 100.0 25.0 0.845 0.867 6.186 0.834 3.68 3.456 0.05 qd_soft ~concrete [75] 1 1
13 1 10 75 160.0 5.0 0.786 0.787 6.343 0.825 2.16 3.629 0.05 qd_soft ~concrete [75] 1 1
14 1 10 75 160.0 15.0 0.786 0.885 6.259 0.83 4.939 3.438 0.05 qd_soft ~concrete [75] 1 1
15 1 10 75 160.0 25.0 0.883 0.977 6.656 0.807 2.096 3.439 0.05 qd_soft ~concrete [75] 1 1
16 1 10 75 200.0 5.0 0.816 0.782 6.305 0.827 1.7 441.707 0.05 qd_soft ~concrete [75] 1 1
17 1 10 75 200.0 15.0 0.893 0.988 6.37 0.824 1.471 3.265 0.05 qd_soft ~concrete [75] 1 1
18 1 10 75 200.0 25.0 0.845 1.083 6.882 0.794 3.884 3.386 0.05 qd_soft ~concrete [75] 1 1
