EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.831 0.686 4.05 0.833 1.251 2.836 0.05 qd_soft ~energy [50] 1 1
2 1 10 50 100.0 15.0 0.844 0.797 3.628 0.866 2.186 2.235 0.05 qd_soft ~energy [50] 1 1
3 1 10 50 100.0 25.0 0.857 0.871 3.783 0.854 2.687 2.351 0.05 qd_soft ~energy [50] 1 1
4 1 10 50 160.0 5.0 0.779 0.672 4.166 0.823 1.9 3.123 0.05 qd_soft ~energy [50] 1 1
5 1 10 50 160.0 15.0 0.87 0.845 3.772 0.855 1.601 2.377 0.05 qd_soft ~energy [50] 1 1
6 1 10 50 160.0 25.0 0.831 0.868 3.986 0.838 3.89 2.556 0.05 qd_soft ~energy [50] 1 1
7 1 10 50 200.0 5.0 0.779 0.692 4.262 0.815 1.925 3.128 0.05 qd_soft ~energy [50] 1 1
8 1 10 50 200.0 15.0 0.857 0.834 3.763 0.856 1.882 2.366 0.05 qd_soft ~energy [50] 1 1
9 1 10 50 200.0 25.0 0.844 0.906 3.891 0.846 3.326 2.483 0.05 qd_soft ~energy [50] 1 1
10 1 10 75 100.0 5.0 0.844 0.657 4.15 0.825 1.081 2.929 0.05 qd_soft ~energy [75] 1 1
11 1 10 75 100.0 15.0 0.909 0.766 3.547 0.872 0.952 2.128 0.05 qd_soft ~energy [75] 1 1
12 1 10 75 100.0 25.0 0.831 0.863 4.003 0.837 3.871 2.514 0.05 qd_soft ~energy [75] 1 1
13 1 10 75 160.0 5.0 0.792 0.677 4.179 0.822 1.716 2.999 0.05 qd_soft ~energy [75] 1 1
14 1 10 75 160.0 15.0 0.818 0.796 4.186 0.822 3.044 2.864 0.05 qd_soft ~energy [75] 1 1
15 1 10 75 160.0 25.0 0.883 0.821 3.787 0.854 1.704 2.347 0.05 qd_soft ~energy [75] 1 1
16 1 10 75 200.0 5.0 0.779 0.7 4.241 0.817 1.931 3.089 0.05 qd_soft ~energy [75] 1 1
17 1 10 75 200.0 15.0 0.805 0.776 3.882 0.847 3.449 2.499 0.05 qd_soft ~energy [75] 1 1
18 1 10 75 200.0 25.0 0.844 0.941 3.925 0.843 3.329 2.493 0.05 qd_soft ~energy [75] 1 1
19 1 10 100 100.0 5.0 0.805 0.646 4.226 0.818 1.5 3.077 0.05 qd_soft ~energy [100] 1 1
20 1 10 100 100.0 15.0 0.857 0.724 4.101 0.829 1.794 2.661 0.05 qd_soft ~energy [100] 1 1
21 1 10 100 100.0 25.0 0.844 0.789 3.831 0.851 3.148 2.345 0.05 qd_soft ~energy [100] 1 1
22 1 10 100 160.0 5.0 0.805 0.671 4.231 0.818 1.523 3.016 0.05 qd_soft ~energy [100] 1 1
23 1 10 100 160.0 15.0 0.844 0.836 4.014 0.836 2.235 2.536 0.05 qd_soft ~energy [100] 1 1
24 1 10 100 160.0 25.0 0.844 0.84 3.826 0.851 3.206 2.415 0.05 qd_soft ~energy [100] 1 1
25 1 10 100 200.0 5.0 0.818 0.714 3.97 0.839 1.407 2.825 0.05 qd_soft ~energy [100] 1 1
26 1 10 100 200.0 15.0 0.844 0.791 3.76 0.856 2.195 2.328 0.05 qd_soft ~energy [100] 1 1
27 1 10 100 200.0 25.0 0.818 0.89 3.787 0.854 4.613 2.383 0.05 qd_soft ~energy [100] 1 1
28 1 20 50 100.0 5.0 0.805 0.703 4.165 0.823 1.56 2.905 0.05 qd_soft ~energy [50] 1 1
29 1 20 50 100.0 15.0 0.87 0.787 4.284 0.813 1.576 2.92 0.05 qd_soft ~energy [50] 1 1
30 1 20 50 100.0 25.0 0.883 0.862 3.65 0.864 1.765 2.257 0.05 qd_soft ~energy [50] 1 1
31 1 20 50 160.0 5.0 0.792 0.701 4.224 0.818 1.733 3.028 0.05 qd_soft ~energy [50] 1 1
32 1 20 50 160.0 15.0 0.831 0.797 3.968 0.84 2.593 2.618 0.05 qd_soft ~energy [50] 1 1
33 1 20 50 160.0 25.0 0.844 0.884 4.003 0.837 3.309 2.74 0.05 qd_soft ~energy [50] 1 1
34 1 20 50 200.0 5.0 0.844 0.752 3.784 0.854 1.166 2.392 0.05 qd_soft ~energy [50] 1 1
35 1 20 50 200.0 15.0 0.909 0.838 4.197 0.821 1.007 2.727 0.05 qd_soft ~energy [50] 1 1
36 1 20 50 200.0 25.0 0.87 0.952 4.318 0.81 2.313 2.661 0.05 qd_soft ~energy [50] 1 1
37 1 20 75 100.0 5.0 0.792 0.666 4.162 0.824 1.695 2.979 0.05 qd_soft ~energy [75] 1 1
38 1 20 75 100.0 15.0 0.857 0.767 4.114 0.828 1.844 2.745 0.05 qd_soft ~energy [75] 1 1
39 1 20 75 100.0 25.0 0.844 0.842 3.76 0.856 3.214 2.407 0.05 qd_soft ~energy [75] 1 1
40 1 20 75 160.0 5.0 0.792 0.669 4.24 0.817 1.706 3.15 0.05 qd_soft ~energy [75] 1 1
41 1 20 75 160.0 15.0 0.844 0.786 4.22 0.819 2.219 2.91 0.05 qd_soft ~energy [75] 1 1
42 1 20 75 160.0 25.0 0.87 0.847 4.066 0.832 2.205 2.709 0.05 qd_soft ~energy [75] 1 1
43 1 20 75 200.0 5.0 0.805 0.7 4.195 0.821 1.563 3.073 0.05 qd_soft ~energy [75] 1 1
44 1 20 75 200.0 15.0 0.805 0.847 3.869 0.848 3.53 2.467 0.05 qd_soft ~energy [75] 1 1
45 1 20 75 200.0 25.0 0.87 0.922 4.035 0.834 2.273 2.506 0.05 qd_soft ~energy [75] 1 1
46 1 20 100 100.0 5.0 0.844 0.643 4.13 0.826 1.081 2.815 0.05 qd_soft ~energy [100] 1 1
47 1 20 100 100.0 15.0 0.844 0.734 4.201 0.82 2.153 2.996 0.05 qd_soft ~energy [100] 1 1
48 1 20 100 100.0 25.0 0.857 0.848 3.868 0.848 2.673 2.35 0.05 qd_soft ~energy [100] 1 1
