EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.874 1.675 0.164 0.612 2.462 -0.503 0.05 qd_soft ~kin8nm [50] 1 1
2 1 10 50 100.0 15.0 0.913 2.054 0.166 0.599 2.628 -0.4 0.05 qd_soft ~kin8nm [50] 1 1
3 1 10 50 100.0 25.0 0.916 2.066 0.162 0.619 2.895 -0.454 0.05 qd_soft ~kin8nm [50] 1 1
4 1 10 50 160.0 5.0 0.87 1.75 0.165 0.605 2.674 -0.337 0.05 qd_soft ~kin8nm [50] 1 1
5 1 10 50 160.0 15.0 0.906 2.202 0.172 0.568 3.037 -0.338 0.05 qd_soft ~kin8nm [50] 1 1
6 1 10 50 160.0 25.0 0.913 2.251 0.175 0.558 3.222 -0.332 0.05 qd_soft ~kin8nm [50] 1 1
7 1 10 50 200.0 5.0 0.871 1.799 0.162 0.621 2.709 -0.336 0.05 qd_soft ~kin8nm [50] 1 1
8 1 10 50 200.0 15.0 0.907 2.167 0.176 0.551 2.967 -0.259 0.05 qd_soft ~kin8nm [50] 1 1
9 1 10 50 200.0 25.0 0.929 2.298 0.177 0.548 2.612 -0.304 0.05 qd_soft ~kin8nm [50] 1 1
10 1 10 75 100.0 5.0 0.88 1.43 0.139 0.72 2.096 -0.668 0.05 qd_soft ~kin8nm [75] 1 1
11 1 10 75 100.0 15.0 0.912 1.848 0.154 0.656 2.456 -0.504 0.05 qd_soft ~kin8nm [75] 1 1
12 1 10 75 100.0 25.0 0.921 2.04 0.161 0.625 2.652 -0.447 0.05 qd_soft ~kin8nm [75] 1 1
13 1 10 75 160.0 5.0 0.883 1.632 0.155 0.649 2.254 -0.458 0.05 qd_soft ~kin8nm [75] 1 1
14 1 10 75 160.0 15.0 0.905 2.016 0.159 0.632 2.895 -0.407 0.05 qd_soft ~kin8nm [75] 1 1
15 1 10 75 160.0 25.0 0.912 2.186 0.165 0.606 3.224 -0.385 0.05 qd_soft ~kin8nm [75] 1 1
16 1 10 75 200.0 5.0 0.86 1.713 0.164 0.608 2.868 -0.386 0.05 qd_soft ~kin8nm [75] 1 1
17 1 10 75 200.0 15.0 0.905 2.124 0.168 0.591 3.017 -0.359 0.05 qd_soft ~kin8nm [75] 1 1
18 1 10 75 200.0 25.0 0.92 2.33 0.177 0.547 3.009 -0.296 0.05 qd_soft ~kin8nm [75] 1 1
19 1 10 100 100.0 5.0 0.888 1.359 0.125 0.772 1.896 -0.746 0.05 qd_soft ~kin8nm [100] 1 1
20 1 10 100 100.0 15.0 0.918 1.734 0.147 0.687 2.152 -0.609 0.05 qd_soft ~kin8nm [100] 1 1
21 1 10 100 100.0 25.0 0.916 1.935 0.15 0.675 2.791 -0.443 0.05 qd_soft ~kin8nm [100] 1 1
22 1 10 100 160.0 5.0 0.859 1.688 0.162 0.617 2.872 -0.377 0.05 qd_soft ~kin8nm [100] 1 1
23 1 10 100 160.0 15.0 0.906 1.984 0.161 0.622 2.806 -0.44 0.05 qd_soft ~kin8nm [100] 1 1
24 1 10 100 160.0 25.0 0.921 2.147 0.165 0.604 2.769 -0.383 0.05 qd_soft ~kin8nm [100] 1 1
25 1 10 100 200.0 5.0 0.874 1.675 0.157 0.643 2.482 -0.478 0.05 qd_soft ~kin8nm [100] 1 1
26 1 10 100 200.0 15.0 0.906 2.031 0.166 0.6 2.856 -0.408 0.05 qd_soft ~kin8nm [100] 1 1
27 1 10 100 200.0 25.0 0.927 2.27 0.171 0.574 2.658 -0.352 0.05 qd_soft ~kin8nm [100] 1 1
28 1 20 50 100.0 5.0 0.876 1.523 0.148 0.682 2.295 -0.556 0.05 qd_soft ~kin8nm [50] 1 1
29 1 20 50 100.0 15.0 0.904 1.987 0.16 0.628 2.917 -0.433 0.05 qd_soft ~kin8nm [50] 1 1
30 1 20 50 100.0 25.0 0.924 2.107 0.164 0.611 2.573 -0.423 0.05 qd_soft ~kin8nm [50] 1 1
31 1 20 50 160.0 5.0 0.868 1.651 0.159 0.631 2.593 -0.441 0.05 qd_soft ~kin8nm [50] 1 1
32 1 20 50 160.0 15.0 0.907 2.034 0.164 0.608 2.817 -0.397 0.05 qd_soft ~kin8nm [50] 1 1
33 1 20 50 160.0 25.0 0.918 2.214 0.171 0.574 2.94 -0.341 0.05 qd_soft ~kin8nm [50] 1 1
34 1 20 50 200.0 5.0 0.874 1.739 0.161 0.623 2.549 -0.405 0.05 qd_soft ~kin8nm [50] 1 1
35 1 20 50 200.0 15.0 0.901 2.181 0.177 0.547 3.216 -0.285 0.05 qd_soft ~kin8nm [50] 1 1
36 1 20 50 200.0 25.0 0.915 2.324 0.177 0.547 3.227 -0.308 0.05 qd_soft ~kin8nm [50] 1 1
37 1 20 75 100.0 5.0 0.873 1.528 0.15 0.675 2.359 -0.536 0.05 qd_soft ~kin8nm [75] 1 1
38 1 20 75 100.0 15.0 0.912 1.915 0.155 0.65 2.532 -0.51 0.05 qd_soft ~kin8nm [75] 1 1
39 1 20 75 100.0 25.0 0.92 2.06 0.16 0.626 2.721 -0.452 0.05 qd_soft ~kin8nm [75] 1 1
40 1 20 75 160.0 5.0 0.873 1.637 0.151 0.67 2.471 -0.491 0.05 qd_soft ~kin8nm [75] 1 1
41 1 20 75 160.0 15.0 0.922 2.118 0.163 0.616 2.471 -0.401 0.05 qd_soft ~kin8nm [75] 1 1
42 1 20 75 160.0 25.0 0.928 2.287 0.172 0.573 2.637 -0.353 0.05 qd_soft ~kin8nm [75] 1 1
43 1 20 75 200.0 5.0 0.872 1.685 0.155 0.65 2.548 -0.435 0.05 qd_soft ~kin8nm [75] 1 1
44 1 20 75 200.0 15.0 0.916 2.1 0.166 0.602 2.606 -0.383 0.05 qd_soft ~kin8nm [75] 1 1
45 1 20 75 200.0 25.0 0.927 2.387 0.18 0.531 2.78 -0.302 0.05 qd_soft ~kin8nm [75] 1 1
46 1 20 100 100.0 5.0 0.877 1.419 0.149 0.68 2.15 -0.602 0.05 qd_soft ~kin8nm [100] 1 1
47 1 20 100 100.0 15.0 0.901 1.825 0.151 0.671 2.846 -0.527 0.05 qd_soft ~kin8nm [100] 1 1
48 1 20 100 100.0 25.0 0.924 2.162 0.171 0.578 2.629 -0.381 0.05 qd_soft ~kin8nm [100] 1 1
49 1 20 100 160.0 5.0 0.868 1.646 0.158 0.639 2.593 -0.419 0.05 qd_soft ~kin8nm [100] 1 1
50 1 20 100 160.0 15.0 0.905 2.114 0.166 0.598 3.001 -0.377 0.05 qd_soft ~kin8nm [100] 1 1
51 1 20 100 160.0 25.0 0.918 2.27 0.174 0.561 3.003 -0.305 0.05 qd_soft ~kin8nm [100] 1 1
52 1 20 100 200.0 5.0 0.861 1.716 0.165 0.605 2.838 -0.36 0.05 qd_soft ~kin8nm [100] 1 1
53 1 20 100 200.0 15.0 0.916 2.165 0.17 0.579 2.677 -0.355 0.05 qd_soft ~kin8nm [100] 1 1
54 1 20 100 200.0 25.0 0.922 2.344 0.176 0.551 2.922 -0.289 0.05 qd_soft ~kin8nm [100] 1 1
55 1 30 50 100.0 5.0 0.871 1.531 0.148 0.683 2.412 -0.576 0.05 qd_soft ~kin8nm [50] 1 1
56 1 30 50 100.0 15.0 0.907 1.987 0.164 0.609 2.759 -0.439 0.05 qd_soft ~kin8nm [50] 1 1
57 1 30 50 100.0 25.0 0.923 2.154 0.167 0.598 2.668 -0.397 0.05 qd_soft ~kin8nm [50] 1 1
58 1 30 50 160.0 5.0 0.872 1.759 0.164 0.612 2.627 -0.382 0.05 qd_soft ~kin8nm [50] 1 1
59 1 30 50 160.0 15.0 0.915 2.137 0.171 0.576 2.681 -0.33 0.05 qd_soft ~kin8nm [50] 1 1
60 1 30 50 160.0 25.0 0.923 2.294 0.172 0.573 2.825 -0.336 0.05 qd_soft ~kin8nm [50] 1 1
61 1 30 50 200.0 5.0 0.878 1.844 0.169 0.583 2.591 -0.293 0.05 qd_soft ~kin8nm [50] 1 1
62 1 30 50 200.0 15.0 0.906 2.219 0.183 0.517 3.057 -0.235 0.05 qd_soft ~kin8nm [50] 1 1
63 1 30 50 200.0 25.0 0.924 2.386 0.177 0.544 2.868 -0.318 0.05 qd_soft ~kin8nm [50] 1 1
64 1 30 75 100.0 5.0 0.865 1.48 0.137 0.726 2.507 -0.612 0.05 qd_soft ~kin8nm [75] 1 1
65 1 30 75 100.0 15.0 0.911 1.881 0.154 0.656 2.529 -0.5 0.05 qd_soft ~kin8nm [75] 1 1
66 1 30 75 100.0 25.0 0.924 2.062 0.159 0.632 2.528 -0.453 0.05 qd_soft ~kin8nm [75] 1 1
67 1 30 75 160.0 5.0 0.872 1.693 0.158 0.637 2.565 -0.435 0.05 qd_soft ~kin8nm [75] 1 1
68 1 30 75 160.0 15.0 0.907 1.928 0.157 0.642 2.704 -0.468 0.05 qd_soft ~kin8nm [75] 1 1
69 1 30 75 160.0 25.0 0.917 2.252 0.169 0.585 3.033 -0.378 0.05 qd_soft ~kin8nm [75] 1 1
70 1 30 75 200.0 5.0 0.874 1.669 0.158 0.637 2.483 -0.367 0.05 qd_soft ~kin8nm [75] 1 1
71 1 30 75 200.0 15.0 0.911 2.27 0.182 0.52 2.932 -0.273 0.05 qd_soft ~kin8nm [75] 1 1
72 1 30 75 200.0 25.0 0.913 2.282 0.172 0.569 3.255 -0.326 0.05 qd_soft ~kin8nm [75] 1 1
73 1 30 100 100.0 5.0 0.894 1.408 0.135 0.734 1.841 -0.705 0.05 qd_soft ~kin8nm [100] 1 1
74 1 30 100 100.0 15.0 0.904 1.858 0.157 0.643 2.777 -0.49 0.05 qd_soft ~kin8nm [100] 1 1
75 1 30 100 100.0 25.0 0.922 2.093 0.165 0.606 2.652 -0.418 0.05 qd_soft ~kin8nm [100] 1 1
76 1 30 100 160.0 5.0 0.873 1.797 0.164 0.612 2.643 -0.367 0.05 qd_soft ~kin8nm [100] 1 1
77 1 30 100 160.0 15.0 0.901 2.065 0.171 0.577 3.085 -0.367 0.05 qd_soft ~kin8nm [100] 1 1
78 1 30 100 160.0 25.0 0.93 2.37 0.179 0.534 2.66 -0.264 0.05 qd_soft ~kin8nm [100] 1 1
79 1 30 100 200.0 5.0 0.872 1.674 0.156 0.646 2.539 -0.396 0.05 qd_soft ~kin8nm [100] 1 1
80 1 30 100 200.0 15.0 0.913 2.155 0.17 0.581 2.739 -0.331 0.05 qd_soft ~kin8nm [100] 1 1
81 1 30 100 200.0 25.0 0.917 2.426 0.184 0.508 3.223 -0.251 0.05 qd_soft ~kin8nm [100] 1 1
82 2 10 50 100.0 5.0 0.87 1.644 0.157 0.655 2.565 -0.442 0.05 qd_soft ~kin8nm [50] 1 1
83 2 10 50 100.0 15.0 0.91 2.029 0.16 0.645 2.741 -0.413 0.05 qd_soft ~kin8nm [50] 1 1
84 2 10 50 100.0 25.0 0.93 2.179 0.171 0.59 2.445 -0.372 0.05 qd_soft ~kin8nm [50] 1 1
85 2 10 50 160.0 5.0 0.879 1.765 0.162 0.633 2.488 0.077 0.05 qd_soft ~kin8nm [50] 1 1
86 2 10 50 160.0 15.0 0.918 2.158 0.168 0.605 2.611 -0.33 0.05 qd_soft ~kin8nm [50] 1 1
87 2 10 50 160.0 25.0 0.929 2.304 0.173 0.583 2.626 -0.301 0.05 qd_soft ~kin8nm [50] 1 1
88 2 10 50 200.0 5.0 0.876 1.808 0.167 0.61 2.606 -0.241 0.05 qd_soft ~kin8nm [50] 1 1
89 2 10 50 200.0 15.0 0.911 2.18 0.175 0.575 2.857 -0.23 0.05 qd_soft ~kin8nm [50] 1 1
90 2 10 50 200.0 25.0 0.923 2.444 0.187 0.514 2.99 -0.194 0.05 qd_soft ~kin8nm [50] 1 1
91 2 10 75 100.0 5.0 0.883 1.479 0.149 0.692 2.099 -0.568 0.05 qd_soft ~kin8nm [75] 1 1
92 2 10 75 100.0 15.0 0.915 1.896 0.155 0.663 2.44 -0.48 0.05 qd_soft ~kin8nm [75] 1 1
93 2 10 75 100.0 25.0 0.926 2.099 0.163 0.631 2.53 -0.356 0.05 qd_soft ~kin8nm [75] 1 1
94 2 10 75 160.0 5.0 0.876 1.652 0.159 0.646 2.438 -0.444 0.05 qd_soft ~kin8nm [75] 1 1
95 2 10 75 160.0 15.0 0.927 2.066 0.165 0.62 2.301 -0.359 0.05 qd_soft ~kin8nm [75] 1 1
96 2 10 75 160.0 25.0 0.923 2.281 0.168 0.606 2.822 -0.329 0.05 qd_soft ~kin8nm [75] 1 1
97 2 10 75 200.0 5.0 0.882 1.833 0.165 0.618 2.503 -0.303 0.05 qd_soft ~kin8nm [75] 1 1
