EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.909 3.101 0.007 0.029 3.4 -3.412 0.05 qd_soft ~naval [50] 1 1
2 1 10 50 100.0 15.0 0.949 3.244 0.008 -0.0 3.247 -3.415 0.05 qd_soft ~naval [50] 1 1
3 1 10 50 100.0 25.0 0.951 3.245 0.008 0.011 3.254 -3.419 0.05 qd_soft ~naval [50] 1 1
4 1 10 50 160.0 5.0 0.911 3.095 0.008 -0.014 3.38 -3.353 0.05 qd_soft ~naval [50] 1 1
5 1 10 50 160.0 15.0 0.941 3.227 0.008 -0.004 3.274 -3.408 0.05 qd_soft ~naval [50] 1 1
6 1 10 50 160.0 25.0 0.946 3.211 0.008 0.009 3.23 -3.416 0.05 qd_soft ~naval [50] 1 1
7 1 10 50 200.0 5.0 1.0 22.302 0.008 -0.14 22.302 -2.553 0.05 qd_soft ~naval [50] 1 1
8 1 10 50 200.0 15.0 1.0 22.45 0.01 -0.58 22.45 -2.549 0.05 qd_soft ~naval [50] 1 1
9 1 10 50 200.0 25.0 1.0 20.204 0.009 -0.478 20.204 -2.618 0.05 qd_soft ~naval [50] 1 1
10 1 10 75 100.0 5.0 0.918 3.122 0.008 0.014 3.301 -3.408 0.05 qd_soft ~naval [75] 1 1
11 1 10 75 100.0 15.0 0.938 3.211 0.008 0.012 3.287 -3.42 0.05 qd_soft ~naval [75] 1 1
12 1 10 75 100.0 25.0 0.953 3.257 0.008 0.002 3.259 -3.42 0.05 qd_soft ~naval [75] 1 1
13 1 10 75 160.0 5.0 0.911 3.099 0.008 0.0 3.367 -3.384 0.05 qd_soft ~naval [75] 1 1
14 1 10 75 160.0 15.0 0.95 3.226 0.008 0.012 3.228 -3.422 0.05 qd_soft ~naval [75] 1 1
15 1 10 75 160.0 25.0 0.949 3.246 0.008 0.006 3.251 -3.421 0.05 qd_soft ~naval [75] 1 1
16 1 10 75 200.0 5.0 0.908 3.104 0.008 0.014 3.42 -3.4 0.05 qd_soft ~naval [75] 1 1
17 1 10 75 200.0 15.0 0.948 3.204 0.008 0.001 3.208 -3.409 0.05 qd_soft ~naval [75] 1 1
18 1 10 75 200.0 25.0 0.959 3.265 0.008 0.007 3.268 -3.425 0.05 qd_soft ~naval [75] 1 1
19 1 10 100 100.0 5.0 0.91 3.097 0.007 0.029 3.373 -3.412 0.05 qd_soft ~naval [100] 1 1
20 1 10 100 100.0 15.0 0.939 3.209 0.008 0.021 3.279 -3.423 0.05 qd_soft ~naval [100] 1 1
21 1 10 100 100.0 25.0 0.95 3.226 0.008 0.006 3.232 -3.414 0.05 qd_soft ~naval [100] 1 1
22 1 10 100 160.0 5.0 0.921 3.144 0.008 0.02 3.292 -3.413 0.05 qd_soft ~naval [100] 1 1
23 1 10 100 160.0 15.0 0.948 3.208 0.008 0.001 3.218 -3.405 0.05 qd_soft ~naval [100] 1 1
24 1 10 100 160.0 25.0 0.956 3.251 0.008 0.012 3.259 -3.422 0.05 qd_soft ~naval [100] 1 1
25 1 10 100 200.0 5.0 0.913 3.101 0.008 0.011 3.343 -3.395 0.05 qd_soft ~naval [100] 1 1
26 1 10 100 200.0 15.0 0.936 3.205 0.008 0.01 3.321 -3.413 0.05 qd_soft ~naval [100] 1 1
27 1 10 100 200.0 25.0 0.955 3.275 0.008 -0.0 3.282 -3.416 0.05 qd_soft ~naval [100] 1 1
28 1 20 50 100.0 5.0 0.907 3.109 0.007 0.028 3.434 -3.412 0.05 qd_soft ~naval [50] 1 1
29 1 20 50 100.0 15.0 0.942 3.22 0.008 0.006 3.254 -3.416 0.05 qd_soft ~naval [50] 1 1
30 1 20 50 100.0 25.0 0.963 3.274 0.008 0.012 3.28 -3.428 0.05 qd_soft ~naval [50] 1 1
31 1 20 50 160.0 5.0 0.92 3.13 0.008 -0.015 3.309 -3.37 0.05 qd_soft ~naval [50] 1 1
32 1 20 50 160.0 15.0 0.939 3.208 0.008 0.002 3.273 -3.413 0.05 qd_soft ~naval [50] 1 1
33 1 20 50 160.0 25.0 0.953 3.234 0.008 0.004 3.234 -3.419 0.05 qd_soft ~naval [50] 1 1
34 1 20 50 200.0 5.0 0.92 3.104 0.008 0.012 3.276 -3.397 0.05 qd_soft ~naval [50] 1 1
35 1 20 50 200.0 15.0 0.931 3.185 0.008 0.005 3.377 -3.404 0.05 qd_soft ~naval [50] 1 1
36 1 20 50 200.0 25.0 0.951 3.246 0.008 0.005 3.252 -3.419 0.05 qd_soft ~naval [50] 1 1
37 1 20 75 100.0 5.0 0.899 3.039 0.007 0.049 3.489 -3.414 0.05 qd_soft ~naval [75] 1 1
38 1 20 75 100.0 15.0 0.944 3.215 0.008 0.015 3.237 -3.422 0.05 qd_soft ~naval [75] 1 1
39 1 20 75 100.0 25.0 0.954 3.259 0.008 0.01 3.263 -3.425 0.05 qd_soft ~naval [75] 1 1
40 1 20 75 160.0 5.0 0.9 3.082 0.008 -0.002 3.522 -3.377 0.05 qd_soft ~naval [75] 1 1
41 1 20 75 160.0 15.0 0.94 3.214 0.008 -0.005 3.277 -3.401 0.05 qd_soft ~naval [75] 1 1
42 1 20 75 160.0 25.0 0.955 3.244 0.008 0.007 3.253 -3.417 0.05 qd_soft ~naval [75] 1 1
43 1 20 75 200.0 5.0 0.91 3.079 0.008 0.016 3.356 -3.397 0.05 qd_soft ~naval [75] 1 1
44 1 20 75 200.0 15.0 0.936 3.198 0.008 0.015 3.301 -3.416 0.05 qd_soft ~naval [75] 1 1
45 1 20 75 200.0 25.0 0.948 3.277 0.008 0.005 3.293 -3.418 0.05 qd_soft ~naval [75] 1 1
46 1 20 100 100.0 5.0 0.905 3.064 0.007 0.044 3.415 -3.416 0.05 qd_soft ~naval [100] 1 1
47 1 20 100 100.0 15.0 0.94 3.203 0.008 0.01 3.264 -3.413 0.05 qd_soft ~naval [100] 1 1
48 1 20 100 100.0 25.0 0.957 3.249 0.008 0.01 3.252 -3.424 0.05 qd_soft ~naval [100] 1 1
49 1 20 100 160.0 5.0 1.0 31.576 0.022 -7.038 31.576 -2.523 0.05 qd_soft ~naval [100] 1 1
50 1 20 100 160.0 15.0 1.0 22.049 0.009 -0.475 22.049 -2.716 0.05 qd_soft ~naval [100] 1 1
51 1 20 100 160.0 25.0 0.961 3.269 0.008 0.003 3.273 -3.42 0.05 qd_soft ~naval [100] 1 1
52 1 20 100 200.0 5.0 1.0 29.343 0.025 -10.136 29.343 -2.554 0.05 qd_soft ~naval [100] 1 1
53 1 20 100 200.0 15.0 1.0 30.164 0.023 -8.335 30.164 -2.547 0.05 qd_soft ~naval [100] 1 1
54 1 20 100 200.0 25.0 1.0 30.515 0.024 -8.819 30.515 -2.547 0.05 qd_soft ~naval [100] 1 1
