EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.935 0.797 4.217 0.941 0.832 2.891 0.05 qd_soft ~power [50] 1 1
2 1 10 50 100.0 15.0 0.955 0.87 4.255 0.94 0.871 2.874 0.05 qd_soft ~power [50] 1 1
3 1 10 50 100.0 25.0 0.957 0.903 4.27 0.939 0.903 2.865 0.05 qd_soft ~power [50] 1 1
4 1 10 50 160.0 5.0 0.935 0.805 4.219 0.941 0.84 2.891 0.05 qd_soft ~power [50] 1 1
5 1 10 50 160.0 15.0 0.954 0.872 4.252 0.94 0.873 2.878 0.05 qd_soft ~power [50] 1 1
6 1 10 50 160.0 25.0 0.957 0.901 4.287 0.939 0.902 2.876 0.05 qd_soft ~power [50] 1 1
7 1 10 50 200.0 5.0 0.934 0.799 4.217 0.941 0.839 2.898 0.05 qd_soft ~power [50] 1 1
8 1 10 50 200.0 15.0 0.953 0.872 4.245 0.94 0.874 2.877 0.05 qd_soft ~power [50] 1 1
9 1 10 50 200.0 25.0 0.96 0.893 4.259 0.94 0.894 2.866 0.05 qd_soft ~power [50] 1 1
10 1 10 75 100.0 5.0 0.939 0.795 4.206 0.941 0.813 2.891 0.05 qd_soft ~power [75] 1 1
11 1 10 75 100.0 15.0 0.95 0.866 4.232 0.94 0.868 2.87 0.05 qd_soft ~power [75] 1 1
12 1 10 75 100.0 25.0 0.956 0.893 4.237 0.94 0.893 2.861 0.05 qd_soft ~power [75] 1 1
13 1 10 75 160.0 5.0 0.931 0.798 4.223 0.941 0.857 2.899 0.05 qd_soft ~power [75] 1 1
14 1 10 75 160.0 15.0 0.953 0.866 4.248 0.94 0.868 2.874 0.05 qd_soft ~power [75] 1 1
15 1 10 75 160.0 25.0 0.955 0.909 4.289 0.939 0.911 2.87 0.05 qd_soft ~power [75] 1 1
16 1 10 75 200.0 5.0 0.939 0.801 4.195 0.941 0.82 2.882 0.05 qd_soft ~power [75] 1 1
17 1 10 75 200.0 15.0 0.952 0.859 4.232 0.94 0.86 2.875 0.05 qd_soft ~power [75] 1 1
18 1 10 75 200.0 25.0 0.956 0.901 4.26 0.94 0.901 2.86 0.05 qd_soft ~power [75] 1 1
19 1 10 100 100.0 5.0 0.936 0.792 4.206 0.941 0.823 2.895 0.05 qd_soft ~power [100] 1 1
20 1 10 100 100.0 15.0 0.95 0.86 4.222 0.941 0.861 2.869 0.05 qd_soft ~power [100] 1 1
21 1 10 100 100.0 25.0 0.955 0.884 4.239 0.94 0.886 2.862 0.05 qd_soft ~power [100] 1 1
22 1 10 100 160.0 5.0 0.933 0.793 4.2 0.941 0.838 2.893 0.05 qd_soft ~power [100] 1 1
23 1 10 100 160.0 15.0 0.954 0.868 4.238 0.94 0.87 2.869 0.05 qd_soft ~power [100] 1 1
