EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.902 2.218 5.215 0.275 3.0 3.641 0.05 qd_soft ~protein [50] 1 1
2 1 10 50 100.0 15.0 0.933 2.428 5.369 0.232 2.722 3.256 0.05 qd_soft ~protein [50] 1 1
3 1 10 50 100.0 25.0 0.942 2.537 5.508 0.191 2.649 3.247 0.05 qd_soft ~protein [50] 1 1
4 1 10 50 160.0 5.0 0.903 2.257 5.266 0.261 3.021 4.211 0.05 qd_soft ~protein [50] 1 1
5 1 10 50 160.0 15.0 0.929 2.451 5.397 0.224 2.901 3994.95 0.05 qd_soft ~protein [50] 1 1
6 1 10 50 160.0 25.0 0.944 2.582 5.564 0.175 2.653 3.248 0.05 qd_soft ~protein [50] 1 1
7 1 10 50 200.0 5.0 0.896 2.224 5.315 0.247 3.224 3.834 0.05 qd_soft ~protein [50] 1 1
8 1 10 50 200.0 15.0 0.932 2.517 5.523 0.187 2.869 3.259 0.05 qd_soft ~protein [50] 1 1
9 1 10 50 200.0 25.0 0.945 2.628 5.712 0.13 2.683 3.403 0.05 qd_soft ~protein [50] 1 1
10 1 10 75 100.0 5.0 0.905 2.195 5.173 0.287 2.896 3.765 0.05 qd_soft ~protein [75] 1 1
11 1 10 75 100.0 15.0 0.931 2.426 5.359 0.234 2.798 3.342 0.05 qd_soft ~protein [75] 1 1
12 1 10 75 100.0 25.0 0.941 2.503 5.41 0.22 2.639 3.324 0.05 qd_soft ~protein [75] 1 1
13 1 10 75 160.0 5.0 0.901 2.231 5.276 0.258 3.044 3.418 0.05 qd_soft ~protein [75] 1 1
14 1 10 75 160.0 15.0 0.93 2.411 5.342 0.239 2.835 4.249 0.05 qd_soft ~protein [75] 1 1
15 1 10 75 160.0 25.0 0.94 2.547 5.496 0.195 2.722 3.808 0.05 qd_soft ~protein [75] 1 1
16 1 10 75 200.0 5.0 0.902 2.244 5.242 0.267 3.024 4.838 0.05 qd_soft ~protein [75] 1 1
17 1 10 75 200.0 15.0 0.929 2.441 5.384 0.227 2.891 3.255 0.05 qd_soft ~protein [75] 1 1
18 1 10 75 200.0 25.0 0.941 2.579 5.591 0.167 2.734 3.258 0.05 qd_soft ~protein [75] 1 1
19 1 10 100 100.0 5.0 0.898 2.163 5.133 0.298 3.079 3.433 0.05 qd_soft ~protein [100] 1 1
20 1 10 100 100.0 15.0 0.934 2.388 5.32 0.245 2.675 4.262 0.05 qd_soft ~protein [100] 1 1
21 1 10 100 100.0 25.0 0.941 2.487 5.387 0.226 2.621 3.221 0.05 qd_soft ~protein [100] 1 1
22 1 10 100 160.0 5.0 0.9 2.216 5.203 0.278 3.086 11.015 0.05 qd_soft ~protein [100] 1 1
23 1 10 100 160.0 15.0 0.93 2.449 5.412 0.219 2.88 11.157 0.05 qd_soft ~protein [100] 1 1
24 1 10 100 160.0 25.0 0.94 2.496 5.416 0.218 2.685 3.272 0.05 qd_soft ~protein [100] 1 1
25 1 10 100 200.0 5.0 0.904 2.237 5.254 0.264 2.952 3.858 0.05 qd_soft ~protein [100] 1 1
26 1 10 100 200.0 15.0 0.932 2.472 5.401 0.222 2.808 3.291 0.05 qd_soft ~protein [100] 1 1
27 1 10 100 200.0 25.0 0.939 2.562 5.512 0.19 2.764 3.247 0.05 qd_soft ~protein [100] 1 1
28 1 20 50 100.0 5.0 0.905 2.236 5.253 0.264 2.923 3.719 0.05 qd_soft ~protein [50] 1 1
29 1 20 50 100.0 15.0 0.928 2.459 5.42 0.217 2.985 4.226 0.05 qd_soft ~protein [50] 1 1
30 1 20 50 100.0 25.0 0.942 2.541 5.48 0.199 2.642 8.901 0.05 qd_soft ~protein [50] 1 1
31 1 20 50 160.0 5.0 0.899 2.239 5.278 0.257 3.156 3.527 0.05 qd_soft ~protein [50] 1 1
32 1 20 50 160.0 15.0 0.929 2.474 5.406 0.221 2.933 3.388 0.05 qd_soft ~protein [50] 1 1
33 1 20 50 160.0 25.0 0.942 2.549 5.46 0.205 2.668 3.52 0.05 qd_soft ~protein [50] 1 1
34 1 20 50 200.0 5.0 0.898 2.241 5.295 0.253 3.175 3.644 0.05 qd_soft ~protein [50] 1 1
35 1 20 50 200.0 15.0 0.934 2.487 5.478 0.2 2.769 3.281 0.05 qd_soft ~protein [50] 1 1
36 1 20 50 200.0 25.0 0.94 2.587 5.59 0.167 2.775 3.261 0.05 qd_soft ~protein [50] 1 1
37 1 20 75 100.0 5.0 0.901 2.202 5.168 0.288 3.019 3.369 0.05 qd_soft ~protein [75] 1 1
38 1 20 75 100.0 15.0 0.932 2.415 5.321 0.245 2.755 6.493 0.05 qd_soft ~protein [75] 1 1
39 1 20 75 100.0 25.0 0.945 2.534 5.476 0.201 2.586 4.026 0.05 qd_soft ~protein [75] 1 1
40 1 20 75 160.0 5.0 0.903 2.232 5.239 0.268 2.988 28.468 0.05 qd_soft ~protein [75] 1 1
41 1 20 75 160.0 15.0 0.93 2.444 5.402 0.222 2.844 3.251 0.05 qd_soft ~protein [75] 1 1
42 1 20 75 160.0 25.0 0.941 2.55 5.539 0.182 2.68 3.255 0.05 qd_soft ~protein [75] 1 1
43 1 20 75 200.0 5.0 0.899 2.247 5.314 0.247 3.154 3.856 0.05 qd_soft ~protein [75] 1 1
44 1 20 75 200.0 15.0 0.935 2.51 5.496 0.195 2.738 4.321 0.05 qd_soft ~protein [75] 1 1
45 1 20 75 200.0 25.0 0.946 2.601 5.571 0.173 2.628 11.801 0.05 qd_soft ~protein [75] 1 1
46 1 20 100 100.0 5.0 0.901 2.192 5.192 0.281 3.018 3.866 0.05 qd_soft ~protein [100] 1 1
47 1 20 100 100.0 15.0 0.929 2.395 5.346 0.238 2.846 4.823 0.05 qd_soft ~protein [100] 1 1
48 1 20 100 100.0 25.0 0.941 2.498 5.414 0.219 2.639 3.895 0.05 qd_soft ~protein [100] 1 1
49 1 20 100 160.0 5.0 0.899 2.211 5.252 0.265 3.086 3.381 0.05 qd_soft ~protein [100] 1 1
50 1 20 100 160.0 15.0 0.932 2.443 5.427 0.215 2.795 4.614 0.05 qd_soft ~protein [100] 1 1
51 1 20 100 160.0 25.0 0.944 2.569 5.601 0.164 2.643 3.262 0.05 qd_soft ~protein [100] 1 1
52 1 20 100 200.0 5.0 0.902 2.224 5.255 0.264 3.011 3.893 0.05 qd_soft ~protein [100] 1 1
53 1 20 100 200.0 15.0 0.933 2.446 5.385 0.227 2.76 3.26 0.05 qd_soft ~protein [100] 1 1
54 1 20 100 200.0 25.0 0.946 2.565 5.573 0.172 2.591 3.266 0.05 qd_soft ~protein [100] 1 1
55 1 30 50 100.0 5.0 0.9 2.195 5.188 0.283 3.05 4.322 0.05 qd_soft ~protein [50] 1 1
56 1 30 50 100.0 15.0 0.934 2.443 5.336 0.241 2.724 3.228 0.05 qd_soft ~protein [50] 1 1
57 1 30 50 100.0 25.0 0.94 2.537 5.476 0.201 2.719 3.246 0.05 qd_soft ~protein [50] 1 1
58 1 30 50 160.0 5.0 0.901 2.237 5.244 0.267 3.057 3.352 0.05 qd_soft ~protein [50] 1 1
