EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.894 1.673 0.586 0.309 1.871 1.807 0.05 qd_soft ~wine [50] 1 1
2 1 10 50 100.0 15.0 0.925 2.036 0.558 0.373 2.165 1.134 0.05 qd_soft ~wine [50] 1 1
3 1 10 50 100.0 25.0 0.919 2.101 0.599 0.278 2.435 1.422 0.05 qd_soft ~wine [50] 1 1
4 1 10 50 160.0 5.0 0.894 1.724 0.582 0.319 1.934 2.455 0.05 qd_soft ~wine [50] 1 1
5 1 10 50 160.0 15.0 0.919 2.089 0.582 0.319 2.297 1.383 0.05 qd_soft ~wine [50] 1 1
6 1 10 50 160.0 25.0 0.919 2.173 0.591 0.296 2.512 2.395 0.05 qd_soft ~wine [50] 1 1
7 1 10 50 200.0 5.0 0.9 1.823 0.611 0.248 2.003 2.048 0.05 qd_soft ~wine [50] 1 1
8 1 10 50 200.0 15.0 0.925 2.151 0.604 0.267 2.279 1.341 0.05 qd_soft ~wine [50] 1 1
9 1 10 50 200.0 25.0 0.938 2.351 0.546 0.401 2.425 1.118 0.05 qd_soft ~wine [50] 1 1
10 1 10 75 100.0 5.0 0.906 1.697 0.578 0.328 1.835 1.721 0.05 qd_soft ~wine [75] 1 1
11 1 10 75 100.0 15.0 0.919 1.91 0.59 0.3 2.122 53.803 0.05 qd_soft ~wine [75] 1 1
12 1 10 75 100.0 25.0 0.938 2.02 0.613 0.243 2.09 1.762 0.05 qd_soft ~wine [75] 1 1
13 1 10 75 160.0 5.0 0.888 1.653 0.584 0.314 1.904 3.202 0.05 qd_soft ~wine [75] 1 1
14 1 10 75 160.0 15.0 0.919 2.083 0.551 0.388 2.291 1.11 0.05 qd_soft ~wine [75] 1 1
15 1 10 75 160.0 25.0 0.931 2.217 0.566 0.355 2.344 1.026 0.05 qd_soft ~wine [75] 1 1
16 1 10 75 200.0 5.0 0.906 1.792 0.581 0.32 1.931 1922.79 0.05 qd_soft ~wine [75] 1 1
17 1 10 75 200.0 15.0 0.931 2.13 0.612 0.247 2.23 3.491 0.05 qd_soft ~wine [75] 1 1
18 1 10 75 200.0 25.0 0.925 2.357 0.556 0.377 2.577 1.054 0.05 qd_soft ~wine [75] 1 1
19 1 10 100 100.0 5.0 0.894 1.633 0.588 0.305 1.845 1.911 0.05 qd_soft ~wine [100] 1 1
20 1 10 100 100.0 15.0 0.9 1.815 0.572 0.341 2.321 2.269 0.05 qd_soft ~wine [100] 1 1
21 1 10 100 100.0 25.0 0.944 2.148 0.58 0.324 2.181 1.577 0.05 qd_soft ~wine [100] 1 1
22 1 10 100 160.0 5.0 0.881 1.673 0.6 0.275 1.996 46.082 0.05 qd_soft ~wine [100] 1 1
23 1 10 100 160.0 15.0 0.919 1.966 0.561 0.367 2.161 2.056 0.05 qd_soft ~wine [100] 1 1
24 1 10 100 160.0 25.0 0.925 2.303 0.56 0.369 2.536 3.01 0.05 qd_soft ~wine [100] 1 1
25 1 10 100 200.0 5.0 0.888 1.822 0.596 0.284 2.099 48.595 0.05 qd_soft ~wine [100] 1 1
26 1 10 100 200.0 15.0 0.912 2.059 0.566 0.356 2.368 1.931 0.05 qd_soft ~wine [100] 1 1
27 1 10 100 200.0 25.0 0.919 2.375 0.556 0.378 2.735 1.138 0.05 qd_soft ~wine [100] 1 1
28 1 20 50 100.0 5.0 0.906 1.674 0.596 0.286 1.803 5.012 0.05 qd_soft ~wine [50] 1 1
