EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
1 1 10 50 100.0 5.0 0.935 0.26 0.894 0.995 0.278 1.157 0.05 qd_soft ~yacht [50] 1 1
2 1 10 50 100.0 15.0 0.968 0.397 1.962 0.978 0.411 1.572 0.05 qd_soft ~yacht [50] 1 1
3 1 10 50 100.0 25.0 0.871 1.339 3.432 0.932 2.322 2.834 0.05 qd_soft ~yacht [50] 1 1
4 1 10 50 160.0 5.0 0.871 0.266 1.884 0.98 0.41 1.371 0.05 qd_soft ~yacht [50] 1 1
5 1 10 50 160.0 15.0 1.0 0.86 3.108 0.944 0.86 2.175 0.05 qd_soft ~yacht [50] 1 1
6 1 10 50 160.0 25.0 0.903 0.898 3.351 0.935 1.216 2.423 0.05 qd_soft ~yacht [50] 1 1
7 1 10 50 200.0 5.0 0.903 0.388 1.926 0.979 0.453 1.619 0.05 qd_soft ~yacht [50] 1 1
8 1 10 50 200.0 15.0 0.935 0.649 3.543 0.928 0.651 2.409 0.05 qd_soft ~yacht [50] 1 1
9 1 10 50 200.0 25.0 0.871 0.762 3.353 0.935 1.658 2.738 0.05 qd_soft ~yacht [50] 1 1
10 1 10 75 100.0 5.0 1.0 0.401 1.24 0.991 0.401 1.396 0.05 qd_soft ~yacht [75] 1 1
11 1 10 75 100.0 15.0 1.0 0.93 1.773 0.982 0.93 2.233 0.05 qd_soft ~yacht [75] 1 1
12 1 10 75 100.0 25.0 0.903 0.502 2.518 0.964 0.807 2.069 0.05 qd_soft ~yacht [75] 1 1
13 1 10 75 160.0 5.0 0.968 0.304 1.388 0.989 0.3 1.304 0.05 qd_soft ~yacht [75] 1 1
14 1 10 75 160.0 15.0 0.839 0.588 3.114 0.944 1.662 2.451 0.05 qd_soft ~yacht [75] 1 1
15 1 10 75 160.0 25.0 0.839 0.921 4.086 0.904 2.717 2.76 0.05 qd_soft ~yacht [75] 1 1
16 1 10 75 200.0 5.0 1.0 0.53 2.044 0.976 0.53 1.928 0.05 qd_soft ~yacht [75] 1 1
17 1 10 75 200.0 15.0 0.871 0.726 3.454 0.931 1.285 2.54 0.05 qd_soft ~yacht [75] 1 1
18 1 10 75 200.0 25.0 0.903 0.862 3.762 0.919 1.158 2.562 0.05 qd_soft ~yacht [75] 1 1
19 1 10 100 100.0 5.0 0.774 0.199 1.385 0.989 1.03 1.371 0.05 qd_soft ~yacht [100] 1 1
20 1 10 100 100.0 15.0 1.0 0.503 1.746 0.982 0.503 1.691 0.05 qd_soft ~yacht [100] 1 1
21 1 10 100 100.0 25.0 1.0 0.926 2.311 0.969 0.926 2.323 0.05 qd_soft ~yacht [100] 1 1
22 1 10 100 160.0 5.0 1.0 18.284 11.686 0.215 18.283 5.113 0.05 qd_soft ~yacht [100] 1 1
23 1 10 100 160.0 15.0 0.871 0.586 2.698 0.958 1.105 2.354 0.05 qd_soft ~yacht [100] 1 1
24 1 10 100 160.0 25.0 0.935 0.66 2.942 0.95 0.697 2.103 0.05 qd_soft ~yacht [100] 1 1
25 1 10 100 200.0 5.0 0.968 0.331 1.987 0.977 0.319 1.416 0.05 qd_soft ~yacht [100] 1 1
26 1 10 100 200.0 15.0 0.903 0.693 3.337 0.936 0.896 2.403 0.05 qd_soft ~yacht [100] 1 1
27 1 10 100 200.0 25.0 1.0 0.976 3.569 0.927 0.976 2.352 0.05 qd_soft ~yacht [100] 1 1
28 1 20 50 100.0 5.0 0.903 0.237 1.034 0.994 0.307 1.383 0.05 qd_soft ~yacht [50] 1 1
29 1 20 50 100.0 15.0 0.935 0.383 1.48 0.987 0.415 1.82 0.05 qd_soft ~yacht [50] 1 1
30 1 20 50 100.0 25.0 0.935 0.563 2.549 0.963 0.597 2.175 0.05 qd_soft ~yacht [50] 1 1
31 1 20 50 160.0 5.0 0.968 0.44 1.434 0.988 0.44 1.831 0.05 qd_soft ~yacht [50] 1 1
