EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
1 concrete 1 10 5000 0.01 1 50 0.1 0 0.05 0.02171 0.96896 0.1761 0.03469 0.87634 0.17782 0.04926 0.87379 0.19249
2 concrete 1 10 5000 0.01 1 50 0.1 0.001 0.05 0.03126 0.96491 0.24758 0.03918 0.91935 0.24148 0.03928 0.95146 0.26241
3 concrete 1 10 5000 0.01 1 50 0.1 0.01 0.05 0.05329 0.96356 0.42334 0.05263 0.97312 0.41507 0.05482 0.98058 0.44386
4 concrete 1 10 5000 0.01 1 50 0.1 0.1 0.05 0.08757 0.93252 0.64509 0.08042 0.96774 0.64147 0.07847 0.96117 0.64693
5 concrete 1 10 5000 0.01 1 50 0.1 1 0.05 0.23108 0.60324 0.3879 0.171 0.71505 0.38743 0.16823 0.67961 0.38772
6 concrete 1 10 5000 0.01 1 50 0.25 0 0.05 0.02171 0.96896 0.1761 0.03469 0.87634 0.17782 0.04926 0.87379 0.19249
7 concrete 1 10 5000 0.01 1 50 0.25 0.001 0.05 0.03126 0.96491 0.24758 0.03918 0.91935 0.24148 0.03928 0.95146 0.26241
8 concrete 1 10 5000 0.01 1 50 0.25 0.01 0.05 0.05329 0.96356 0.42334 0.05263 0.97312 0.41507 0.05482 0.98058 0.44386
9 concrete 1 10 5000 0.01 1 50 0.25 0.1 0.05 0.08757 0.93252 0.64509 0.08042 0.96774 0.64147 0.07847 0.96117 0.64693
10 concrete 1 10 5000 0.01 1 50 0.25 1 0.05 0.23108 0.60324 0.3879 0.171 0.71505 0.38743 0.16823 0.67961 0.38772
11 concrete 1 10 5000 0.01 1 50 0.5 0 0.05 0.02171 0.96896 0.1761 0.03469 0.87634 0.17782 0.04926 0.87379 0.19249
12 concrete 1 10 5000 0.01 1 50 0.5 0.001 0.05 0.03126 0.96491 0.24758 0.03918 0.91935 0.24148 0.03928 0.95146 0.26241
13 concrete 1 10 5000 0.01 1 50 0.5 0.01 0.05 0.05329 0.96356 0.42334 0.05263 0.97312 0.41507 0.05482 0.98058 0.44386
14 concrete 1 10 5000 0.01 1 50 0.5 0.1 0.05 0.08757 0.93252 0.64509 0.08042 0.96774 0.64147 0.07847 0.96117 0.64693
15 concrete 1 10 5000 0.01 1 50 0.5 1 0.05 0.23108 0.60324 0.3879 0.171 0.71505 0.38743 0.16823 0.67961 0.38772
16 concrete 1 10 5000 0.01 1 50 0.75 0 0.05 0.02171 0.96896 0.1761 0.03469 0.87634 0.17782 0.04926 0.87379 0.19249
17 concrete 1 10 5000 0.01 1 50 0.75 0.001 0.05 0.03126 0.96491 0.24758 0.03918 0.91935 0.24148 0.03928 0.95146 0.26241
18 concrete 1 10 5000 0.01 1 50 0.75 0.01 0.05 0.05329 0.96356 0.42334 0.05263 0.97312 0.41507 0.05482 0.98058 0.44386
19 concrete 1 10 5000 0.01 1 50 0.75 0.1 0.05 0.08757 0.93252 0.64509 0.08042 0.96774 0.64147 0.07847 0.96117 0.64693
20 concrete 1 10 5000 0.01 1 50 0.75 1 0.05 0.23108 0.60324 0.3879 0.171 0.71505 0.38743 0.16823 0.67961 0.38772
21 concrete 1 10 5000 0.001 1 50 0.1 0 0.05 0.01936 0.83671 0.12922 0.07404 0.65054 0.1348 0.07704 0.67961 0.14342
22 concrete 1 10 5000 0.001 1 50 0.1 0.001 0.05 0.025 0.97031 0.2104 0.03905 0.89247 0.20685 0.04984 0.86408 0.22925
23 concrete 1 10 5000 0.001 1 50 0.1 0.01 0.05 0.04686 0.96356 0.36469 0.04913 0.95699 0.35668 0.04859 0.94175 0.38432
24 concrete 1 10 5000 0.001 1 50 0.1 0.1 0.05 0.08852 0.91903 0.62883 0.07999 0.95699 0.62571 0.07827 0.94175 0.63052
25 concrete 1 10 5000 0.001 1 50 0.1 1 0.05 0.22465 0.60864 0.39631 0.1657 0.72043 0.39597 0.16949 0.68932 0.39618
26 concrete 1 10 5000 0.001 1 50 0.25 0 0.05 0.01936 0.83671 0.12922 0.07404 0.65054 0.1348 0.07704 0.67961 0.14342
27 concrete 1 10 5000 0.001 1 50 0.25 0.001 0.05 0.025 0.97031 0.2104 0.03905 0.89247 0.20685 0.04984 0.86408 0.22925
28 concrete 1 10 5000 0.001 1 50 0.25 0.01 0.05 0.04686 0.96356 0.36469 0.04913 0.95699 0.35668 0.04859 0.94175 0.38432
29 concrete 1 10 5000 0.001 1 50 0.25 0.1 0.05 0.08852 0.91903 0.62883 0.07999 0.95699 0.62571 0.07827 0.94175 0.63052
30 concrete 1 10 5000 0.001 1 50 0.25 1 0.05 0.22465 0.60864 0.39631 0.1657 0.72043 0.39597 0.16949 0.68932 0.39618
31 concrete 1 10 5000 0.001 1 50 0.5 0 0.05 0.01936 0.83671 0.12922 0.07404 0.65054 0.1348 0.07704 0.67961 0.14342
32 concrete 1 10 5000 0.001 1 50 0.5 0.001 0.05 0.025 0.97031 0.2104 0.03905 0.89247 0.20685 0.04984 0.86408 0.22925
33 concrete 1 10 5000 0.001 1 50 0.5 0.01 0.05 0.04686 0.96356 0.36469 0.04913 0.95699 0.35668 0.04859 0.94175 0.38432
34 concrete 1 10 5000 0.001 1 50 0.5 0.1 0.05 0.08852 0.91903 0.62883 0.07999 0.95699 0.62571 0.07827 0.94175 0.63052
35 concrete 1 10 5000 0.001 1 50 0.5 1 0.05 0.22465 0.60864 0.39631 0.1657 0.72043 0.39597 0.16949 0.68932 0.39618
36 concrete 1 10 5000 0.001 1 50 0.75 0 0.05 0.01936 0.83671 0.12922 0.07404 0.65054 0.1348 0.07704 0.67961 0.14342
37 concrete 1 10 5000 0.001 1 50 0.75 0.001 0.05 0.025 0.97031 0.2104 0.03905 0.89247 0.20685 0.04984 0.86408 0.22925
38 concrete 1 10 5000 0.001 1 50 0.75 0.01 0.05 0.04686 0.96356 0.36469 0.04913 0.95699 0.35668 0.04859 0.94175 0.38432
39 concrete 1 10 5000 0.001 1 50 0.75 0.1 0.05 0.08852 0.91903 0.62883 0.07999 0.95699 0.62571 0.07827 0.94175 0.63052
40 concrete 1 10 5000 0.001 1 50 0.75 1 0.05 0.22465 0.60864 0.39631 0.1657 0.72043 0.39597 0.16949 0.68932 0.39618
41 concrete 1 10 5000 0.0001 1 50 0.1 0 0.05 0.02595 0.95951 0.22145 0.04053 0.87634 0.21351 0.04655 0.92233 0.24505
42 concrete 1 10 5000 0.0001 1 50 0.1 0.001 0.05 0.0294 0.97571 0.24112 0.03883 0.89247 0.23488 0.04719 0.90291 0.26258
43 concrete 1 10 5000 0.0001 1 50 0.1 0.01 0.05 0.04756 0.95277 0.36448 0.04879 0.96237 0.35693 0.04857 0.96117 0.3817
44 concrete 1 10 5000 0.0001 1 50 0.1 0.1 0.05 0.08839 0.92173 0.62952 0.08006 0.95699 0.62637 0.07846 0.95146 0.6311
45 concrete 1 10 5000 0.0001 1 50 0.1 1 0.05 0.22266 0.61269 0.39845 0.16441 0.72581 0.39818 0.16948 0.68932 0.39826
46 concrete 1 10 5000 0.0001 1 50 0.25 0 0.05 0.02595 0.95951 0.22145 0.04053 0.87634 0.21351 0.04655 0.92233 0.24505
47 concrete 1 10 5000 0.0001 1 50 0.25 0.001 0.05 0.0294 0.97571 0.24112 0.03883 0.89247 0.23488 0.04719 0.90291 0.26258
48 concrete 1 10 5000 0.0001 1 50 0.25 0.01 0.05 0.04756 0.95277 0.36448 0.04879 0.96237 0.35693 0.04857 0.96117 0.3817
