EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
1 energy 1 10 5000 0.01 1 50 0.1 0 0.05 0.00903 0.97101 0.08987 0.01081 0.94964 0.09114 0.01126 0.93506 0.09757
2 energy 1 10 5000 0.01 1 50 0.1 0.001 0.05 0.01197 0.9837 0.12115 0.01308 0.94245 0.12092 0.01914 0.92208 0.13516
3 energy 1 10 5000 0.01 1 50 0.1 0.01 0.05 0.0178 0.93841 0.16484 0.01808 0.92086 0.16474 0.02416 0.88312 0.17733
4 energy 1 10 5000 0.01 1 50 0.1 0.1 0.05 0.0606 0.91304 0.5243 0.0578 0.91367 0.52287 0.07358 0.88312 0.52703
5 energy 1 10 5000 0.01 1 50 0.1 1 0.05 0.13168 0.61775 0.46812 0.10936 0.71223 0.46724 0.1627 0.63636 0.4687
6 energy 1 10 5000 0.01 1 50 0.25 0 0.05 0.00903 0.97101 0.08987 0.01081 0.94964 0.09114 0.01126 0.93506 0.09757
7 energy 1 10 5000 0.01 1 50 0.25 0.001 0.05 0.01197 0.9837 0.12115 0.01308 0.94245 0.12092 0.01914 0.92208 0.13516
8 energy 1 10 5000 0.01 1 50 0.25 0.01 0.05 0.0178 0.93841 0.16484 0.01808 0.92086 0.16474 0.02416 0.88312 0.17733
9 energy 1 10 5000 0.01 1 50 0.25 0.1 0.05 0.0606 0.91304 0.5243 0.0578 0.91367 0.52287 0.07358 0.88312 0.52703
10 energy 1 10 5000 0.01 1 50 0.25 1 0.05 0.13168 0.61775 0.46812 0.10936 0.71223 0.46724 0.1627 0.63636 0.4687
11 energy 1 10 5000 0.01 1 50 0.5 0 0.05 0.00903 0.97101 0.08987 0.01081 0.94964 0.09114 0.01126 0.93506 0.09757
12 energy 1 10 5000 0.01 1 50 0.5 0.001 0.05 0.01197 0.9837 0.12115 0.01308 0.94245 0.12092 0.01914 0.92208 0.13516
13 energy 1 10 5000 0.01 1 50 0.5 0.01 0.05 0.0178 0.93841 0.16484 0.01808 0.92086 0.16474 0.02416 0.88312 0.17733
14 energy 1 10 5000 0.01 1 50 0.5 0.1 0.05 0.0606 0.91304 0.5243 0.0578 0.91367 0.52287 0.07358 0.88312 0.52703
15 energy 1 10 5000 0.01 1 50 0.5 1 0.05 0.13168 0.61775 0.46812 0.10936 0.71223 0.46724 0.1627 0.63636 0.4687
16 energy 1 10 5000 0.01 1 50 0.75 0 0.05 0.00903 0.97101 0.08987 0.01081 0.94964 0.09114 0.01126 0.93506 0.09757
17 energy 1 10 5000 0.01 1 50 0.75 0.001 0.05 0.01197 0.9837 0.12115 0.01308 0.94245 0.12092 0.01914 0.92208 0.13516
18 energy 1 10 5000 0.01 1 50 0.75 0.01 0.05 0.0178 0.93841 0.16484 0.01808 0.92086 0.16474 0.02416 0.88312 0.17733
19 energy 1 10 5000 0.01 1 50 0.75 0.1 0.05 0.0606 0.91304 0.5243 0.0578 0.91367 0.52287 0.07358 0.88312 0.52703
20 energy 1 10 5000 0.01 1 50 0.75 1 0.05 0.13168 0.61775 0.46812 0.10936 0.71223 0.46724 0.1627 0.63636 0.4687
21 energy 1 10 5000 0.001 1 50 0.1 0 0.05 0.00712 0.94746 0.07129 0.016 0.7554 0.06959 0.03079 0.58442 0.08078
22 energy 1 10 5000 0.001 1 50 0.1 0.001 0.05 0.00911 0.98732 0.09343 0.01341 0.84892 0.09295 0.01703 0.85714 0.11144
23 energy 1 10 5000 0.001 1 50 0.1 0.01 0.05 0.01432 0.97464 0.14427 0.01451 0.95683 0.14311 0.0192 0.94805 0.15765
24 energy 1 10 5000 0.001 1 50 0.1 0.1 0.05 0.05975 0.9221 0.51859 0.05591 0.94245 0.51694 0.07457 0.87013 0.521
25 energy 1 10 5000 0.001 1 50 0.1 1 0.05 0.13667 0.66304 0.46143 0.11272 0.71223 0.46072 0.17425 0.66234 0.46162
26 energy 1 10 5000 0.001 1 50 0.25 0 0.05 0.00712 0.94746 0.07129 0.016 0.7554 0.06959 0.03079 0.58442 0.08078
27 energy 1 10 5000 0.001 1 50 0.25 0.001 0.05 0.00911 0.98732 0.09343 0.01341 0.84892 0.09295 0.01703 0.85714 0.11144
28 energy 1 10 5000 0.001 1 50 0.25 0.01 0.05 0.01432 0.97464 0.14427 0.01451 0.95683 0.14311 0.0192 0.94805 0.15765
29 energy 1 10 5000 0.001 1 50 0.25 0.1 0.05 0.05975 0.9221 0.51859 0.05591 0.94245 0.51694 0.07457 0.87013 0.521
30 energy 1 10 5000 0.001 1 50 0.25 1 0.05 0.13667 0.66304 0.46143 0.11272 0.71223 0.46072 0.17425 0.66234 0.46162
31 energy 1 10 5000 0.001 1 50 0.5 0 0.05 0.00712 0.94746 0.07129 0.016 0.7554 0.06959 0.03079 0.58442 0.08078
32 energy 1 10 5000 0.001 1 50 0.5 0.001 0.05 0.00911 0.98732 0.09343 0.01341 0.84892 0.09295 0.01703 0.85714 0.11144
33 energy 1 10 5000 0.001 1 50 0.5 0.01 0.05 0.01432 0.97464 0.14427 0.01451 0.95683 0.14311 0.0192 0.94805 0.15765
34 energy 1 10 5000 0.001 1 50 0.5 0.1 0.05 0.05975 0.9221 0.51859 0.05591 0.94245 0.51694 0.07457 0.87013 0.521
35 energy 1 10 5000 0.001 1 50 0.5 1 0.05 0.13667 0.66304 0.46143 0.11272 0.71223 0.46072 0.17425 0.66234 0.46162
36 energy 1 10 5000 0.001 1 50 0.75 0 0.05 0.00712 0.94746 0.07129 0.016 0.7554 0.06959 0.03079 0.58442 0.08078
37 energy 1 10 5000 0.001 1 50 0.75 0.001 0.05 0.00911 0.98732 0.09343 0.01341 0.84892 0.09295 0.01703 0.85714 0.11144
38 energy 1 10 5000 0.001 1 50 0.75 0.01 0.05 0.01432 0.97464 0.14427 0.01451 0.95683 0.14311 0.0192 0.94805 0.15765
39 energy 1 10 5000 0.001 1 50 0.75 0.1 0.05 0.05975 0.9221 0.51859 0.05591 0.94245 0.51694 0.07457 0.87013 0.521
40 energy 1 10 5000 0.001 1 50 0.75 1 0.05 0.13667 0.66304 0.46143 0.11272 0.71223 0.46072 0.17425 0.66234 0.46162
41 energy 1 10 5000 0.0001 1 50 0.1 0 0.05 0.00945 0.97101 0.09696 0.01391 0.84173 0.097 0.01969 0.80519 0.11822
42 energy 1 10 5000 0.0001 1 50 0.1 0.001 0.05 0.00991 0.93478 0.09894 0.01408 0.84173 0.09907 0.01999 0.83117 0.11829
43 energy 1 10 5000 0.0001 1 50 0.1 0.01 0.05 0.01401 0.94022 0.13872 0.01457 0.90647 0.13664 0.02006 0.92208 0.15159
44 energy 1 10 5000 0.0001 1 50 0.1 0.1 0.05 0.05935 0.93116 0.51998 0.05569 0.94245 0.51819 0.07376 0.87013 0.52221
45 energy 1 10 5000 0.0001 1 50 0.1 1 0.05 0.13772 0.63587 0.45978 0.11373 0.70504 0.45904 0.1731 0.64935 0.45999
46 energy 1 10 5000 0.0001 1 50 0.25 0 0.05 0.00945 0.97101 0.09696 0.01391 0.84173 0.097 0.01969 0.80519 0.11822
47 energy 1 10 5000 0.0001 1 50 0.25 0.001 0.05 0.00991 0.93478 0.09894 0.01408 0.84173 0.09907 0.01999 0.83117 0.11829
48 energy 1 10 5000 0.0001 1 50 0.25 0.01 0.05 0.01401 0.94022 0.13872 0.01457 0.90647 0.13664 0.02006 0.92208 0.15159
49 energy 1 10 5000 0.0001 1 50 0.25 0.1 0.05 0.05935 0.93116 0.51998 0.05569 0.94245 0.51819 0.07376 0.87013 0.52221
50 energy 1 10 5000 0.0001 1 50 0.25 1 0.05 0.13772 0.63587 0.45978 0.11373 0.70504 0.45904 0.1731 0.64935 0.45999
51 energy 1 10 5000 0.0001 1 50 0.5 0 0.05 0.00945 0.97101 0.09696 0.01391 0.84173 0.097 0.01969 0.80519 0.11822
52 energy 1 10 5000 0.0001 1 50 0.5 0.001 0.05 0.00991 0.93478 0.09894 0.01408 0.84173 0.09907 0.01999 0.83117 0.11829
53 energy 1 10 5000 0.0001 1 50 0.5 0.01 0.05 0.01401 0.94022 0.13872 0.01457 0.90647 0.13664 0.02006 0.92208 0.15159
54 energy 1 10 5000 0.0001 1 50 0.5 0.1 0.05 0.05935 0.93116 0.51998 0.05569 0.94245 0.51819 0.07376 0.87013 0.52221
55 energy 1 10 5000 0.0001 1 50 0.5 1 0.05 0.13772 0.63587 0.45978 0.11373 0.70504 0.45904 0.1731 0.64935 0.45999
56 energy 1 10 5000 0.0001 1 50 0.75 0 0.05 0.00945 0.97101 0.09696 0.01391 0.84173 0.097 0.01969 0.80519 0.11822
57 energy 1 10 5000 0.0001 1 50 0.75 0.001 0.05 0.00991 0.93478 0.09894 0.01408 0.84173 0.09907 0.01999 0.83117 0.11829
58 energy 1 10 5000 0.0001 1 50 0.75 0.01 0.05 0.01401 0.94022 0.13872 0.01457 0.90647 0.13664 0.02006 0.92208 0.15159
59 energy 1 10 5000 0.0001 1 50 0.75 0.1 0.05 0.05935 0.93116 0.51998 0.05569 0.94245 0.51819 0.07376 0.87013 0.52221
60 energy 1 10 5000 0.0001 1 50 0.75 1 0.05 0.13772 0.63587 0.45978 0.11373 0.70504 0.45904 0.1731 0.64935 0.45999
61 energy 1 10 5000 0.01 1 75 0.1 0 0.05 0.00903 0.9837 0.09071 0.01086 0.94964 0.09265 0.01365 0.96104 0.09834
62 energy 1 10 5000 0.01 1 75 0.1 0.001 0.05 0.01243 0.97283 0.12233 0.01378 0.94245 0.12229 0.01434 0.96104 0.13936
63 energy 1 10 5000 0.01 1 75 0.1 0.01 0.05 0.01837 0.95833 0.16492 0.01799 0.95683 0.1649 0.02901 0.8961 0.17693
64 energy 1 10 5000 0.01 1 75 0.1 0.1 0.05 0.06007 0.94746 0.52222 0.05544 0.95683 0.52031 0.07551 0.93506 0.52434
65 energy 1 10 5000 0.01 1 75 0.1 1 0.05 0.13291 0.61957 0.46727 0.11006 0.70504 0.46663 0.16426 0.63636 0.46788
66 energy 1 10 5000 0.01 1 75 0.25 0 0.05 0.00903 0.9837 0.09071 0.01086 0.94964 0.09265 0.01365 0.96104 0.09834
67 energy 1 10 5000 0.01 1 75 0.25 0.001 0.05 0.01243 0.97283 0.12233 0.01378 0.94245 0.12229 0.01434 0.96104 0.13936
68 energy 1 10 5000 0.01 1 75 0.25 0.01 0.05 0.01837 0.95833 0.16492 0.01799 0.95683 0.1649 0.02901 0.8961 0.17693
69 energy 1 10 5000 0.01 1 75 0.25 0.1 0.05 0.06007 0.94746 0.52222 0.05544 0.95683 0.52031 0.07551 0.93506 0.52434
70 energy 1 10 5000 0.01 1 75 0.25 1 0.05 0.13291 0.61957 0.46727 0.11006 0.70504 0.46663 0.16426 0.63636 0.46788
71 energy 1 10 5000 0.01 1 75 0.5 0 0.05 0.00903 0.9837 0.09071 0.01086 0.94964 0.09265 0.01365 0.96104 0.09834
72 energy 1 10 5000 0.01 1 75 0.5 0.001 0.05 0.01243 0.97283 0.12233 0.01378 0.94245 0.12229 0.01434 0.96104 0.13936
73 energy 1 10 5000 0.01 1 75 0.5 0.01 0.05 0.01837 0.95833 0.16492 0.01799 0.95683 0.1649 0.02901 0.8961 0.17693
74 energy 1 10 5000 0.01 1 75 0.5 0.1 0.05 0.06007 0.94746 0.52222 0.05544 0.95683 0.52031 0.07551 0.93506 0.52434
75 energy 1 10 5000 0.01 1 75 0.5 1 0.05 0.13291 0.61957 0.46727 0.11006 0.70504 0.46663 0.16426 0.63636 0.46788
76 energy 1 10 5000 0.01 1 75 0.75 0 0.05 0.00903 0.9837 0.09071 0.01086 0.94964 0.09265 0.01365 0.96104 0.09834
77 energy 1 10 5000 0.01 1 75 0.75 0.001 0.05 0.01243 0.97283 0.12233 0.01378 0.94245 0.12229 0.01434 0.96104 0.13936
78 energy 1 10 5000 0.01 1 75 0.75 0.01 0.05 0.01837 0.95833 0.16492 0.01799 0.95683 0.1649 0.02901 0.8961 0.17693
79 energy 1 10 5000 0.01 1 75 0.75 0.1 0.05 0.06007 0.94746 0.52222 0.05544 0.95683 0.52031 0.07551 0.93506 0.52434
80 energy 1 10 5000 0.01 1 75 0.75 1 0.05 0.13291 0.61957 0.46727 0.11006 0.70504 0.46663 0.16426 0.63636 0.46788
81 energy 1 10 5000 0.001 1 75 0.1 0 0.05 0.00643 0.91848 0.06096 0.01817 0.71223 0.06052 0.02671 0.61039 0.0721
82 energy 1 10 5000 0.001 1 75 0.1 0.001 0.05 0.00871 0.93841 0.08695 0.01349 0.82734 0.08523 0.02182 0.76623 0.10234
83 energy 1 10 5000 0.001 1 75 0.1 0.01 0.05 0.01434 0.96014 0.14112 0.0146 0.90647 0.13988 0.02085 0.90909 0.15468
84 energy 1 10 5000 0.001 1 75 0.1 0.1 0.05 0.05965 0.92572 0.51975 0.05588 0.94245 0.51772 0.07428 0.87013 0.52173
85 energy 1 10 5000 0.001 1 75 0.1 1 0.05 0.13346 0.6558 0.46419 0.11022 0.72662 0.46344 0.16806 0.64935 0.4644
86 energy 1 10 5000 0.001 1 75 0.25 0 0.05 0.00643 0.91848 0.06096 0.01817 0.71223 0.06052 0.02671 0.61039 0.0721
87 energy 1 10 5000 0.001 1 75 0.25 0.001 0.05 0.00871 0.93841 0.08695 0.01349 0.82734 0.08523 0.02182 0.76623 0.10234
88 energy 1 10 5000 0.001 1 75 0.25 0.01 0.05 0.01434 0.96014 0.14112 0.0146 0.90647 0.13988 0.02085 0.90909 0.15468
89 energy 1 10 5000 0.001 1 75 0.25 0.1 0.05 0.05965 0.92572 0.51975 0.05588 0.94245 0.51772 0.07428 0.87013 0.52173
90 energy 1 10 5000 0.001 1 75 0.25 1 0.05 0.13346 0.6558 0.46419 0.11022 0.72662 0.46344 0.16806 0.64935 0.4644
91 energy 1 10 5000 0.001 1 75 0.5 0 0.05 0.00643 0.91848 0.06096 0.01817 0.71223 0.06052 0.02671 0.61039 0.0721
