EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
1 kin8nm 1 10 5000 0.01 1 50 0.1 0 0.05 0.03337 0.95744 0.21984 0.03806 0.94576 0.21843 0.03686 0.93049 0.21764
2 kin8nm 1 10 5000 0.01 1 50 0.1 0.001 0.05 0.05598 0.90995 0.31539 0.05941 0.90102 0.31082 0.05793 0.89268 0.31459
3 kin8nm 1 10 5000 0.01 1 50 0.1 0.01 0.05 0.07966 0.93098 0.49707 0.07848 0.93831 0.50049 0.08006 0.93293 0.49681
4 kin8nm 1 10 5000 0.01 1 50 0.1 0.1 0.05 0.0991 0.91742 0.58569 0.0954 0.92746 0.58612 0.09914 0.91707 0.58575
5 kin8nm 1 10 5000 0.01 1 50 0.1 1 0.05 0.2448 0.59742 0.33118 0.22828 0.61085 0.33114 0.2411 0.59268 0.33121
6 kin8nm 1 10 5000 0.01 1 50 0.25 0 0.05 0.03337 0.95744 0.21984 0.03806 0.94576 0.21843 0.03686 0.93049 0.21764
7 kin8nm 1 10 5000 0.01 1 50 0.25 0.001 0.05 0.05598 0.90995 0.31539 0.05941 0.90102 0.31082 0.05793 0.89268 0.31459
8 kin8nm 1 10 5000 0.01 1 50 0.25 0.01 0.05 0.07966 0.93098 0.49707 0.07848 0.93831 0.50049 0.08006 0.93293 0.49681
9 kin8nm 1 10 5000 0.01 1 50 0.25 0.1 0.05 0.0991 0.91742 0.58569 0.0954 0.92746 0.58612 0.09914 0.91707 0.58575
10 kin8nm 1 10 5000 0.01 1 50 0.25 1 0.05 0.2448 0.59742 0.33118 0.22828 0.61085 0.33114 0.2411 0.59268 0.33121
11 kin8nm 1 10 5000 0.01 1 50 0.5 0 0.05 0.03337 0.95744 0.21984 0.03806 0.94576 0.21843 0.03686 0.93049 0.21764
12 kin8nm 1 10 5000 0.01 1 50 0.5 0.001 0.05 0.05598 0.90995 0.31539 0.05941 0.90102 0.31082 0.05793 0.89268 0.31459
13 kin8nm 1 10 5000 0.01 1 50 0.5 0.01 0.05 0.07966 0.93098 0.49707 0.07848 0.93831 0.50049 0.08006 0.93293 0.49681
14 kin8nm 1 10 5000 0.01 1 50 0.5 0.1 0.05 0.0991 0.91742 0.58569 0.0954 0.92746 0.58612 0.09914 0.91707 0.58575
15 kin8nm 1 10 5000 0.01 1 50 0.5 1 0.05 0.2448 0.59742 0.33118 0.22828 0.61085 0.33114 0.2411 0.59268 0.33121
16 kin8nm 1 10 5000 0.01 1 50 0.75 0 0.05 0.03337 0.95744 0.21984 0.03806 0.94576 0.21843 0.03686 0.93049 0.21764
17 kin8nm 1 10 5000 0.01 1 50 0.75 0.001 0.05 0.05598 0.90995 0.31539 0.05941 0.90102 0.31082 0.05793 0.89268 0.31459
18 kin8nm 1 10 5000 0.01 1 50 0.75 0.01 0.05 0.07966 0.93098 0.49707 0.07848 0.93831 0.50049 0.08006 0.93293 0.49681
19 kin8nm 1 10 5000 0.01 1 50 0.75 0.1 0.05 0.0991 0.91742 0.58569 0.0954 0.92746 0.58612 0.09914 0.91707 0.58575
20 kin8nm 1 10 5000 0.01 1 50 0.75 1 0.05 0.2448 0.59742 0.33118 0.22828 0.61085 0.33114 0.2411 0.59268 0.33121
21 kin8nm 1 10 5000 0.001 1 50 0.1 0 0.05 0.02892 0.90436 0.17723 0.0406 0.86102 0.17598 0.04376 0.86585 0.17802
22 kin8nm 1 10 5000 0.001 1 50 0.1 0.001 0.05 0.03927 0.95913 0.26203 0.04374 0.9322 0.26031 0.04558 0.91829 0.26392
23 kin8nm 1 10 5000 0.001 1 50 0.1 0.01 0.05 0.07388 0.95099 0.48528 0.07319 0.95593 0.4871 0.07528 0.94512 0.4836
24 kin8nm 1 10 5000 0.001 1 50 0.1 0.1 0.05 0.09785 0.92471 0.59431 0.09413 0.93763 0.59464 0.0979 0.93049 0.59458
25 kin8nm 1 10 5000 0.001 1 50 0.1 1 0.05 0.23401 0.61642 0.34132 0.21791 0.63051 0.34129 0.23001 0.61463 0.34123
26 kin8nm 1 10 5000 0.001 1 50 0.25 0 0.05 0.02892 0.90436 0.17723 0.0406 0.86102 0.17598 0.04376 0.86585 0.17802
27 kin8nm 1 10 5000 0.001 1 50 0.25 0.001 0.05 0.03927 0.95913 0.26203 0.04374 0.9322 0.26031 0.04558 0.91829 0.26392
28 kin8nm 1 10 5000 0.001 1 50 0.25 0.01 0.05 0.07388 0.95099 0.48528 0.07319 0.95593 0.4871 0.07528 0.94512 0.4836
201 kin8nm 1 20 5000 0.001 1 50 0.1 0 0.05 0.02918 0.97982 0.20815 0.04059 0.89356 0.20775 0.03738 0.91463 0.21041
29 kin8nm 1 10 5000 0.001 1 50 0.25 0.1 0.05 0.09785 0.92471 0.59431 0.09413 0.93763 0.59464 0.0979 0.93049 0.59458
202 kin8nm 1 20 5000 0.001 1 50 0.1 0.001 0.05 0.04153 0.98321 0.29218 0.04491 0.96678 0.29027 0.04435 0.96463 0.29527
30 kin8nm 1 10 5000 0.001 1 50 0.25 1 0.05 0.23401 0.61642 0.34132 0.21791 0.63051 0.34129 0.23001 0.61463 0.34123
203 kin8nm 1 20 5000 0.001 1 50 0.1 0.01 0.05 0.07472 0.93641 0.46494 0.07712 0.93898 0.47261 0.07758 0.93415 0.46432
31 kin8nm 1 10 5000 0.001 1 50 0.5 0 0.05 0.02892 0.90436 0.17723 0.0406 0.86102 0.17598 0.04376 0.86585 0.17802
204 kin8nm 1 20 5000 0.001 1 50 0.1 0.1 0.05 0.10034 0.91165 0.57226 0.10315 0.90508 0.57475 0.10193 0.89878 0.57289
32 kin8nm 1 10 5000 0.001 1 50 0.5 0.001 0.05 0.03927 0.95913 0.26203 0.04374 0.9322 0.26031 0.04558 0.91829 0.26392
205 kin8nm 1 20 5000 0.001 1 50 0.1 1 0.05 0.24273 0.60607 0.3287 0.26 0.58305 0.32896 0.24545 0.60244 0.32865
33 kin8nm 1 10 5000 0.001 1 50 0.5 0.01 0.05 0.07388 0.95099 0.48528 0.07319 0.95593 0.4871 0.07528 0.94512 0.4836
206 kin8nm 1 20 5000 0.001 1 50 0.25 0 0.05 0.02918 0.97982 0.20815 0.04059 0.89356 0.20775 0.03738 0.91463 0.21041
34 kin8nm 1 10 5000 0.001 1 50 0.5 0.1 0.05 0.09785 0.92471 0.59431 0.09413 0.93763 0.59464 0.0979 0.93049 0.59458
207 kin8nm 1 20 5000 0.001 1 50 0.25 0.001 0.05 0.04153 0.98321 0.29218 0.04491 0.96678 0.29027 0.04435 0.96463 0.29527
