EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
1 naval 1 10 5000 0.01 1 50 0.1 0 0.05 0.01229 0.99953 0.14731 0.01235 0.99953 0.14814 0.01226 0.99916 0.14686
2 naval 1 10 5000 0.01 1 50 0.1 0.001 0.05 0.0856 0.95903 0.99543 0.08532 0.9567 0.99537 0.08595 0.95142 0.9964
3 naval 1 10 5000 0.01 1 50 0.1 0.01 0.05 0.0868 0.9638 1.00826 0.08651 0.96415 1.0082 0.08692 0.9598 1.00928
4 naval 1 10 5000 0.01 1 50 0.1 0.1 0.05 0.08515 0.91841 0.95625 0.08525 0.91993 0.95624 0.08625 0.90955 0.9562
5 naval 1 10 5000 0.01 1 50 0.1 1 0.05 0.19566 0.58275 0.61682 0.19398 0.58566 0.6168 0.20369 0.57286 0.61734
6 naval 1 10 5000 0.01 1 50 0.25 0 0.05 0.01229 0.99953 0.14731 0.01235 0.99953 0.14814 0.01226 0.99916 0.14686
7 naval 1 10 5000 0.01 1 50 0.25 0.001 0.05 0.0856 0.95903 0.99543 0.08532 0.9567 0.99537 0.08595 0.95142 0.9964
8 naval 1 10 5000 0.01 1 50 0.25 0.01 0.05 0.0868 0.9638 1.00826 0.08651 0.96415 1.0082 0.08692 0.9598 1.00928
9 naval 1 10 5000 0.01 1 50 0.25 0.1 0.05 0.08515 0.91841 0.95625 0.08525 0.91993 0.95624 0.08625 0.90955 0.9562
10 naval 1 10 5000 0.01 1 50 0.25 1 0.05 0.19566 0.58275 0.61682 0.19398 0.58566 0.6168 0.20369 0.57286 0.61734
11 naval 1 10 5000 0.01 1 50 0.5 0 0.05 0.01229 0.99953 0.14731 0.01235 0.99953 0.14814 0.01226 0.99916 0.14686
12 naval 1 10 5000 0.01 1 50 0.5 0.001 0.05 0.0856 0.95903 0.99543 0.08532 0.9567 0.99537 0.08595 0.95142 0.9964
13 naval 1 10 5000 0.01 1 50 0.5 0.01 0.05 0.0868 0.9638 1.00826 0.08651 0.96415 1.0082 0.08692 0.9598 1.00928
14 naval 1 10 5000 0.01 1 50 0.5 0.1 0.05 0.08515 0.91841 0.95625 0.08525 0.91993 0.95624 0.08625 0.90955 0.9562
15 naval 1 10 5000 0.01 1 50 0.5 1 0.05 0.19566 0.58275 0.61682 0.19398 0.58566 0.6168 0.20369 0.57286 0.61734
16 naval 1 10 5000 0.01 1 50 0.75 0 0.05 0.01229 0.99953 0.14731 0.01235 0.99953 0.14814 0.01226 0.99916 0.14686
17 naval 1 10 5000 0.01 1 50 0.75 0.001 0.05 0.0856 0.95903 0.99543 0.08532 0.9567 0.99537 0.08595 0.95142 0.9964
18 naval 1 10 5000 0.01 1 50 0.75 0.01 0.05 0.0868 0.9638 1.00826 0.08651 0.96415 1.0082 0.08692 0.9598 1.00928
