data_name split_seed y_range
boston 1 4.9253154
boston 2 4.8655343
boston 3 4.8587685
concrete 1 4.7626386
concrete 2 4.75665
concrete 3 4.835909
energy 1 3.928495
energy 2 3.8917155
energy 3 3.8918219
kin8nm 1 5.378721
kin8nm 2 5.390588
kin8nm 3 5.3827705
naval 1 3.3375797
naval 2 3.3312645
naval 3 3.3405342
power 1 4.4320936
power 2 4.423299
power 3 4.422038
protein 1 3.4326594
protein 2 3.428347
protein 3 3.43148
wine 1 6.113187
wine 2 6.114388
wine 3 6.156164
yacht 1 4.071204
yacht 2 4.0719447
yacht 3 4.1425037





