EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 1.0 3912.745 0.062 -1.298 0.896 20 kin8nm 0.001 1
2 1 20 1.0 3914.897 0.063 -1.289 0.895 20 kin8nm 0.001 1
3 1 30 1.0 3911.757 0.063 -1.279 0.896 20 kin8nm 0.001 1
4 1 40 1.0 3915.703 0.063 -1.287 0.898 20 kin8nm 0.001 1
5 1 50 1.0 3916.937 0.062 -1.285 0.892 20 kin8nm 0.001 1
6 2 10 1.0 3914.088 0.064 -1.303 0.891 20 kin8nm 0.001 1
7 2 20 1.0 3917.053 0.065 -1.285 0.887 20 kin8nm 0.001 1
8 2 30 1.0 3913.785 0.065 -1.295 0.888 20 kin8nm 0.001 1
9 2 40 1.0 3915.36 0.064 -1.303 0.888 20 kin8nm 0.001 1
10 2 50 1.0 3918.618 0.066 -1.286 0.885 20 kin8nm 0.001 1
11 3 10 1.0 3917.374 0.063 -1.331 0.892 20 kin8nm 0.001 1
12 3 20 1.0 3917.283 0.064 -1.299 0.89 20 kin8nm 0.001 1
13 3 30 1.0 3913.631 0.063 -1.304 0.894 20 kin8nm 0.001 1
14 3 40 1.0 3918.668 0.062 -1.317 0.896 20 kin8nm 0.001 1
15 3 50 1.0 3911.449 0.062 -1.316 0.891 20 kin8nm 0.001 1
16 4 10 1.0 3913.397 0.065 -1.28 0.883 20 kin8nm 0.001 1
17 4 20 1.0 3913.964 0.064 -1.298 0.892 20 kin8nm 0.001 1
18 4 30 1.0 3912.466 0.064 -1.299 0.891 20 kin8nm 0.001 1
19 4 40 1.0 3908.809 0.065 -1.283 0.89 20 kin8nm 0.001 1
20 4 50 1.0 3916.653 0.064 -1.291 0.887 20 kin8nm 0.001 1
21 5 10 1.0 3915.632 0.066 -1.267 0.88 20 kin8nm 0.001 1
22 5 20 1.0 3917.782 0.066 -1.262 0.883 20 kin8nm 0.001 1
23 5 30 1.0 3915.392 0.066 -1.263 0.887 20 kin8nm 0.001 1
24 5 40 1.0 3914.282 0.066 -1.275 0.886 20 kin8nm 0.001 1
25 5 50 1.0 3917.815 0.067 -1.256 0.881 20 kin8nm 0.001 1
