EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 1.0 3788.85 2.905 2.588 0.944 20 power 0.001 2
2 1 20 1.0 3208.634 2.941 2.577 0.945 20 power 0.001 2
3 1 30 1.0 2854.872 2.972 2.579 0.945 20 power 0.001 2
4 1 40 1.0 3026.94 2.985 2.589 0.944 20 power 0.001 2
5 1 50 1.0 3073.115 2.924 2.565 0.944 20 power 0.001 2
6 2 10 1.0 3911.594 2.98 2.588 0.946 20 power 0.001 2
7 2 20 1.0 3103.609 3.009 2.594 0.946 20 power 0.001 2
8 2 30 1.0 2866.428 2.989 2.59 0.945 20 power 0.001 2
9 2 40 1.0 3068.638 2.965 2.581 0.945 20 power 0.001 2
10 2 50 1.0 3541.533 2.979 2.585 0.945 20 power 0.001 2
11 3 10 1.0 3910.476 2.847 2.537 0.947 20 power 0.001 2
12 3 20 1.0 3141.964 2.881 2.545 0.947 20 power 0.001 2
13 3 30 1.0 2884.997 2.853 2.545 0.947 20 power 0.001 2
14 3 40 1.0 3142.691 2.867 2.544 0.947 20 power 0.001 2
15 3 50 1.0 3456.467 2.891 2.55 0.946 20 power 0.001 2
16 4 10 1.0 3910.017 3.053 2.591 0.937 20 power 0.001 2
17 4 20 1.0 2919.666 3.075 2.594 0.938 20 power 0.001 2
18 4 30 1.0 2861.53 3.081 2.595 0.938 20 power 0.001 2
19 4 40 1.0 3084.35 3.064 2.603 0.936 20 power 0.001 2
20 4 50 1.0 2994.18 3.101 2.598 0.936 20 power 0.001 2
21 5 10 1.0 3721.586 2.963 2.571 0.948 20 power 0.001 2
22 5 20 1.0 3112.9 2.963 2.558 0.948 20 power 0.001 2
23 5 30 1.0 2974.016 2.949 2.565 0.948 20 power 0.001 2
24 5 40 1.0 3086.655 2.947 2.565 0.947 20 power 0.001 2
25 5 50 1.0 2861.161 2.946 2.572 0.947 20 power 0.001 2
