EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.863 0.901 0.32 0.908
2 1 20 0.902 0.949 0.32 0.908
3 1 30 0.922 1.076 0.356 0.886
4 1 40 0.843 0.95 0.318 0.909
5 1 50 0.804 0.904 0.375 0.874
6 2 10 0.804 1.225 0.336 0.869
7 2 20 0.902 0.91 0.289 0.903
8 2 30 0.922 1.11 0.259 0.922
9 2 40 0.765 1.014 0.355 0.853
10 2 50 0.765 0.826 0.343 0.864
11 3 10 0.843 0.788 0.252 0.924
12 3 20 0.863 0.921 0.291 0.899
13 3 30 0.843 0.944 0.297 0.895
14 3 40 0.804 0.843 0.314 0.883
15 3 50 0.922 0.826 0.259 0.92
16 4 10 0.784 0.83 0.358 0.868
17 4 20 0.843 0.861 0.347 0.876
18 4 30 0.882 0.866 0.371 0.858
19 4 40 0.843 1.01 0.373 0.857
20 4 50 0.843 0.882 0.4 0.835
21 5 10 0.843 0.878 0.288 0.914
22 5 20 0.863 1.048 0.297 0.909
23 5 30 0.843 0.942 0.362 0.864
24 5 40 0.804 1.083 0.42 0.817
25 5 50 0.824 0.802 0.301 0.906
