EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.932 1.309 0.365 0.836
2 1 20 0.932 1.166 0.33 0.866
3 1 30 0.903 1.45 0.326 0.869
4 1 40 0.913 1.17 0.339 0.858
5 1 50 0.942 1.202 0.355 0.845
6 2 10 0.942 1.042 0.275 0.902
7 2 20 0.903 1.029 0.306 0.879
8 2 30 0.903 1.065 0.294 0.889
9 2 40 0.961 1.054 0.258 0.914
10 2 50 0.942 1.105 0.298 0.886
11 3 10 0.903 1.019 0.316 0.91
12 3 20 0.932 1.075 0.278 0.931
13 3 30 0.932 1.108 0.307 0.915
14 3 40 0.903 1.057 0.327 0.904
15 3 50 0.951 1.16 0.309 0.914
16 4 10 0.922 2.069 0.355 0.889
17 4 20 0.913 1.208 0.346 0.895
18 4 30 0.932 1.124 0.322 0.909
19 4 40 0.922 1.153 0.34 0.898
20 4 50 0.913 1.183 0.348 0.894
21 5 10 0.883 1.067 0.327 0.869
22 5 20 0.883 1.058 0.361 0.839
23 5 30 0.893 1.468 0.352 0.847
24 5 40 0.893 1.111 0.342 0.856
25 5 50 0.903 1.18 0.351 0.848
