EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.962 1.388 0.246 0.942
2 1 20 0.953 0.899 0.246 0.942
3 1 30 0.955 0.939 0.256 0.937
4 1 40 0.954 0.901 0.246 0.941
5 1 50 0.954 1.405 0.246 0.942
6 2 10 0.954 1.275 0.239 0.943
7 2 20 0.953 0.9 0.239 0.943
8 2 30 0.956 0.896 0.238 0.943
9 2 40 0.956 0.904 0.239 0.943
10 2 50 0.955 0.901 0.238 0.943
11 3 10 0.951 1.247 0.235 0.944
12 3 20 0.96 0.901 0.234 0.945
13 3 30 0.962 0.935 0.243 0.94
14 3 40 0.962 0.898 0.235 0.944
15 3 50 0.962 0.907 0.235 0.944
16 4 10 0.939 1.208 0.256 0.933
17 4 20 0.943 0.894 0.256 0.933
18 4 30 0.948 0.933 0.261 0.93
19 4 40 0.941 0.9 0.256 0.933
20 4 50 0.939 0.894 0.256 0.933
21 5 10 0.95 1.226 0.242 0.945
22 5 20 0.952 0.9 0.24 0.945
23 5 30 0.949 0.935 0.251 0.94
24 5 40 0.952 0.899 0.24 0.945
25 5 50 0.95 0.898 0.24 0.945
