EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.949 2.844 0.781 0.392
2 1 20 0.944 2.781 0.77 0.409
3 1 30 0.941 2.812 0.774 0.403
4 1 40 0.948 2.759 0.762 0.421
5 1 50 0.944 2.765 0.756 0.43
6 2 10 0.948 2.823 0.764 0.403
7 2 20 0.954 2.853 0.758 0.412
8 2 30 0.948 2.768 0.764 0.402
9 2 40 0.954 2.88 0.768 0.397
10 2 50 0.946 2.754 0.767 0.398
11 3 10 0.949 2.869 0.772 0.402
12 3 20 0.95 2.796 0.77 0.405
13 3 30 0.951 2.829 0.784 0.382
14 3 40 0.947 2.815 0.781 0.388
15 3 50 0.95 2.838 0.78 0.39
16 4 10 0.947 2.771 0.78 0.393
17 4 20 0.946 2.766 0.774 0.401
18 4 30 0.946 2.917 0.769 0.409
19 4 40 0.944 2.796 0.77 0.408
20 4 50 0.942 2.769 0.762 0.42
21 5 10 0.944 2.87 0.783 0.384
22 5 20 0.941 2.776 0.768 0.408
23 5 30 0.942 2.745 0.786 0.379
24 5 40 0.945 2.804 0.772 0.402
25 5 50 0.942 2.769 0.775 0.397
