EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.903 0.182 0.063 0.995
2 1 20 0.903 0.237 0.055 0.996
3 1 30 0.839 0.193 0.057 0.996
4 1 40 1.0 0.265 0.057 0.996
5 1 50 0.968 0.235 0.057 0.996
6 2 10 0.903 0.168 0.049 0.997
7 2 20 0.903 0.327 0.041 0.998
8 2 30 0.903 0.247 0.042 0.998
9 2 40 0.871 0.202 0.041 0.998
10 2 50 0.968 0.192 0.041 0.998
11 3 10 0.903 0.234 0.069 0.996
12 3 20 0.903 0.254 0.057 0.997
13 3 30 0.806 0.23 0.058 0.997
14 3 40 0.935 0.229 0.073 0.995
15 3 50 0.935 0.461 0.059 0.997
16 4 10 0.903 0.157 0.057 0.995
17 4 20 0.903 0.411 0.061 0.995
18 4 30 0.968 0.179 0.051 0.996
19 4 40 0.935 0.275 0.061 0.995
20 4 50 0.968 0.264 0.06 0.995
21 5 10 0.935 0.262 0.082 0.993
22 5 20 0.935 0.186 0.085 0.992
23 5 30 0.968 0.201 0.076 0.994
24 5 40 0.935 0.16 0.069 0.995
25 5 50 0.935 0.232 0.08 0.993
