EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.987 11.278 8.83 3.429 0.74 20 MSD 0.001 256
2 1 20 0.986 7.375 8.724 3.415 0.743 20 MSD 0.001 256
3 1 30 0.985 8.897 8.838 3.437 0.74 20 MSD 0.001 256
4 1 40 0.984 6.225 9.312 3.467 0.729 20 MSD 0.001 256
5 1 50 0.987 11.398 8.964 3.437 0.733 20 MSD 0.001 256
6 2 10 0.989 12.56 8.724 3.415 0.744 20 MSD 0.001 256
7 2 20 0.986 7.271 8.994 3.449 0.741 20 MSD 0.001 256
8 2 30 0.986 8.917 8.732 3.452 0.741 20 MSD 0.001 256
9 2 40 0.985 5.714 9.575 3.49 0.723 20 MSD 0.001 256
10 2 50 0.987 10.598 9.187 3.462 0.727 20 MSD 0.001 256
11 3 10 0.988 10.178 8.645 3.395 0.742 20 MSD 0.001 256
12 3 20 0.987 6.708 9.018 3.435 0.74 20 MSD 0.001 256
13 3 30 0.987 8.517 8.713 3.394 0.744 20 MSD 0.001 256
14 3 40 0.984 5.478 9.525 3.507 0.722 20 MSD 0.001 256
15 3 50 0.989 11.146 9.138 3.446 0.732 20 MSD 0.001 256
16 4 10 0.988 11.987 8.765 3.423 0.745 20 MSD 0.001 256
17 4 20 0.987 7.526 8.738 3.411 0.744 20 MSD 0.001 256
18 4 30 0.985 7.792 8.924 3.441 0.739 20 MSD 0.001 256
19 4 40 0.983 5.791 9.534 3.482 0.721 20 MSD 0.001 256
20 4 50 0.988 11.769 9.285 3.444 0.737 20 MSD 0.001 256
21 5 10 0.988 14.11 8.857 3.427 0.752 20 MSD 0.001 256
22 5 20 0.987 8.861 8.75 3.413 0.754 20 MSD 0.001 256
23 5 30 0.986 9.363 8.944 3.428 0.748 20 MSD 0.001 256
24 5 40 0.983 6.856 9.407 3.473 0.729 20 MSD 0.001 256
25 5 50 0.986 12.755 9.361 3.485 0.741 20 MSD 0.001 256
