EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.985 41.176 2.876 1.775 0.901 20 energy 0.002 1
2 1 20 0.99 12.537 2.869 1.764 0.907 20 energy 0.002 1
3 1 30 0.993 96.598 2.86 1.772 0.907 20 energy 0.002 1
4 1 40 0.994 22.366 3.243 1.877 0.883 20 energy 0.002 1
5 1 50 0.988 193.857 2.842 1.789 0.906 20 energy 0.002 1
6 2 10 0.988 67.134 2.449 1.695 0.92 20 energy 0.002 1
7 2 20 0.994 12.591 2.482 1.722 0.918 20 energy 0.002 1
8 2 30 0.99 172.066 2.468 1.705 0.922 20 energy 0.002 1
9 2 40 0.984 30.379 2.754 1.794 0.901 20 energy 0.002 1
10 2 50 0.992 202.451 2.481 1.724 0.922 20 energy 0.002 1
11 3 10 0.974 178.058 2.159 1.542 0.936 20 energy 0.002 1
12 3 20 0.991 16.101 2.14 1.535 0.94 20 energy 0.002 1
13 3 30 0.974 203.206 2.191 1.549 0.937 20 energy 0.002 1
14 3 40 0.985 34.019 2.443 1.666 0.923 20 energy 0.002 1
15 3 50 0.988 270.859 2.165 1.564 0.939 20 energy 0.002 1
16 4 10 0.988 105.276 2.006 1.356 0.944 20 energy 0.002 1
17 4 20 0.984 10.774 2.003 1.37 0.946 20 energy 0.002 1
18 4 30 0.981 217.373 1.993 1.372 0.948 20 energy 0.002 1
19 4 40 0.987 19.497 2.306 1.492 0.933 20 energy 0.002 1
20 4 50 0.993 291.308 1.966 1.366 0.949 20 energy 0.002 1
21 5 10 0.988 44.861 2.13 1.599 0.94 20 energy 0.002 1
22 5 20 0.982 15.304 2.115 1.611 0.939 20 energy 0.002 1
23 5 30 0.982 103.342 2.164 1.615 0.937 20 energy 0.002 1
24 5 40 0.991 36.08 2.432 1.717 0.921 20 energy 0.002 1
25 5 50 0.976 152.303 2.194 1.639 0.935 20 energy 0.002 1
