EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.996 90.928 4.413 2.768 0.289 20 protein 0.001 64
2 1 20 1.0 336.248 4.216 2.665 0.302 20 protein 0.001 64
3 1 30 0.996 69.418 4.442 2.779 0.282 20 protein 0.001 64
4 1 40 1.0 878.66 4.078 2.634 0.314 20 protein 0.001 64
5 1 50 1.0 227.951 4.325 2.721 0.288 20 protein 0.001 64
6 2 10 0.998 66.465 4.368 2.774 0.298 20 protein 0.001 64
7 2 20 1.0 377.58 4.093 2.635 0.322 20 protein 0.001 64
8 2 30 0.997 62.649 4.35 2.754 0.3 20 protein 0.001 64
9 2 40 1.0 578.478 4.099 2.616 0.317 20 protein 0.001 64
10 2 50 1.0 264.766 4.246 2.699 0.303 20 protein 0.001 64
11 3 10 0.999 92.444 4.268 2.73 0.306 20 protein 0.001 64
12 3 20 1.0 370.532 4.224 2.664 0.317 20 protein 0.001 64
13 3 30 0.999 66.342 4.378 2.78 0.306 20 protein 0.001 64
14 3 40 1.0 774.135 4.212 2.629 0.322 20 protein 0.001 64
15 3 50 1.0 280.924 4.336 2.726 0.307 20 protein 0.001 64
16 4 10 0.997 85.183 4.401 2.747 0.295 20 protein 0.001 64
17 4 20 1.0 292.842 4.173 2.663 0.317 20 protein 0.001 64
18 4 30 0.995 46.575 4.444 2.772 0.285 20 protein 0.001 64
19 4 40 1.0 432.369 4.127 2.633 0.31 20 protein 0.001 64
20 4 50 1.0 236.254 4.278 2.696 0.294 20 protein 0.001 64
21 5 10 0.999 72.08 4.345 2.754 0.306 20 protein 0.001 64
22 5 20 1.0 405.681 4.191 2.628 0.323 20 protein 0.001 64
23 5 30 0.998 68.159 4.28 2.727 0.303 20 protein 0.001 64
24 5 40 1.0 706.519 4.079 2.602 0.322 20 protein 0.001 64
25 5 50 1.0 262.719 4.304 2.695 0.303 20 protein 0.001 64
