EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.914 1.308 2.968 2.341 0.895 20 boston 0.001 8
2 1 20 0.887 1.404 2.988 2.468 0.896 20 boston 0.001 8
3 1 30 0.883 1.326 3.168 2.523 0.885 20 boston 0.001 8
4 1 40 0.938 1.522 2.918 2.453 0.902 20 boston 0.001 8
5 1 50 0.897 1.386 2.907 2.43 0.903 20 boston 0.001 8
6 2 10 0.882 1.504 2.97 2.45 0.876 20 boston 0.001 8
7 2 20 0.859 1.213 3.143 2.562 0.857 20 boston 0.001 8
8 2 30 0.863 1.332 2.945 2.524 0.874 20 boston 0.001 8
9 2 40 0.89 1.296 3.164 2.472 0.858 20 boston 0.001 8
10 2 50 0.898 1.209 2.998 2.449 0.871 20 boston 0.001 8
11 3 10 0.842 1.011 2.988 2.288 0.867 20 boston 0.001 8
12 3 20 0.856 1.1 3.161 2.428 0.852 20 boston 0.001 8
13 3 30 0.872 1.029 2.871 2.238 0.87 20 boston 0.001 8
14 3 40 0.841 1.059 2.942 2.361 0.873 20 boston 0.001 8
15 3 50 0.843 1.009 2.878 2.382 0.879 20 boston 0.001 8
16 4 10 0.874 1.055 3.334 2.317 0.853 20 boston 0.001 8
17 4 20 0.815 1.122 3.536 2.605 0.842 20 boston 0.001 8
18 4 30 0.845 1.204 3.233 2.429 0.866 20 boston 0.001 8
19 4 40 0.849 1.154 3.5 2.519 0.844 20 boston 0.001 8
20 4 50 0.857 1.138 3.289 2.481 0.864 20 boston 0.001 8
21 5 10 0.891 1.731 2.655 2.52 0.904 20 boston 0.001 8
22 5 20 0.888 1.414 2.552 2.544 0.915 20 boston 0.001 8
23 5 30 0.856 1.327 2.495 2.512 0.918 20 boston 0.001 8
24 5 40 0.855 1.406 2.74 2.535 0.898 20 boston 0.001 8
25 5 50 0.918 1.351 2.431 2.422 0.917 20 boston 0.001 8
