EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 1.0 3920.0 0.001 -6.001 0.924 20 naval 0.0005 1
2 1 20 1.0 3920.0 0.001 -5.968 0.888 20 naval 0.0005 1
3 1 30 1.0 3920.0 0.001 -6.021 0.907 20 naval 0.0005 1
4 1 40 1.0 3920.0 0.001 -6.033 0.924 20 naval 0.0005 1
5 1 50 1.0 3920.0 0.001 -6.036 0.919 20 naval 0.0005 1
6 2 10 1.0 3920.0 0.001 -5.982 0.911 20 naval 0.0005 1
7 2 20 1.0 3920.0 0.001 -5.989 0.898 20 naval 0.0005 1
8 2 30 1.0 3920.0 0.001 -5.996 0.883 20 naval 0.0005 1
9 2 40 1.0 3920.0 0.001 -6.011 0.915 20 naval 0.0005 1
10 2 50 1.0 3920.0 0.001 -6.011 0.909 20 naval 0.0005 1
11 3 10 1.0 3920.0 0.001 -5.999 0.922 20 naval 0.0005 1
12 3 20 1.0 3920.0 0.001 -6.009 0.894 20 naval 0.0005 1
13 3 30 1.0 3920.0 0.001 -5.998 0.917 20 naval 0.0005 1
14 3 40 1.0 3920.0 0.001 -6.011 0.913 20 naval 0.0005 1
15 3 50 1.0 3920.0 0.001 -5.993 0.908 20 naval 0.0005 1
16 4 10 1.0 3920.0 0.001 -5.986 0.907 20 naval 0.0005 1
17 4 20 1.0 3920.0 0.001 -5.961 0.885 20 naval 0.0005 1
18 4 30 1.0 3920.0 0.001 -5.993 0.908 20 naval 0.0005 1
19 4 40 1.0 3920.0 0.001 -5.998 0.909 20 naval 0.0005 1
20 4 50 1.0 3920.0 0.001 -5.939 0.916 20 naval 0.0005 1
21 5 10 1.0 3920.0 0.001 -5.989 0.919 20 naval 0.0005 1
22 5 20 1.0 3920.0 0.001 -5.976 0.893 20 naval 0.0005 1
23 5 30 1.0 3920.0 0.001 -5.991 0.918 20 naval 0.0005 1
24 5 40 1.0 3920.0 0.001 -5.994 0.923 20 naval 0.0005 1
25 5 50 1.0 3920.0 0.001 -5.954 0.914 20 naval 0.0005 1
