EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.988 4.271 0.487 0.809 0.401 20 wine 0.0001 32
2 1 20 0.982 4.195 0.503 0.788 0.389 20 wine 0.0001 32
3 1 30 0.988 4.239 0.468 0.763 0.435 20 wine 0.0001 32
4 1 40 0.978 4.528 0.479 0.776 0.429 20 wine 0.0001 32
5 1 50 0.979 4.235 0.505 0.823 0.37 20 wine 0.0001 32
6 2 10 0.981 4.244 0.575 0.951 0.186 20 wine 0.0001 32
7 2 20 0.987 4.494 0.588 0.912 0.146 20 wine 0.0001 32
8 2 30 0.996 4.537 0.567 0.934 0.204 20 wine 0.0001 32
9 2 40 0.994 4.925 0.579 0.959 0.188 20 wine 0.0001 32
10 2 50 0.988 4.63 0.597 0.946 0.132 20 wine 0.0001 32
11 3 10 0.981 3.989 0.553 0.881 0.385 20 wine 0.0001 32
12 3 20 0.98 4.078 0.566 0.864 0.348 20 wine 0.0001 32
13 3 30 0.989 4.182 0.556 0.893 0.36 20 wine 0.0001 32
14 3 40 0.982 4.313 0.564 0.887 0.357 20 wine 0.0001 32
15 3 50 0.982 4.243 0.576 0.923 0.322 20 wine 0.0001 32
16 4 10 0.981 4.225 0.589 0.935 0.324 20 wine 0.0001 32
17 4 20 0.976 4.227 0.61 0.933 0.257 20 wine 0.0001 32
18 4 30 0.988 4.232 0.602 0.946 0.289 20 wine 0.0001 32
19 4 40 0.986 4.717 0.593 0.938 0.318 20 wine 0.0001 32
20 4 50 0.963 4.306 0.606 0.958 0.308 20 wine 0.0001 32
21 5 10 0.988 4.064 0.52 0.842 0.409 20 wine 0.0001 32
22 5 20 0.986 4.1 0.527 0.79 0.39 20 wine 0.0001 32
23 5 30 0.975 4.116 0.524 0.814 0.388 20 wine 0.0001 32
24 5 40 0.981 4.277 0.537 0.813 0.398 20 wine 0.0001 32
25 5 50 0.988 4.229 0.527 0.82 0.4 20 wine 0.0001 32
