EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 0.821 0.394 1.875 1.084 0.978 20 yacht 0.0005 1
2 1 20 0.837 0.487 2.256 1.159 0.969 20 yacht 0.0005 1
3 1 30 0.871 0.322 1.778 0.927 0.98 20 yacht 0.0005 1
4 1 40 0.855 0.418 2.078 0.849 0.973 20 yacht 0.0005 1
5 1 50 0.887 0.483 1.979 1.034 0.976 20 yacht 0.0005 1
6 2 10 0.819 0.464 1.637 0.999 0.981 20 yacht 0.0005 1
7 2 20 0.815 0.566 1.876 1.1 0.973 20 yacht 0.0005 1
8 2 30 0.815 0.409 0.996 0.884 0.993 20 yacht 0.0005 1
9 2 40 0.798 0.508 1.915 0.86 0.974 20 yacht 0.0005 1
10 2 50 0.834 0.474 1.41 0.978 0.986 20 yacht 0.0005 1
11 3 10 0.81 0.352 2.654 1.143 0.968 20 yacht 0.0005 1
12 3 20 0.81 0.456 3.3 1.185 0.953 20 yacht 0.0005 1
13 3 30 0.858 0.348 2.622 1.051 0.969 20 yacht 0.0005 1
14 3 40 0.845 0.477 3.023 0.899 0.961 20 yacht 0.0005 1
15 3 50 0.842 0.425 3.111 1.219 0.958 20 yacht 0.0005 1
16 4 10 0.861 0.589 1.055 0.975 0.992 20 yacht 0.0005 1
17 4 20 0.831 0.669 1.841 1.192 0.977 20 yacht 0.0005 1
18 4 30 0.853 0.518 0.974 0.915 0.993 20 yacht 0.0005 1
19 4 40 0.808 0.606 1.5 1.029 0.985 20 yacht 0.0005 1
20 4 50 0.844 0.613 1.343 1.029 0.987 20 yacht 0.0005 1
21 5 10 0.855 0.282 2.822 1.019 0.959 20 yacht 0.0005 1
22 5 20 0.827 0.367 3.373 1.306 0.943 20 yacht 0.0005 1
23 5 30 0.86 0.297 2.805 0.923 0.959 20 yacht 0.0005 1
24 5 40 0.869 0.404 3.439 0.856 0.941 20 yacht 0.0005 1
25 5 50 0.876 0.388 3.527 0.983 0.937 20 yacht 0.0005 1
