EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.948 1.701 0.508 0.746
2 1 20 0.948 1.673 0.504 0.75
3 1 30 0.948 1.721 0.502 0.752
4 1 40 0.948 1.745 0.5 0.753
5 1 50 0.948 1.722 0.503 0.75
6 2 10 0.95 1.707 0.5 0.75
7 2 20 0.949 1.708 0.49 0.76
8 2 30 0.949 1.757 0.503 0.747
9 2 40 0.948 1.719 0.499 0.75
10 2 50 0.949 1.736 0.523 0.726
11 3 10 0.951 1.711 0.502 0.734
12 3 20 0.949 1.656 0.487 0.751
13 3 30 0.949 1.727 0.505 0.731
14 3 40 0.95 1.736 0.494 0.743
15 3 50 0.951 1.713 0.489 0.749
16 4 10 0.948 1.717 0.5 0.746
17 4 20 0.948 1.704 0.497 0.749
18 4 30 0.948 1.749 0.507 0.739
19 4 40 0.949 1.734 0.501 0.746
20 4 50 0.949 1.707 0.492 0.754
21 5 10 0.948 1.718 0.507 0.753
22 5 20 0.95 1.708 0.499 0.761
23 5 30 0.95 1.727 0.508 0.752
24 5 40 0.95 1.722 0.495 0.765
25 5 50 0.948 1.766 0.513 0.747
