EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.946 0.644 0.176 0.97
2 1 20 0.961 0.457 0.131 0.983
3 1 30 0.943 0.481 0.149 0.978
4 1 40 0.941 0.502 0.141 0.981
5 1 50 0.949 0.477 0.15 0.978
6 2 10 0.948 0.629 0.194 0.962
7 2 20 0.937 0.393 0.115 0.987
8 2 30 0.936 0.466 0.157 0.975
9 2 40 0.948 0.47 0.139 0.98
10 2 50 0.948 0.378 0.1 0.99
11 3 10 0.939 0.512 0.135 0.983
12 3 20 0.953 0.34 0.123 0.986
13 3 30 0.946 0.454 0.148 0.979
14 3 40 0.932 0.47 0.134 0.983
15 3 50 0.937 1.275 0.189 0.966
16 4 10 0.949 0.49 0.139 0.981
17 4 20 0.95 0.485 0.136 0.981
18 4 30 0.953 0.506 0.166 0.972
19 4 40 0.947 0.539 0.131 0.983
20 4 50 0.952 0.541 0.163 0.973
21 5 10 0.956 0.528 0.144 0.98
22 5 20 0.947 0.385 0.118 0.986
23 5 30 0.958 0.433 0.13 0.983
24 5 40 0.958 0.435 0.13 0.983
25 5 50 0.956 0.668 0.21 0.957
