EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.962 2.852 0.673 0.39
2 1 20 0.931 3.088 0.701 0.338
3 1 30 0.962 3.018 0.682 0.373
4 1 40 0.956 2.717 0.701 0.338
5 1 50 0.975 2.858 0.683 0.372
6 2 10 0.962 3.093 0.819 0.099
7 2 20 0.95 3.836 0.82 0.098
8 2 30 0.956 2.943 0.742 0.261
9 2 40 0.95 2.993 0.789 0.165
10 2 50 0.981 2.967 0.755 0.236
11 3 10 0.938 2.723 0.774 0.31
12 3 20 0.919 2.818 0.79 0.281
13 3 30 0.919 2.746 0.773 0.311
14 3 40 0.925 2.605 0.764 0.328
15 3 50 0.906 2.884 0.808 0.248
16 4 10 0.95 2.763 0.865 0.224
17 4 20 0.944 2.853 0.843 0.261
18 4 30 0.95 2.817 0.808 0.321
19 4 40 0.888 2.617 0.865 0.223
20 4 50 0.931 2.781 0.837 0.273
21 5 10 0.938 2.618 0.707 0.389
22 5 20 0.931 2.518 0.725 0.359
23 5 30 0.95 2.698 0.707 0.39
24 5 40 0.95 2.653 0.722 0.363
25 5 50 0.944 2.731 0.717 0.373
