EXP split_seed random_seed Mean_PICP_test Mean_MPIW_test Mean_RMSE Mean_NLL Mean_R2 num_trials data lr batch_size 
1 1 10 1.0 1498.862 5.498 3.016 0.812 20 concrete 0.005 1
2 1 20 1.0 1358.372 5.626 3.053 0.797 20 concrete 0.005 1
3 1 30 1.0 1542.562 5.654 3.051 0.802 20 concrete 0.005 1
4 1 40 1.0 1434.45 5.431 3.039 0.804 20 concrete 0.005 1
5 1 50 1.0 1481.059 5.4 3.017 0.816 20 concrete 0.005 1
6 2 10 1.0 1134.881 4.522 2.907 0.869 20 concrete 0.005 1
7 2 20 1.0 1129.073 4.564 2.907 0.869 20 concrete 0.005 1
8 2 30 1.0 1197.204 4.485 2.93 0.872 20 concrete 0.005 1
9 2 40 1.0 1137.978 4.568 2.917 0.875 20 concrete 0.005 1
10 2 50 1.0 1333.415 4.607 2.932 0.87 20 concrete 0.005 1
11 3 10 1.0 966.25 5.31 3.046 0.869 20 concrete 0.005 1
12 3 20 0.998 1006.323 5.234 3.02 0.875 20 concrete 0.005 1
13 3 30 0.998 1045.337 5.312 3.03 0.876 20 concrete 0.005 1
14 3 40 1.0 946.37 5.333 3.051 0.871 20 concrete 0.005 1
15 3 50 0.999 1020.109 5.301 3.043 0.866 20 concrete 0.005 1
16 4 10 1.0 1391.136 5.056 2.986 0.888 20 concrete 0.005 1
17 4 20 1.0 1392.881 5.235 3.013 0.877 20 concrete 0.005 1
18 4 30 1.0 1561.959 5.171 3.014 0.882 20 concrete 0.005 1
19 4 40 1.0 1456.583 5.168 3.008 0.885 20 concrete 0.005 1
20 4 50 1.0 1372.718 5.079 2.997 0.88 20 concrete 0.005 1
21 5 10 1.0 1139.921 5.05 2.974 0.858 20 concrete 0.005 1
22 5 20 0.999 1185.827 5.278 3.01 0.84 20 concrete 0.005 1
23 5 30 1.0 1285.828 5.186 3.003 0.836 20 concrete 0.005 1
24 5 40 1.0 1163.764 5.207 2.995 0.847 20 concrete 0.005 1
25 5 50 1.0 1051.309 5.229 3.0 0.856 20 concrete 0.005 1
