EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.948 0.64 0.227 0.953
2 1 20 0.961 0.979 0.223 0.955
3 1 30 0.961 0.64 0.221 0.956
4 1 40 0.935 0.717 0.314 0.91
5 1 50 0.961 1.234 0.222 0.955
6 2 10 0.974 0.892 0.198 0.957
7 2 20 0.948 1.411 0.232 0.941
8 2 30 0.961 1.102 0.208 0.953
9 2 40 0.948 0.84 0.313 0.893
10 2 50 0.948 0.951 0.201 0.956
11 3 10 0.948 1.175 0.155 0.974
12 3 20 0.974 1.188 0.22 0.948
13 3 30 0.948 0.567 0.177 0.966
14 3 40 0.974 0.595 0.172 0.968
15 3 50 0.987 0.493 0.163 0.971
16 4 10 0.974 1.072 0.188 0.962
17 4 20 0.987 0.924 0.163 0.972
18 4 30 0.961 1.091 0.161 0.972
19 4 40 0.961 0.917 0.163 0.972
20 4 50 0.974 0.753 0.159 0.973
21 5 10 0.948 0.605 0.184 0.961
22 5 20 0.961 1.312 0.234 0.937
23 5 30 0.935 1.549 0.185 0.96
24 5 40 0.909 0.589 0.191 0.958
25 5 50 0.974 1.31 0.24 0.933
