EXP split_seed random_seed PICP_test MPIW_test RMSE R2
1 1 10 0.94 1.365 0.365 0.865
2 1 20 0.941 1.297 0.347 0.879
3 1 30 0.954 1.273 0.323 0.895
4 1 40 0.954 1.374 0.354 0.874
5 1 50 0.938 1.295 0.346 0.879
6 2 10 0.941 1.379 0.372 0.867
7 2 20 0.941 1.317 0.349 0.882
8 2 30 0.94 1.292 0.352 0.88
9 2 40 0.945 1.387 0.372 0.866
10 2 50 0.935 1.309 0.363 0.873
11 3 10 0.938 1.43 0.371 0.863
12 3 20 0.934 1.315 0.356 0.874
13 3 30 0.952 1.411 0.364 0.868
14 3 40 0.944 1.37 0.358 0.873
15 3 50 0.944 1.316 0.35 0.878
16 4 10 0.945 1.379 0.369 0.866
17 4 20 0.937 1.367 0.365 0.869
18 4 30 0.949 1.54 0.402 0.842
19 4 40 0.933 1.425 0.384 0.855
20 4 50 0.932 1.308 0.355 0.876
21 5 10 0.933 1.383 0.375 0.861
22 5 20 0.933 1.342 0.37 0.865
23 5 30 0.944 1.361 0.365 0.868
24 5 40 0.933 1.388 0.382 0.856
25 5 50 0.929 1.332 0.362 0.87
